fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har en Bugatti Chiron högre eller lägre toppfart än en Koenigsegg Jesko Absolut?;Bugatti Chiron Super Sport;Koenigsegg Jesko Absolut;490;500;km/h;Hur många km/h skiljer toppfarten?
Har en Tesla Model S Plaid mer eller mindre effekt än en Ferrari SF90?;Tesla Model S Plaid;Ferrari SF90 Stradale;1020;990;hk;Hur många hk skiljer det?
Är Eiffeltornet högre eller lägre än Empire State Building?;Eiffeltornet;Empire State Building;330;381;meter;Hur många meter skiljer höjden?
Lanserades första iPhone tidigare eller senare än första Android-telefonen?;Första iPhone;HTC Dream (T-Mobile G1);2007;2008;år;Hur många år skiljer lanseringarna?
Är Kanaltunneln längre eller kortare än Gotthardtunneln?;Kanaltunneln;Gotthards bastunnel;50,5;57,1;km;Hur många km skiljer längden?
Väger en Airbus A380 mer eller mindre vid start än en Boeing 747-8?;Airbus A380;Boeing 747-8;575;448;ton;Hur många ton skiljer startvikten?
Vägde Saturn V-raketen mer eller mindre vid start än rymdfärjan?;Saturn V;Rymdfärjan (hela stacken);2800;2030;ton;Hur många ton skiljer startvikten?
Hade SR-71 Blackbird högre eller lägre toppfart än Concorde?;SR-71 Blackbird;Concorde;3530;2179;km/h;Hur många km/h skiljer toppfarten?
Har en Bugatti Chiron mer eller mindre effekt än en Bugatti Veyron?;Bugatti Chiron;Bugatti Veyron;1500;1001;hk;Hur många hk skiljer effekten?
Är Queen Mary 2 längre eller kortare än Titanic?;Queen Mary 2;Titanic;345;269;meter;Hur många meter skiljer längden?
Är Suezkanalen längre eller kortare än Panamakanalen?;Suezkanalen;Panamakanalen;193;82;km;Hur många km skiljer längden?
Har Shanghais maglevtåg högre eller lägre marschfart än ett TGV?;Shanghai Maglev;TGV;431;320;km/h;Hur många km/h skiljer farten?
Väger Ariane 5 mer eller mindre vid start än en Falcon 9?;Ariane 5;Falcon 9;777;549;ton;Hur många ton skiljer startvikten?
Är Burj Khalifa högre eller lägre än CN Tower?;Burj Khalifa;CN Tower;828;553;meter;Hur många meter skiljer höjden?
Har en F1-bil mer eller mindre effekt än en Volvo-lastbil?;F1-bil;Volvo FH lastbil;1000;750;hk;Hur många hk skiljer effekten?
Väger Apollos månlandare mer eller mindre än kommandomodulen?;Apollos månlandare (LM);Apollos kommandomodul (CSM);15;30;ton;Hur många ton skiljer vikten?
Väger rymdteleskopet Hubble mer eller mindre än James Webb?;Hubble;James Webb;11;6,5;ton;Hur många ton skiljer vikten?
Är Frihetsgudinnan högre eller lägre än Eiffeltornet?;Frihetsgudinnan;Eiffeltornet;93;330;meter;Hur många meter skiljer höjden?
Hade Wright Flyer längre eller kortare vingbredd än en Boeing 747?;Wright Flyer;Boeing 747;12;68,4;meter;Hur många meter skiljer vingbredden?
Har Golden Gate-bron längre eller kortare spann än Brooklyn Bridge?;Golden Gate-bron;Brooklyn Bridge;1280;486;meter;Hur många meter skiljer spannet?
Väger containerfartyget Ever Given mer eller mindre än Titanic?;Ever Given;Titanic;220000;52000;ton;Hur många ton skiljer vikten?
Är Saturn V-raketen högre eller lägre än Eiffeltornet?;Saturn V;Eiffeltornet;111;330;meter;Hur många meter skiljer höjden?
Hade en Spitfire högre eller lägre toppfart än Concorde?;Spitfire;Concorde;582;2179;km/h;Hur många km/h skiljer toppfarten?
Var luftskeppet Hindenburg längre eller kortare än en Boeing 747?;Hindenburg;Boeing 747-8;245;73,3;meter;Hur många meter skiljer längden?
Väger Titanic mer eller mindre än kryssningsfartyget Symphony of the Seas?;Titanic;Symphony of the Seas;52000;228000;ton;Hur många ton skiljer vikten?
Har en Tesla Model S Plaid mer eller mindre effekt än en Tesla Model 3?;Tesla Model S Plaid;Tesla Model 3;1020;283;hk;Hur många hk skiljer effekten?
Hade Wright Flyer högre eller lägre toppfart än en Spitfire?;Wright Flyer;Spitfire;48;582;km/h;Hur många km/h skiljer toppfarten?
Hade en Ford Model T mer eller mindre effekt än en Bugatti Chiron?;Ford Model T;Bugatti Chiron;20;1500;hk;Hur många hk skiljer effekten?
Väger Apollos kommandomodul mer eller mindre än rymdstationen ISS?;Apollos kommandomodul (CSM);Internationella rymdstationen (ISS);30;420;ton;Hur många ton skiljer vikten?
Flyger rymdsonden Parker Solar Probe snabbare eller långsammare än Voyager 1?;Parker Solar Probe;Voyager 1;690000;61000;km/h;Hur många km/h skiljer farten?
Är SpaceX Starship högre eller lägre än Saturn V?;SpaceX Starship;Saturn V;120;111;meter;Hur många meter skiljer höjden?
Har en Cessna 172 större eller mindre vingbredd än en Antonov An-225?;Cessna 172;Antonov An-225;11;88,4;meter;Hur många meter skiljer vingbredden?
Har en Tesla Model 3 Long Range större eller mindre batteri än en Nissan Leaf?;Tesla Model 3 Long Range;Nissan Leaf e+;82;62;kWh;Hur många kWh skiljer batterikapaciteten?
Har Apple Watch Ultra större eller mindre skärm än en iPhone 15 Pro Max?;Apple Watch Ultra;iPhone 15 Pro Max;1,9;6,7;tum;Hur många tum skiljer skärmstorleken?
Är en Boeing 787-9 längre eller kortare än en Airbus A350-900?;Boeing 787-9 Dreamliner;Airbus A350-900;62,8;66,8;meter;Hur många meter skiljer längden?
Kan en vanlig lastbil lasta mer eller mindre än gruvtrucken BelAZ 75710?;Vanlig lastbil;BelAZ 75710;40;450;ton;Hur många ton skiljer lastkapaciteten?
Hade en Bugatti Veyron Super Sport högre eller lägre toppfart än en Tesla Model 3?;Bugatti Veyron Super Sport;Tesla Model 3;431;225;km/h;Hur många km/h skiljer toppfarten?
Är en Cessna 172 längre eller kortare än en Boeing 747-8?;Cessna 172;Boeing 747-8;8,3;76,3;meter;Hur många meter skiljer längden?
Har en Toyota Corolla mer eller mindre effekt än en Porsche 911 Turbo S?;Toyota Corolla;Porsche 911 Turbo S;140;650;hk;Hur många hk skiljer effekten?
Hade en Tu-144 högre eller lägre toppfart än Concorde?;Tupolev Tu-144;Concorde;2430;2179;km/h;Hur många km/h skiljer toppfarten?
Har en Volkswagen Golf mer eller mindre effekt än en Lamborghini Aventador SVJ?;Volkswagen Golf;Lamborghini Aventador SVJ;150;770;hk;Hur många hk skiljer effekten?
Har en Apple Watch Ultra större eller mindre skärm än en iPad Pro 12,9 tum?;Apple Watch Ultra;iPad Pro 12,9 tum;1,9;12,9;tum;Hur många tum skiljer skärmstorleken?
