fråga;källa;år
Är en nagelsax längre eller kortare än en pincett?;"Nagelsax ~9 cm; pincett ~8 cm (tillverkarspec)";2024
Väger en tandkrämstub mer eller mindre än en hårtork?;"Tandkrämstub (full ~75-100 ml) ~130 g; reshårtork ~600 g (tillverkarspec)";2024
Är en tratt högre eller lägre än ett durkslag?;"Kökstratt ~14 cm; durkslag ~12 cm högt (produktmått)";2024
Väger en badrumsvåg mer eller mindre än en borrmaskin?;"Digital glasvåg ~2 kg; kompakt sladdlös borrmaskin (12V, med batteri) ~1,1 kg (tillverkarspec)";2024
Väger ett plåster mer eller mindre än en näsduk?;"Häftplåster ~2 g; pappersnäsduk ~3 g (produktdata)";2024
Är en toarulle högre eller lägre än en hushållspappersrulle?;"Toalettpappersrulle ~10 cm hög; hushållspappersrulle ~24 cm hög (produktmått)";2024
Väger en diskhandske mer eller mindre än en diskborste?;"Gummidiskhandske ~40 g; diskborste ~60 g (produktdata)";2024
Väger en hårtork mer eller mindre än ett plåster?;"Reshårtork ~600 g; häftplåster ~2 g (produktdata)";2024
Väger ett rivjärn mer eller mindre än en potatisskalare?;"Boxrivjärn ~200 g; potatisskalare ~40 g (produktdata)";2024
Är en tändsticka längre eller kortare än en tändare?;"Hushållständsticka ~4 cm; engångständare ~8 cm (produktmått)";2024
Väger ett hänglås mer eller mindre än en magnet?;"Hänglås mellanstorlek ~120 g; rund magnet ~15 g (produktdata)";2024
Är ett vattenpass längre eller kortare än en borrmaskin?;"Vattenpass ~40 cm; sladdlös borrmaskin ~25 cm lång (produktmått)";2024
Väger en mutter mer eller mindre än en skruv?;"M8-mutter ~8 g; träskruv ~6 g (produktdata)";2024
Väger ett batteri mer eller mindre än ett grenuttag?;"AA-batteri ~24 g; grenuttag 3-vägs med sladd ~250 g (produktdata)";2024
Är en förlängningssladd längre eller kortare än ett måttband?;"Förlängningssladd ~5 m; måttbandsremsa utdragen ~3 m (produktmått)";2024
Väger ett gångjärn mer eller mindre än ett dörrhandtag?;"Dörrgångjärn ~80 g; dörrhandtag i metall ~250 g (produktdata)";2024
Är en ljusstake högre eller lägre än en vas?;"Ljusstake ~20 cm; bordsvas ~28 cm (produktmått)";2024
Väger en fotoram mer eller mindre än en febertermometer?;"Fotoram med glas ~300 g; digital febertermometer ~30 g (produktdata)";2024
Är ett kuvert längre eller kortare än ett vykort?;"C5-kuvert ~22 cm; vykort ~15 cm (standardmått)";2024
Väger ett häftstift mer eller mindre än ett gummiband?;"Häftstift ~1 g; gummiband ~2 g (produktdata)";2024
Är en tejprulle bredare eller smalare än ett limstift?;"Tejprulle diameter ~8 cm; limstift diameter ~2 cm (produktmått)";2024
Väger en låda kritor mer eller mindre än en burk modellera?;"Låda vaxkritor ~90 g; burk modellera ~450 g (produktdata)";2024
Är en tärning längre eller kortare än ett spelkorts längsta sida?;"Speltärning ~2 cm; spelkort ~9 cm långt (standardmått)";2024
Väger ett frimärke mer eller mindre än ett vykort?;"Frimärke ~1 g; vykort ~6 g (produktdata)";2024
Väger ett gångjärn mer eller mindre än ett häftstift?;"Dörrgångjärn ~80 g; häftstift ~1 g (produktdata)";2024
Väger en burk modellera mer eller mindre än en badrumsvåg?;"Burk modellera ~450 g; digital badrumsvåg ~2 kg (produktdata)";2024
Väger en magnet mer eller mindre än ett dörrhandtag?;"Rund magnet ~15 g; dörrhandtag i metall ~250 g (produktdata)";2024
