fråga;källa;år
Väger hjärnan mer eller mindre än levern hos en vuxen?;https://pubmed.ncbi.nlm.nih.gov/22182984/ (hjärna ~1400 g, lever ~1500 g);2012
Väger mjälten mer eller mindre än en njure?;healthline.com/health/normal-spleen-size (mjälte median ~150 g) + njure ~140 g;2024
Väger bukspottkörteln mer eller mindre än mjälten?;https://www.researchgate.net/publication/274655246 (bukspottkörtel ~100 g, mjälte ~150 g);2015
Väger skelettet mer eller mindre än huden?;Allmän anatomi — skelett ~12 kg, hud ~4 kg (största organet ~16 % av kroppsmassan);2024
Väger båda lungorna tillsammans mer eller mindre än levern?;https://pubmed.ncbi.nlm.nih.gov/22182984/ (lungor ~445+395 g, lever ~1500 g);2012
Blinkar man fler eller färre gånger per minut än man andas?;https://www.lung.org (andningsfrekvens 12-18/min) + blinkningar 15-20/min;2024
Har skelettet fler eller färre ben än kroppen har leder?;https://my.clevelandclinic.org/health/body/25137-joints (206 ben, ~360 leder);2024
Producerar man mer eller mindre saliv per dag än man har blod i kroppen?;1177 Vårdguiden (saliv ~1-1,5 L/dygn) + blodvolym ~5 L;2024
Är tunntarmen längre eller kortare än tjocktarmen?;https://my.clevelandclinic.org/health/body/22135-small-intestine (tunntarm ~6 m, tjocktarm ~1,5 m);2024
Har skelettet fler eller färre ben än kroppen har muskler?;https://my.clevelandclinic.org/health/body/25176-bones (206 ben) + >600 skelettmuskler;2024
Är en vuxen längre eller kortare än hela matsmältningskanalen?;https://www.healthline.com/health/digestive-health/how-long-are-your-intestines (mag-tarmkanal ~7,5-9 m) + kroppslängd ~1,8 m;2024
Växer håret på huvudet fler eller färre millimeter per månad än naglarna?;https://www.forhers.com (hår ~0,35 mm/dag ≈ 10,5 mm/mån) + naglar ~3,5 mm/mån;2024
Är underarmen längre eller kortare än skenbenet?;https://pmc.ncbi.nlm.nih.gov/articles/PMC7003724/ (ulna ~25-27 cm) + tibia ~36-43 cm;2024
Väger alla skelettmusklerna tillsammans mer eller mindre än huden?;https://en.wikipedia.org/wiki/Human_skeleton + skelettmuskler ~42 % kroppsvikt (~30 kg), hud ~3,9 kg;2024
Slår hjärtat fler eller färre slag per dygn än man tar andetag?;Vilopuls ~70/min ≈ 100 000/dygn; andning ~15/min ≈ 22 000/dygn;2024
Pumpar hjärtat mer eller mindre blod per dygn än kroppen rymmer?;https://hypertextbook.com/facts/2001/ (~5 L/min ≈ 7000 L/dygn) vs blodvolym ~5 L;2024
Har kroppen fler eller färre mjölktänder än smaklökar?;https://en.wikipedia.org/wiki/Deciduous_teeth (20 mjölktänder) + smaklökar ~10 000 (Britannica);2024
Har en människa fler eller färre sinnen än skelettmuskler?;Klassiskt 5 sinnen + https://en.wikipedia.org/wiki/List_of_skeletal_muscles_of_the_human_body (>600 muskler);2024
Är lårbenet längre eller kortare än det minsta benet i örat?;https://en.wikipedia.org/wiki/Stapes (stapes ~2,5-3,4 mm) + lårben (femur) ~45 cm;2024
Har en vuxen fler eller färre hårsäckar på huvudet än svettkörtlar?;https://www.britannica.com/science/human-skin/Hair (~100 000-150 000 hårsäckar) + ~2-4 miljoner svettkörtlar;2024
Är en feberhög kroppstemperatur högre eller lägre än en normal?;1177 Vårdguiden — normal ~37 °C, feber ~40 °C;2024
Väger en njure mer eller mindre än båda lungorna tillsammans?;https://pubmed.ncbi.nlm.nih.gov/22182984/ (njure ~140 g, lungor ~840-1000 g);2012
Är magsäcken rymligare eller mindre rymlig än urinblåsan?;https://www.healthline.com/health/how-big-is-your-stomach (magsäck ~0,8-1,5 L) + urinblåsa ~0,4-0,6 L;2024
Har en vuxen fler eller färre fingrar och tår tillsammans än kotor i ryggraden?;20 fingrar och tår + https://my.clevelandclinic.org/health/body/25176-bones (33 kotor);2024
Väger levern mer eller mindre än hjärtat?;https://pubmed.ncbi.nlm.nih.gov/22182984/ (lever ~1500 g, hjärta ~300 g);2012
Väger hjärnan mer eller mindre än båda njurarna tillsammans?;https://pubmed.ncbi.nlm.nih.gov/22182984/ (hjärna ~1400 g, njurar ~260-280 g);2012
Har man fler eller färre halskotor än fingrar på en hand?;https://my.clevelandclinic.org/health/body/25176-bones (7 halskotor) + 5 fingrar på en hand;2024
