fråga;källa;år
Har en Lucid Air Sapphire fler eller färre hästkrafter än en Hyundai Inster?;lucidmotors.com (Air Sapphire 1234 hk) + ev-database.org (Inster Standard Range 97 hk);2024
Har en Citroën ë-C4 fler eller färre hästkrafter än en Lucid Air Sapphire?;ev-database.org/auto-data.net (ë-C4 136 hk) + lucidmotors.com (Air Sapphire 1234 hk);2024
Har en Audi RS e-tron GT performance fler eller färre hästkrafter än en Hyundai Inster?;audiusa.com/media.audiusa.com (RS e-tron GT performance 912 hk med launch control boost) + ev-database.org (Inster 97 hk);2024
Kostade en MG4 mer eller mindre än en Rolls-Royce Spectre? (2024);mgmotor.eu/vibilagare.se (MG4 från ca 330000 kr, 2024 modellår) + nyheter24.se (Spectre provkörd 6400000 kr, sep 2024);2024
Har en Genesis GV60 Performance fler eller färre hästkrafter än en Mini Cooper SE?;genesis.com/automobile-catalog (GV60 Performance 490 hk boost) + edmunds.com/usnews (Mini Cooper SE 181 hk);2024
Har en Kia Niro EV fler eller färre hästkrafter än en BMW i7 M70?;ev-database.org/auto-data.net (Niro EV 204 hk) + press.bmwgroup.com (i7 M70 660 hk/PS Europa);2024
Har en Ford Mustang Mach-E GT fler eller färre hästkrafter än en Peugeot e-208?;auto-data.net/car.info (Mach-E GT 487 hk) + carmagazine.co.uk/ev-database.org (e-208 154 hk);2024
Har en BYD Dolphin fler eller färre hästkrafter än en Hyundai Ioniq 5 N?;ev-database.org (Dolphin 204 hk) + hyundai-n.com (Ioniq 5 N 650 hk med N Grin Boost);2024
Har en Kia EV9 GT fler eller färre hästkrafter än en MG4?;kia.com/electrifying.com (EV9 GT 501 hk) + ev-database.org (MG4 Standard Range 170 hk);2024
Har en Hyundai Kona Electric fler eller färre hästkrafter än en Mercedes-AMG EQE 53?;ev-database.org (Kona Electric 65 kWh 218 hk) + carwow.co.uk/mercedes-world.com (AMG EQE 53 626 hk systemeffekt);2024
Har en Mercedes-AMG EQS 53 fler eller färre hästkrafter än en Renault Mégane E-Tech?;automobile-catalog.com/evkx.net (AMG EQS 53 658 hk systemeffekt) + ev-database.org (Mégane E-Tech EV60 220 hk);2024
Har en Peugeot e-2008 fler eller färre hästkrafter än en Cadillac Lyriq?;ev-database.org (e-2008 156 hk) + cadillac/usnews (Lyriq AWD 515 hk);2024
Har en BMW i5 M60 fler eller färre hästkrafter än en BYD Atto 3?;bmw-m.com/auto-data.net (i5 M60 601 hk) + paultan.org/evkx.net (Atto 3 204 hk);2024
Har en Kia EV3 fler eller färre hästkrafter än en Polestar 4?;ev-database.org/auto-data.net (EV3 Long Range 204 hk) + evkx.net/automobile-catalog (Polestar 4 LR Dual Motor 544 hk);2024
Har en Volvo EX90 fler eller färre hästkrafter än en Volkswagen ID.3?;auto-data.net (EX90 Twin Motor Performance 517 hk) + ev-database.org (ID.3 Pro 204 hk);2024
Har en Peugeot e-2008 fler eller färre hästkrafter än en Genesis GV70 Electrified?;ev-database.org (e-2008 156 hk) + auto-data.net/genesis.com (GV70 Electrified 490 hk boost);2024
Har en BMW iX M60 fler eller färre hästkrafter än en Kia EV3?;automobile-catalog.com/paultan.org (iX M60 619 hk/PS) + ev-database.org (EV3 204 hk);2024
Har en Peugeot e-208 fler eller färre hästkrafter än en Polestar 3?;ev-database.org (e-208 154 hk) + wikipedia/evkx.net (Polestar 3 LR Dual Motor 489 hk/PS);2024
Har en BMW i4 M50 fler eller färre hästkrafter än en BYD Dolphin?;auto-data.net (i4 M50 544 hk) + ev-database.org (Dolphin 204 hk);2024
Har en Kia Niro EV fler eller färre hästkrafter än en Volvo EX90?;ev-database.org (Niro EV 204 hk) + auto-data.net (EX90 Twin Motor Performance 517 hk);2024
Har en BMW i5 M60 fler eller färre hästkrafter än en Hyundai Kona Electric?;bmw-m.com/auto-data.net (i5 M60 601 hk) + ev-database.org (Kona Electric 65 kWh 218 hk);2024
Har en Volkswagen ID.3 fler eller färre hästkrafter än en Hyundai Ioniq 5 N?;ev-database.org (ID.3 Pro 204 hk) + hyundai-n.com (Ioniq 5 N 650 hk med N Grin Boost);2024
Har en Mercedes-AMG EQS 53 fler eller färre hästkrafter än en BYD Atto 3?;automobile-catalog.com/evkx.net (AMG EQS 53 658 hk systemeffekt) + ev-database.org (Atto 3 204 hk);2024
Har en Renault Mégane E-Tech fler eller färre hästkrafter än en BMW iX M60?;ev-database.org (Mégane E-Tech EV60 220 hk) + automobile-catalog.com/paultan.org (iX M60 619 hk/PS);2024
Har en Volvo C40 längre eller kortare räckvidd än en Polestar 4?;ev-database.org (C40 Recharge Single Motor 434 km WLTP) + ev-database.org (Polestar 4 LR Dual Motor 590 km WLTP);2024
Tar en Lexus RZ 450e längre eller kortare tid på 0–100 km/h än en Tesla Model 3 Performance?;evspecifications.com (RZ 450e 5,3 s) + beev.co/tesla.com (Model 3 Performance 3,1 s);2024
Har en BMW i4 M50 större eller mindre användbar batterikapacitet än en Volvo EX30?;ev-database.org/evkx.net (i4 M50 80,7 kWh netto) + ev-database.org (EX30 Single Motor ER 64 kWh netto);2024
