fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har Vänern större eller mindre yta än Hjälmaren?;Vänern;Hjälmaren;5650;484;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Stockholm större eller mindre folkmängd än Visby? (2023);Stockholm;Visby;1652895;26305;invånare;Hur många invånare skiljer det?
Har Gotland större eller mindre yta än ön Ven?;Gotland;Ven;3134;7,5;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är Kebnekaise högre eller lägre än Söderåsen, Skånes högsta punkt?;Kebnekaise;Söderåsen;2097;212;meter;Hur många meter skiljer det?
Har Vänern större eller mindre yta än Storsjön i Jämtland?;Vänern;Storsjön;5650;456;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Stockholm större eller mindre folkmängd än Östersund? (2023);Stockholm;Östersund;1652895;55493;invånare;Hur många invånare skiljer det?
Har Hjälmaren större eller mindre yta än Vättern?;Hjälmaren;Vättern;484;1893;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är Kebnekaise högre eller lägre än Kinnekulle?;Kebnekaise;Kinnekulle;2097;306;meter;Hur många meter skiljer det?
Är Ölandsbron längre eller kortare än Öresundsbron?;Ölandsbron;Öresundsbron;6072;7845;meter;Hur många meter skiljer det?
Har Öland större eller mindre yta än Gotland?;Öland;Gotland;1342;3134;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är Klarälven längre eller kortare än Göta älv?;Klarälven;Göta älv;460;93;kilometer;Hur många kilometer skiljer det?
Har Göteborg större eller mindre folkmängd än Linköping? (2023);Göteborg;Linköping;674529;115682;invånare;Hur många invånare skiljer det?
Är Globen högre eller lägre än Karlatornet i Göteborg?;Globen;Karlatornet;85;246;meter;Hur många meter skiljer det?
Har Mälaren större eller mindre yta än Hjälmaren?;Mälaren;Hjälmaren;1074;484;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är avståndet Stockholm–Göteborg längre eller kortare än Stockholm–Kiruna?;Stockholm–Göteborg;Stockholm–Kiruna;397;954;kilometer;Hur många kilometer skiljer det?
Är Hjälmaren djupare eller grundare än Vättern?;Hjälmaren;Vättern;20;120;meter;Hur många meter skiljer det?
Är Dalälven längre eller kortare än Klarälven?;Dalälven;Klarälven;520;460;kilometer;Hur många kilometer skiljer det?
Har Helsingborg större eller mindre folkmängd än Malmö? (2023);Helsingborg;Malmö;113828;339316;invånare;Hur många invånare skiljer det?
Är Kebnekaise högre eller lägre än Sarektjåkkå?;Kebnekaise;Sarektjåkkå;2097;2089;meter;Hur många meter skiljer det?
Har Mälaren större eller mindre yta än Vättern?;Mälaren;Vättern;1074;1893;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är avståndet Malmö–Kiruna längre eller kortare än Göteborg–Malmö?;Malmö–Kiruna;Göteborg–Malmö;1412;242;kilometer;Hur många kilometer skiljer det?
Har Östersund större eller mindre folkmängd än Uppsala? (2023);Östersund;Uppsala;55493;166698;invånare;Hur många invånare skiljer det?
Är Ölandsbron längre eller kortare än Sundsvallsbron?;Ölandsbron;Sundsvallsbron;6072;2109;meter;Hur många meter skiljer det?
Är Göta älv längre eller kortare än Lule älv?;Göta älv;Lule älv;93;461;kilometer;Hur många kilometer skiljer det?
Har Gotland större eller mindre yta än landskapet Skåne?;Gotland;Skåne;3134;10963;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är avståndet Stockholm–Kiruna längre eller kortare än Sveriges längd från norr till söder?;Stockholm–Kiruna;Sveriges längd norr–söder;954;1572;kilometer;Hur många kilometer skiljer det?
Har Örebro större eller mindre folkmängd än Linköping? (2023);Örebro;Linköping;126604;115682;invånare;Hur många invånare skiljer det?
