fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Väger en Skoda Enyaq 85 mer eller mindre än en Toyota bZ4X?;Skoda Enyaq 85;Toyota bZ4X;2123;1995;kg;Hur många kg skiljer tjänstevikten?
Väger en Lexus RZ 450e mer eller mindre än en Genesis GV60?;Lexus RZ 450e;Genesis GV60;2000;2160;kg;Hur många kg skiljer tjänstevikten?
Väger en Volvo EX30 Single Motor mer eller mindre än en Cadillac Lyriq?;Volvo EX30 Single Motor;Cadillac Lyriq;1830;2577;kg;Hur många kg skiljer tjänstevikten?
Väger en Renault Mégane E-Tech mer eller mindre än en Fiat 500e?;Renault Mégane E-Tech;Fiat 500e;1711;1290;kg;Hur många kg skiljer tjänstevikten?
Väger en Dacia Spring mer eller mindre än en Citroën ë-C3?;Dacia Spring;Citroën ë-C3;1045;1450;kg;Hur många kg skiljer tjänstevikten?
Väger en Polestar 2 Long Range Single Motor mer eller mindre än en MG4?;Polestar 2 Long Range Single Motor;MG4;2113;1635;kg;Hur många kg skiljer tjänstevikten?
Väger en BMW iX xDrive50 mer eller mindre än en Nissan Leaf?;BMW iX xDrive50;Nissan Leaf;2510;1580;kg;Hur många kg skiljer tjänstevikten?
Väger en Hyundai Inster mer eller mindre än en Cupra Born?;Hyundai Inster;Cupra Born;1300;1862;kg;Hur många kg skiljer tjänstevikten?
Väger en Mercedes-Benz EQS SUV 450 mer eller mindre än en Cupra Born?;Mercedes-Benz EQS SUV 450;Cupra Born;2890;1862;kg;Hur många kg skiljer tjänstevikten?
Väger en Smart #1 mer eller mindre än en Nio ET7?;Smart #1;Nio ET7;1788;2365;kg;Hur många kg skiljer tjänstevikten?
Väger en Kia EV9 mer eller mindre än en Microlino?;Kia EV9;Microlino;2620;535;kg;Hur många kg skiljer tjänstevikten?
Väger en Lucid Air Grand Touring mer eller mindre än en Nissan Leaf?;Lucid Air Grand Touring;Nissan Leaf;2360;1580;kg;Hur många kg skiljer tjänstevikten?
Väger en Kia EV6 Long Range mer eller mindre än en Peugeot e-208?;Kia EV6 Long Range;Peugeot e-208;2015;1455;kg;Hur många kg skiljer tjänstevikten?
Väger en Peugeot e-208 mer eller mindre än en Subaru Solterra?;Peugeot e-208;Subaru Solterra;1455;2020;kg;Hur många kg skiljer tjänstevikten?
Väger en Volvo EX90 mer eller mindre än en Citroën Ami?;Volvo EX90;Citroën Ami;2670;471;kg;Hur många kg skiljer tjänstevikten?
Väger en Dacia Spring mer eller mindre än en Rivian R1T?;Dacia Spring;Rivian R1T;1045;3175;kg;Hur många kg skiljer tjänstevikten?
Väger en Microlino mer eller mindre än en Volvo EX90?;Microlino;Volvo EX90;535;2670;kg;Hur många kg skiljer tjänstevikten?
Väger en Citroën Ami mer eller mindre än en Smart #1?;Citroën Ami;Smart #1;471;1788;kg;Hur många kg skiljer tjänstevikten?
Väger en Renault Twizy mer eller mindre än en Hyundai Ioniq 5?;Renault Twizy;Hyundai Ioniq 5;474;2020;kg;Hur många kg skiljer tjänstevikten?
Väger en Microlino mer eller mindre än en Mercedes-Benz EQS SUV 450?;Microlino;Mercedes-Benz EQS SUV 450;535;2890;kg;Hur många kg skiljer tjänstevikten?
Väger en Citroën Ami mer eller mindre än en GMC Hummer EV?;Citroën Ami;GMC Hummer EV;471;4100;kg;Hur många kg skiljer tjänstevikten?
Väger en Renault Twizy mer eller mindre än en GMC Hummer EV?;Renault Twizy;GMC Hummer EV;474;4100;kg;Hur många kg skiljer tjänstevikten?
