fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är hundrasen saluki en äldre eller yngre ras än cane corso, räknat från det år rasen erkändes?;Saluki;Cane corso;103;19;år;Hur många år skiljer det i rasens ålder?
Är hundrasen lagotto romagnolo en äldre eller yngre ras än afghanhund, räknat från det år rasen erkändes?;Lagotto romagnolo;Afghanhund;31;65;år;Hur många år skiljer det i rasens ålder?
Är hundrasen pekingese en äldre eller yngre ras än cesky terrier, räknat från det år rasen erkändes?;Pekingese;Cesky terrier;128;63;år;Hur många år skiljer det i rasens ålder?
Är hundrasen dobermann en äldre eller yngre ras än pharaohhund, räknat från det år rasen erkändes?;Dobermann;Pharaohhund;126;63;år;Hur många år skiljer det i rasens ålder?
Är hundrasen bernhardshund en äldre eller yngre ras än dalmatiner, räknat från det år rasen erkändes?;Bernhardshund;Dalmatiner;139;136;år;Hur många år skiljer det i rasens ålder?
Är hundrasen boxer en äldre eller yngre ras än weimaraner, räknat från det år rasen erkändes?;Boxer;Weimaraner;131;130;år;Hur många år skiljer det i rasens ålder?
Är hundrasen bullmastiff en äldre eller yngre ras än rhodesian ridgeback, räknat från det år rasen erkändes?;Bullmastiff;Rhodesian ridgeback;102;104;år;Hur många år skiljer det i rasens ålder?
Är hundrasen akita en äldre eller yngre ras än dogo argentino, räknat från det år rasen erkändes?;Akita;Dogo argentino;95;98;år;Hur många år skiljer det i rasens ålder?
Är hundrasen leonberger en äldre eller yngre ras än rottweiler, räknat från det år rasen erkändes?;Leonberger;Rottweiler;135;125;år;Hur många år skiljer det i rasens ålder?
Är hundrasen staffordshire bullterrier en äldre eller yngre ras än bullterrier, räknat från det år rasen erkändes?;Staffordshire bullterrier;Bullterrier;91;138;år;Hur många år skiljer det i rasens ålder?
Är hundrasen whippet en äldre eller yngre ras än cesky terrier, räknat från det år rasen erkändes?;Whippet;Cesky terrier;135;63;år;Hur många år skiljer det i rasens ålder?
Är hundrasen eurasier en äldre eller yngre ras än rottweiler, räknat från det år rasen erkändes?;Eurasier;Rottweiler;53;125;år;Hur många år skiljer det i rasens ålder?
Är hundrasen staffordshire bullterrier en äldre eller yngre ras än shar pei, räknat från det år rasen erkändes?;Staffordshire bullterrier;Shar pei;91;45;år;Hur många år skiljer det i rasens ålder?
Är hundrasen svart terrier en äldre eller yngre ras än dogo argentino, räknat från det år rasen erkändes?;Svart terrier;Dogo argentino;42;98;år;Hur många år skiljer det i rasens ålder?
Är hundrasen bullmastiff en äldre eller yngre ras än shar pei, räknat från det år rasen erkändes?;Bullmastiff;Shar pei;102;45;år;Hur många år skiljer det i rasens ålder?
Är hundrasen jack russell-terrier en äldre eller yngre ras än nova scotia duck tolling retriever, räknat från det år rasen erkändes?;Jack russell-terrier;Nova scotia duck tolling retriever;26;81;år;Hur många år skiljer det i rasens ålder?
Är hundrasen shar pei en äldre eller yngre ras än jack russell-terrier, räknat från det år rasen erkändes?;Shar pei;Jack russell-terrier;45;26;år;Hur många år skiljer det i rasens ålder?
Är hundrasen svart terrier en äldre eller yngre ras än bullterrier, räknat från det år rasen erkändes?;Svart terrier;Bullterrier;42;138;år;Hur många år skiljer det i rasens ålder?
Är hundrasen leonberger en äldre eller yngre ras än nova scotia duck tolling retriever, räknat från det år rasen erkändes?;Leonberger;Nova scotia duck tolling retriever;135;81;år;Hur många år skiljer det i rasens ålder?
Är hundrasen lagotto romagnolo en äldre eller yngre ras än dalmatiner, räknat från det år rasen erkändes?;Lagotto romagnolo;Dalmatiner;31;136;år;Hur många år skiljer det i rasens ålder?
Är hundrasen weimaraner en äldre eller yngre ras än cane corso, räknat från det år rasen erkändes?;Weimaraner;Cane corso;130;19;år;Hur många år skiljer det i rasens ålder?
Är hundrasen dobermann en äldre eller yngre ras än shar pei, räknat från det år rasen erkändes?;Dobermann;Shar pei;126;45;år;Hur många år skiljer det i rasens ålder?
Är hundrasen eurasier en äldre eller yngre ras än bernhardshund, räknat från det år rasen erkändes?;Eurasier;Bernhardshund;53;139;år;Hur många år skiljer det i rasens ålder?
