fråga;källa;år
Är en basketboll större eller mindre i diameter än en tennisboll?;FIBA officiella regler (boll storlek 7, omkrets ~75 cm → diameter ~24 cm) + ITF tennisboll 6,54–6,86 cm;2024
Är en pingisboll större eller mindre i diameter än en fotboll?;FIFA fotboll storlek 5 (omkrets 68–70 cm → diameter ~22 cm) + ITTF pingisboll 40 mm;2024
Är ett bowlingklot större eller mindre i diameter än en golfboll?;USBC bowlingklot diameter 21,59–21,84 cm + R&A/USGA golfboll min 4,267 cm;2024
Är en tennisboll större eller mindre i diameter än en handboll?;IHF handboll herr storlek 3 (omkrets 58–60 cm → diameter ~19 cm) + ITF tennisboll;2024
Väger en ishockeypuck mer eller mindre än en pingisboll?;IIHF puck 156–170 g + ITTF pingisboll 2,7 g;2025
Väger en pingisboll mer eller mindre än ett bowlingklot?;USBC bowlingklot max 7,26 kg (typiskt 7 kg) + ITTF pingisboll 2,7 g;2024
Väger ett bowlingklot mer eller mindre än en golfboll?;USBC bowlingklot ~7 kg + USGA golfboll max 45,93 g;2024
Väger en pingisboll mer eller mindre än en fotboll?;FIFA fotboll storlek 5 (410–450 g) + ITTF pingisboll 2,7 g;2024
Väger en basketboll mer eller mindre än en tennisboll?;FIBA basketboll storlek 7 (567–650 g) + ITF tennisboll 56,0–59,4 g;2024
Väger en golfboll mer eller mindre än en handboll?;IHF handboll herr (425–475 g) + USGA golfboll max 45,93 g;2024
Väger en ishockeypuck mer eller mindre än en tennisboll?;IIHF/NHL puck 156–170 g + ITF tennisboll 56–59 g;2024
Är det fler eller färre spelare i ett ishockeylag på isen än i ett fotbollslag?;FIFA spelregler (11 utespelare) + IIHF (6 inkl. målvakt på isen);2024
Är det fler eller färre spelare i ett handbollslag än i ett basketlag på planen?;IHF (7 inkl. målvakt) + FIBA (5 på planen);2024
Är det fler eller färre spelare i ett basketlag på planen än i ett fotbollslag?;FIFA (11) + FIBA (5);2024
Är det fler eller färre spelare i ett volleybollag än i ett handbollslag på planen?;FIVB (6) + IHF (7);2024
Är en basketplan längre eller kortare än en fotbollsplan?;FIFA standardplan längd ~105 m + FIBA basketplan 28 m;2024
Är en simbassäng i OS längre eller kortare än en tennisbana?;World Aquatics OS-bassäng 50 m + ITF tennisbana 23,77 m;2024
Är en ishockeyrink längre eller kortare än en basketplan?;IIHF rink 60 m + FIBA basketplan 28 m;2024
Är en tennisbana bredare eller smalare än en fotbollsplan?;FIFA standardplan bredd ~68 m + ITF tennisbana bredd dubbel 10,97 m;2024
Är ett hundrameterslopp längre eller kortare än ett maratonlopp?;World Athletics maraton 42 195 m + 100 m-lopp;2024
Slår en tennisserve fortare eller långsammare än ett ishockeyslagskott?;Typiska toppvärden: tennisserve elit ~200 km/h + ishockeyslagskott ~160 km/h;2024
Slår ett hårt fotbollsskott fortare eller långsammare än ett ishockeyslagskott?;Typiska toppvärden: ishockeyslagskott ~160 km/h + hårt fotbollsskott ~120 km/h;2024
Slår en tennisserve fortare eller långsammare än ett hårt fotbollsskott?;Typiska toppvärden: tennisserve ~200 km/h + fotbollsskott ~120 km/h;2024
Är en tennisbana längre eller kortare än en fotbollsplan?;FIFA standardplan längd ~105 m + ITF tennisbana 23,77 m;2024
Är världsrekordet i stavhopp högre eller lägre än rekordet i höjdhopp?;World Athletics stavhopp herr 6,30 m (Duplantis, Tokyo 2025) + höjdhopp herr 2,45 m (Sotomayor 1993);2025
Är världsrekordet i längdhopp längre eller kortare än rekordet i stavhopp?;World Athletics längdhopp herr 8,95 m (Mike Powell 1991) + stavhopp herr 6,30 m (Duplantis, Tokyo 2025);2025
Är en ishockeymatch längre eller kortare i speltid än en fotbollsmatch?;FIFA ordinarie speltid 90 min + IIHF/NHL 3x20 = 60 min;2024
