fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Vilket av märkena är äldst?;LinkedIn;Indeed;24;22;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Glassdoor;Grammarly;19;17;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;AIG;Parker Hannifin;107;109;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Seagate;UniCredit;47;28;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Autodesk;Bobcat;44;68;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Bridgestone;Mack Trucks;95;126;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Western Union;Eaton;175;115;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Schlumberger;Mack Trucks;100;126;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Lloyds Bank;Hitachi;261;116;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Parker Hannifin;JCB;109;81;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Fujifilm;KONE;92;116;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Adobe;UniCredit;44;28;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Indeed;Logitech;22;45;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;JCB;Coursera;81;14;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Fiverr;Micron;16;48;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Grammarly;Schlumberger;17;100;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Glassdoor;Fujifilm;19;92;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Western Union;Bobcat;175;68;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Lloyds Bank;Mahindra;261;81;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Eaton;Autodesk;115;44;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Patreon;AIG;13;107;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Fiverr;Hitachi;16;116;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Patreon;KONE;13;116;år;Hur många år skiljer dem åt?
