fråga;källa;år
Är Shanghai Tower högre eller lägre än Taipei 101?;Wikipedia: Shanghai Tower (632 m), Taipei 101 (508 m);2026
Är Petronas Towers högre eller lägre än Willis Tower?;Wikipedia: Petronas Towers (451,9 m), Willis Tower (442,3 m);2026
Är Triumfbågen i Paris högre eller lägre än Lutande tornet i Pisa?;Wikipedia: Arc de Triomphe (~50 m), Lutande tornet i Pisa (~56 m);2026
Är London Eye högre eller lägre än Sagrada Familia?;Wikipedia: London Eye (135 m), Sagrada Familia (172,5 m);2026
Är Petronas Towers högre eller lägre än Gateway Arch?;Wikipedia: Petronas Towers (451,9 m), Gateway Arch (192 m);2026
Är Christusstatyn i Rio högre eller lägre än Colosseum?;Wikipedia: Christ the Redeemer (~38 m inkl. sockel), Colosseum (~48 m);2026
Är Notre-Dame högre eller lägre än London Eye?;Wikipedia: Notre-Dame de Paris (~96 m till spiran), London Eye (135 m);2026
Är Big Ben högre eller lägre än Triumfbågen i Paris?;Wikipedia: Elizabeth Tower/Big Ben (96 m), Arc de Triomphe (~50 m);2026
Är Atomium högre eller lägre än Gateway Arch?;Wikipedia: Atomium (102 m), Gateway Arch (192 m);2026
Är Chrysler Building högre eller lägre än Sagrada Familia?;Wikipedia: Chrysler Building (318,9 m), Sagrada Familia (172,5 m);2026
Är Colosseum högre eller lägre än Chrysler Building?;Wikipedia: Colosseum (~48 m), Chrysler Building (318,9 m);2026
Är Pariserhjulet Wiener Riesenrad i Wien högre eller lägre än Washington Monument?;Wikipedia: Wiener Riesenrad (64,75 m), Washington Monument (169 m);2026
Är Space Needle högre eller lägre än Pariserhjulet Wiener Riesenrad i Wien?;Wikipedia: Space Needle (184 m), Wiener Riesenrad (64,75 m);2026
Är Washington Monument högre eller lägre än Willis Tower?;Wikipedia: Washington Monument (169 m), Willis Tower (442,3 m);2026
Är Taipei 101 högre eller lägre än Atomium?;Wikipedia: Taipei 101 (508 m), Atomium (102 m);2026
Är London Eye högre eller lägre än Petronas Towers?;Wikipedia: London Eye (135 m), Petronas Towers (451,9 m);2026
Är Christusstatyn i Rio högre eller lägre än CN-tornet?;Wikipedia: Christ the Redeemer (~38 m inkl. sockel), CN Tower (553,3 m);2026
Är Shanghai Tower högre eller lägre än Pariserhjulet Wiener Riesenrad i Wien?;Wikipedia: Shanghai Tower (632 m), Wiener Riesenrad (64,75 m);2026
Är Big Ben högre eller lägre än Willis Tower?;Wikipedia: Elizabeth Tower/Big Ben (96 m), Willis Tower (442,3 m);2026
Är Hagia Sofia äldre eller yngre än Pantheon i Rom?;Wikipedia: Hagia Sofia (färdig 537, ~1489 år), Pantheon (~118-128 e.Kr., ~1900 år);2026
Är Alhambra äldre eller yngre än Förbjudna staden i Peking?;Wikipedia: Alhambra (1238-1358, ~700 år), Förbjudna staden (1406-1420, ~605 år);2026
Är Förbjudna staden i Peking äldre eller yngre än Himeji slott?;Wikipedia: Förbjudna staden (1406-1420, ~605 år), Himeji slott (ombyggt 1601-1609, ~415 år);2026
Är Sacré-Cœur i Paris äldre eller yngre än Vasilijkatedralen i Moskva?;Wikipedia: Sacré-Cœur (1914, ~112 år), Vasilijkatedralen (1555-1561, ~465 år);2026
Är Pantheon i Rom äldre eller yngre än Sacré-Cœur i Paris?;Wikipedia: Pantheon (~118-128 e.Kr., ~1900 år), Sacré-Cœur (färdig 1914, ~112 år);2026
Är Alhambra äldre eller yngre än Sacré-Cœur i Paris?;Wikipedia: Alhambra (1238-1358, ~700 år), Sacré-Cœur (1914, ~112 år);2026
Är Storebæltsbron längre eller kortare än Akashi Kaikyō-bron?;Wikipedia: Storebæltsbron (Östbron ~6 790 m), Akashi Kaikyō-bron (3 911 m total);2026
