fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Väger en anka mer eller mindre än en svan?;Anka;Svan;3;11;kilo;Hur många kilo skiljer det?
Är en mus längre eller kortare än en råtta?;Mus;Råtta;9;25;centimeter;Hur många centimeter skiljer det?
Väger en groda mer eller mindre än en padda?;Groda;Padda;22;80;gram;Hur många gram skiljer det?
Väger en krabba mer eller mindre än en hummer?;Krabba;Hummer;200;700;gram;Hur många gram skiljer det?
Väger en mullvad mer eller mindre än en grävling?;Mullvad;Grävling;0,1;12;kilo;Hur många kilo skiljer det?
Väger en fladdermus mer eller mindre än en uggla?;Fladdermus;Uggla;30;500;gram;Hur många gram skiljer det?
Väger en torsk mer eller mindre än en makrill?;Torsk;Makrill;3;0,5;kilo;Hur många kilo skiljer det?
Väger en älg mer eller mindre än en ren?;Älg;Ren;450;150;kilo;Hur många kilo skiljer det?
Väger en kalv mer eller mindre än ett lamm?;Kalv;Lamm;40;25;kilo;Hur många kilo skiljer det?
Väger en pelikan mer eller mindre än en kolibri?;Pelikan;Kolibri;7000;4;gram;Hur många gram skiljer det?
Är en hammarhaj längre eller kortare än en knölval?;Hammarhaj;Knölval;4;14;meter;Hur många meter skiljer det?
Väger en aprikos mer eller mindre än en pumpa?;Aprikos;Pumpa;40;4000;gram;Hur många gram skiljer det?
Väger en kokosnöt mer eller mindre än ett ägg?;Kokosnöt;Ägg;1400;60;gram;Hur många gram skiljer det?
Väger ett blomkålshuvud mer eller mindre än en gurka?;Blomkålshuvud;Gurka;500;300;gram;Hur många gram skiljer det?
Väger en klementin mer eller mindre än en mango?;Klementin;Mango;75;350;gram;Hur många gram skiljer det?
Väger en åkgräsklippare mer eller mindre än en golfbil?;Åkgräsklippare;Golfbil;200;400;kilo;Hur många kilo skiljer det?
Väger en gräsklippare mer eller mindre än en snöskoter?;Gräsklippare;Snöskoter;30;250;kilo;Hur många kilo skiljer det?
Väger en boulekula mer eller mindre än en innebandyboll?;Boulekula;Innebandyboll;700;23;gram;Hur många gram skiljer det?
Väger en squashboll mer eller mindre än en boxningssäck?;Squashboll;Boxningssäck;24;30000;gram;Hur många gram skiljer det?
Har Månen större eller mindre diameter än dvärgplaneten Ceres?;Månen;Dvärgplaneten Ceres;3475;940;km;Hur många kilometer skiljer det?
Faller det mer eller mindre regn på en timme vid duggregn än vid skyfall?;Duggregn;Skyfall;1;50;millimeter;Hur många millimeter skiljer det?
Väger en frisbee mer eller mindre än en tennisracket?;Frisbee;Tennisracket;175;300;gram;Hur många gram skiljer det?
