fråga;källa;år
Är floden Yangtze i Kina längre eller kortare än Mississippifloden?;Britannica/BBC Science Focus: Yangtze 6 300 km, Mississippi 3 766 km (från Lake Itasca);2026
Är floden Rhen längre eller kortare än Donau?;Britannica: Rhen 1 233 km (reviderad mätning), Donau 2 850 km;2026
Är Klarälven längre eller kortare än Torneälven?;Wikipedia: Klarälven 460 km inkl. norska delen (Trysilelva/Femundselva), Torneälven 522 km från Torneträsk till Bottenviken (SMHI anger 545 km från källa till hav);2026
Är Göta älv längre eller kortare än Klarälven?;Göta älvs vattenvårdsförbund: Göta älv 93 km (Vänern till havet), Wikipedia: Klarälven 460 km inkl. norska delen;2026
Är berget Fuji i Japan högre eller lägre än vulkanen Teide på Teneriffa?;Britannica: Fuji 3 776 m, Teide 3 715 m;2026
Är Norges högsta berg Galdhøpiggen högre eller lägre än vulkanen Teide?;Kartverket/PeakVisor: Galdhøpiggen 2 469 m, Britannica: Teide 3 715 m;2026
Är bergskedjan Anderna längre eller kortare än Alperna?;Britannica/Wikipedia: Anderna ca 7 000 km, Alperna ca 1 200 km;2026
Är Uralbergen längre eller kortare än Pyrenéerna?;Britannica: Uralbergen ca 2 500 km, Pyrenéerna ca 430 km (Wikipedia anger 491 km);2026
Är Victoriasjön i Afrika större eller mindre än Storsjön i Jämtland till ytan?;Wikipedia (sv): Victoriasjön 68 870 km² (Britannica anger 69 484 km²), NE: Storsjön 456 km² (SMHI anger 464 km²);2026
Är Vänern större eller mindre än Kaspiska havet till ytan?;Wikipedia: Vänern 5 655 km² (SMHI karakteristiska data anger 5 450 km²), Kaspiska havet 371 000 km²;2026
Är sjön Hornavan i Lappland djupare eller grundare än Storsjön i Jämtland?;SMHI: Hornavan maxdjup 221 m (Sveriges djupaste sjö), Storsjön maxdjup 74 m;2026
Är Vänern djupare eller grundare än sjön Hornavan?;SMHI: Vänern maxdjup 106 m, Hornavan 221 m;2026
Är Victoriafallen i Afrika högre eller lägre än Niagarafallen?;Wikipedia: Victoriafallen 108 m, Niagarafallen 51 m;2026
Är Bornholm större eller mindre än Själland till ytan?;Wikipedia/Lex.dk: Bornholm 588 km², Själland 7 031 km²;2026
Är Madagaskar större eller mindre än Grönland till ytan?;Wikipedia: Madagaskar 587 041 km², Grönland 2 166 086 km²;2026
Är Australien större eller mindre än Antarktis till ytan?;Wikipedia: Australien 7,69 milj km², Antarktis 14,2 milj km²;2026
Är Grönlands inlandsis större eller mindre än Sahara till ytan?;NSIDC: Grönlands inlandsis 1,7 milj km², Wikipedia/Britannica: Sahara 9,2 milj km²;2026
Är Norra ishavet större eller mindre än Medelhavet till ytan?;Wikipedia/Britannica: Norra ishavet 14,06 milj km², Medelhavet 2,5 milj km²;2026
Gränsar Frankrike till fler eller färre länder än Kina?;Wikipedia (Borders of France): Frankrike (europeiska delen) 8 grannländer (Andorra, Belgien, Italien, Luxemburg, Monaco, Schweiz, Spanien, Tyskland), Kina 14;2026
Gränsar Norge till fler eller färre länder än Danmark?;Wikipedia/WorldAtlas: Norge 3 grannländer (Sverige, Finland, Ryssland), Danmark 1 landgräns (Tyskland);2026
Är Vänern djupare eller grundare än Bajkalsjön i Ryssland?;SMHI: Vänern maxdjup 106 m, Guinness World Records/Wikipedia: Bajkalsjön 1 642 m;2026
Är Mississippifloden längre eller kortare än Göta älv?;Britannica: Mississippi 3 766 km (från Lake Itasca), Göta älvs vattenvårdsförbund: Göta älv 93 km (Vänern till havet);2026
Är Marianergraven i Stilla havet djupare eller grundare än Bajkalsjön?;Wikipedia (Challenger Deep): Marianergraven 10 935 m (2021 års mätning), Bajkalsjön 1 642 m;2026
Är vulkanen Vesuvius högre eller lägre än vulkanen Teide?;Wikipedia: Vesuvius 1 281 m, Britannica: Teide 3 715 m;2026
Är Island större eller mindre än den danska ön Själland till ytan?;Wikipedia: Island 103 000 km², Lex.dk: Själland 7 031 km²;2026
Är Mallorca större eller mindre än Bornholm till ytan?;Wikipedia: Mallorca 3 640 km², Bornholm 588 km²;2026
Är Victoriafallen högre eller lägre än Angelfallen i Venezuela?;Wikipedia: Victoriafallen 108 m, Angelfallen 979 m;2026
