fråga;källa;år
Dog Birger Jarl tidigare eller senare än Magnus Ladulås?;Wikipedia (Birger Jarl d. 1266, Magnus Ladulås d. 1290);2024
Dog Erik den helige tidigare eller senare än Heliga Birgitta?;Wikipedia / SO-rummet (Erik den helige d. ca 1160, Heliga Birgitta d. 1373);2024
Levde Sten Sture den äldre kortare eller längre än Axel Oxenstierna?;Wikipedia (Sten Sture d.ä. ca 1440-1503, Axel Oxenstierna 1583-1654);2024
Levde drottning Margareta längre eller kortare än Engelbrekt?;Wikipedia (Margareta 1353-1412, Engelbrekt ca 1390-1436);2024
Blev Karl X Gustav äldre eller yngre än Karl IX?;Wikipedia (Karl X Gustav 1622-1660, Karl IX 1550-1611);2024
Byggdes Gripsholms slott senare eller tidigare än Kalmar slott?;Kalmar läns museum (kastal ca 1180), Wikipedia (Gripsholm byggstart 1537);2024
Byggdes Skokloster slott senare eller tidigare än Borgholms slott?;Kalmar läns museum (Borgholms kärntorn 1100-talet), Wikipedia (Skokloster byggstart 1654);2024
Levde Anders Celsius längre eller kortare än Alfred Nobel?;Wikipedia (Anders Celsius 1701-1744, Alfred Nobel 1833-1896);2024
Regerade Magnus Eriksson fler eller färre år än Karl X Gustav?;Wikipedia (Magnus Eriksson kung 1319-1364, Karl X Gustav kung 1654-1660);2024
Levde Carl von Linné längre eller kortare än Anders Celsius?;Wikipedia (Carl von Linné 1707-1778, Anders Celsius 1701-1744);2024
Levde Engelbrekt längre eller kortare än Heliga Birgitta?;Wikipedia (Engelbrekt ca 1390-1436, Birgitta 1303-1373);2024
Var Hedvig Eleonora förmyndarregent fler eller färre år än Birger Jarl styrde som jarl?;Wikipedia (Hedvig Eleonora förmyndarregent 1660-1672, Birger Jarl jarl 1248-1266);2024
Levde Anders Celsius längre eller kortare än Emanuel Swedenborg?;Wikipedia (Celsius 1701-1744, Swedenborg 1688-1772);2024
Är regalskeppet Kronan längre än Kalmar Nyckel?;Wikipedia / Kalmar läns museum (Kronan ca 60 m, Kalmar Nyckel ca 28 m);2024
Är ostindiefararen Götheborg längre än Kalmar Nyckel?;gotheborg.se / Wikipedia (Götheborg 58,5 m, Kalmar Nyckel ca 28 m);2024
Regerade Magnus Ladulås fler eller färre år än Magnus Eriksson?;Wikipedia (Magnus Ladulås 1275-1290, Magnus Eriksson 1319-1364);2024
Hade ostindiefararen Götheborg fler man i besättningen än antal kanoner ombord?;gotheborg.se / Wikipedia (besättning ca 144, 30 kanoner vid jungfruresan);2024
Regerade Karl IX fler eller färre år än Magnus Eriksson?;Wikipedia (Karl IX 1604-1611, Magnus Eriksson 1319-1364);2024
Ledde Engelbrekt upproret fler eller färre år än Hedvig Eleonora var förmyndarregent?;Wikipedia (Engelbrektsupproret 1434-1436, Hedvig Eleonora förmyndarregent 1660-1672);2024
Regerade Karl X Gustav fler eller färre år än Karl IX?;Wikipedia (Karl X Gustav kung 1654-1660, Karl IX kung 1604-1611);2024
Byggdes Gripsholms slott senare eller tidigare än Borgholms slott?;Kalmar läns museum (Borgholms kärntorn 1100-talet), Wikipedia (Gripsholm byggstart 1537);2024
Byggdes Skokloster slott senare eller tidigare än Bohus fästning?;Wikipedia (Bohus fästning byggstart 1308, Skokloster byggstart 1654);2024
Hade regalskeppet Kronan fler kanoner än master?;Wikipedia / Kalmar läns museum (Kronan 126 kanoner, 3 master);2024
Levde Erik den helige längre eller kortare än Carl von Linné?;Wikipedia (Erik den helige ca 1120-1160, Linné 1707-1778);2024
Regerade Magnus Ladulås fler eller färre år än Axel Oxenstierna var rikskansler?;Wikipedia (Magnus Ladulås kung 1275-1290, Oxenstierna rikskansler 1612-1654);2024
Hade ostindiefararen Götheborg fler man i besättningen än antal master?;gotheborg.se / Wikipedia (besättning ca 144, 3 master);2024
Hade regalskeppet Kronan fler kanoner än Kalmar Nyckel?;Wikipedia (Kronan 126 kanoner, Kalmar Nyckel ca 6 kanoner);2024
Är Gripsholms slott äldre eller yngre än Skokloster slott till antalet år?;Wikipedia (Gripsholm byggstart 1537, Skokloster byggstart 1654; ålder räknat från 2026);2024
