fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Vilket av märkena är äldst?;Husqvarna;IKEA;337;83;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Hästens;Spotify;174;20;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Volvo;Ericsson;99;150;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;H&M;Bahco;79;140;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Marabou;Cloetta;110;164;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Voi;Fjällräven;8;66;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Scania;Saab;135;89;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Mojang;Systembolaget;17;71;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Absolut Vodka;Klarna;147;21;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Oatly;Electrolux;32;107;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Telia;Marabou;173;110;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Daniel Wellington;Gevalia;15;173;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Löfbergs;Björn Borg;120;42;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Felix;Pågen;87;148;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Clas Ohlson;Acne Studios;108;30;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Apple;Microsoft;50;51;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Coca-Cola;Spotify;140;20;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Nintendo;Sony;137;80;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Nike;Heineken;62;162;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Volvo;Google;99;28;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Netflix;Carlsberg;29;179;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Saab;Tesla;89;23;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;McDonald's;Burger King;86;72;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Samsung;Pepsi;88;128;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Audi;Adidas;117;77;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Facebook;ICA;22;88;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Levi's;King;173;23;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Lufthansa;BMW;73;110;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Disney;Mercedes-Benz;103;100;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Polestar;SAS;9;80;år;Hur många år skiljer dem åt?
