fråga;källa;år
Vilket av märkena är äldst?;återanvänt verifierat märke Åbro (ålder 170) + Louis Vuitton (ålder 172);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Aston Martin (ålder 113) + Brother (ålder 118);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Henkel (ålder 150) + Piaget (ålder 152);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Bottega Veneta (ålder 60) + Stella Artois (ålder 100);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Aritzia (ålder 42) + Bauhaus (ålder 66);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Saint Laurent (ålder 65) + Hilti (ålder 85);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Valentino (ålder 66) + Hankook (ålder 85);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Four Seasons (ålder 66) + Columbia (ålder 88);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Maker's Mark (ålder 68) + Krispy Kreme (ålder 89);2026
Vilket av märkena är äldst?;återanvänt verifierat märke LG (ålder 68) + Cole Haan (ålder 98);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Warner Music (ålder 68) + Iberia (ålder 99);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Acura (ålder 40) + Telefónica (ålder 102);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Milky Way (ålder 103) + Magnum (ålder 37);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Hasbro (ålder 103) + Patrón (ålder 37);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Frigidaire (ålder 108) + Marc Jacobs (ålder 42);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Isuzu (ålder 110) + Sony Pictures (ålder 39);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Makita (ålder 111) + GameStop (ålder 42);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Leica (ålder 112) + MAC Cosmetics (ålder 42);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Universal Pictures (ålder 114) + Tommy Hilfiger (ålder 41);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Moët & Chandon (ålder 283) + About You (ålder 12);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Vacheron Constantin (ålder 271) + Acast (ålder 12);2026
Vilket av märkena är äldst?;återanvänt verifierat märke The Macallan (ålder 202) + Apohem (ålder 9);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Jim Beam (ålder 231) + DeepL (ålder 9);2026
Vilket av märkena är äldst?;återanvänt verifierat märke Johnnie Walker (ålder 206) + Fenty Beauty (ålder 9);2026
