fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är en vuxen man i snitt längre eller kortare än en vuxen kvinna?;Vuxen man;Vuxen kvinna;180;167;centimeter;Hur många centimeter skiljer det?
Är den normala kroppstemperaturen högre eller lägre än vid lätt feber?;Normal kroppstemperatur;Lätt feber;37;38;°C;Hur många grader skiljer det?
Slår en kvinnas hjärta i vila fler eller färre slag per minut än en mans?;Kvinna i vila;Man i vila;78;70;slag per minut;Hur många slag per minut skiljer det?
Har ett barn med mjölktänder fler eller färre tänder än en vuxen?;Barn med mjölktänder;Vuxen;20;32;tänder;Hur många tänder skiljer det?
Har människan fler eller färre revben än ryggkotor?;Revben;Ryggkotor;24;33;stycken;Hur många stycken skiljer det?
Har en vuxen man mer eller mindre blod i kroppen än en vuxen kvinna?;Vuxen man;Vuxen kvinna;5,5;4,5;liter;Hur många liter skiljer det?
Sover en vuxen fler eller färre timmar per dygn än hen är vaken?;Sover;Vaken;8;16;timmar;Hur många timmar skiljer det?
Föds ett spädbarn med fler eller färre ben i kroppen än en vuxen?;Spädbarn;Vuxen;300;206;ben;Hur många ben skiljer det?
Slår ett litet barns hjärta i vila fler eller färre slag per minut än en vuxens?;Litet barn;Vuxen;100;70;slag per minut;Hur många slag per minut skiljer det?
Tar en vuxen i vila fler eller färre andetag per minut än ett litet barn?;Vuxen;Litet barn;16;30;andetag per minut;Hur många andetag per minut skiljer det?
Väger en njure mer eller mindre än hjärtat?;Njure;Hjärta;150;300;gram;Hur många gram skiljer det?
Växer en tånagel snabbare eller långsammare än en fingernagel?;Tånagel;Fingernagel;1,6;3,5;millimeter per månad;Hur många millimeter per månad skiljer det?
Väger hjärnan hos en vuxen mer eller mindre än hos en nyfödd?;Vuxens hjärna;Nyfödds hjärna;1,4;0,4;kilo;Hur många kilo skiljer det?
Är tjocktarmen längre eller kortare än tunntarmen?;Tjocktarmen;Tunntarmen;1,5;7;meter;Hur många meter skiljer det?
Väger levern mer eller mindre än hjärtat?;Levern;Hjärtat;1500;300;gram;Hur många gram skiljer det?
Har huden större eller mindre yta än lungorna invändigt?;Huden;Lungorna;1,8;75;kvadratmeter;Hur många kvadratmeter skiljer det?
Slår hjärtat fler eller färre gånger per dygn än vi tar andetag?;Hjärtslag per dygn;Andetag per dygn;100000;23000;gånger;Hur många gånger skiljer det?
Består en vuxen mans kropp till större eller mindre andel av vatten än av fett?;Vatten i kroppen;Fett i kroppen;60;18;procent;Hur många procentenheter skiljer det?
Är den högsta tonen vi kan höra högre eller lägre än den lägsta?;Högsta tonen;Lägsta tonen;20000;20;hertz;Hur många hertz skiljer det?
Växer naglarna snabbare eller långsammare än håret på huvudet?;Naglar;Hår;3,5;12;millimeter per månad;Hur många millimeter per månad skiljer det?
Utgör hjärnan en större eller mindre andel av kroppens syreförbrukning än av kroppsvikten?;Hjärnans andel av syret;Hjärnans andel av vikten;20;2;procent;Hur många procentenheter skiljer det?
Är lårbenet, kroppens längsta ben, längre eller kortare än stigbygeln, kroppens minsta ben?;Lårbenet;Stigbygeln;50;0,3;centimeter;Hur många centimeter skiljer det?
Finns det fler eller färre framtänder än mjölktänder i en mun?;Framtänder;Mjölktänder;8;20;tänder;Hur många tänder skiljer det?
Slår hjärtat fler eller färre slag per minut i vila än under hård träning?;Vilopuls;Träningspuls;70;170;slag per minut;Hur många slag per minut skiljer det?
Är en vuxen man längre eller kortare än en nyfödd?;Vuxen man;Nyfödd;180;50;centimeter;Hur många centimeter skiljer det?
Har människokroppen fler eller färre ben än muskler?;Ben;Muskler;206;600;stycken;Hur många stycken skiljer det?
