fråga;källa;år
Springer en italiensk vinthund snabbare eller långsammare än en greyhound?;Guinness World Records / racingdata greyhound 72 km/h; italiensk vinthund ~40 km/h (sighthound-litteratur);2024
Springer en saluki snabbare eller långsammare än en sloughi?;Sighthound-/racingdata: saluki ~68 km/h, sloughi ~67 km/h (42 mph);2024
Springer en tysk schäferhund snabbare eller långsammare än en vizsla?;Rasdata: vizsla ~64 km/h (40 mph), tysk schäferhund ~48 km/h (~30 mph, dokumenterad GSD-toppfart 31,37 mph);2024
Springer en afghanhund snabbare eller långsammare än en borzoi?;Sighthound-rasdata: afghanhund ~64 km/h (40 mph), borzoi ~58 km/h (36 mph);2024
Springer en pharaohhund snabbare eller långsammare än en azawakh?;Rasdata: pharaohhund ~56 km/h (35 mph), azawakh ~64 km/h (40 mph);2024
Har en brittany lägre eller högre andel höftledsdysplasi än en chow chow?;ofa.org Disease Statistics by Breed (Hip Dysplasia): chow chow ~50 % (1393 utvärderade 1974–2020, 49,8 % dysplastiska), brittany ~6 %;1974–2020
Har en sussex spaniel högre eller lägre andel höftledsdysplasi än en chesapeake bay retriever?;ofa.org Disease Statistics by Breed (Hip Dysplasia): sussex spaniel ~42 %, chesapeake bay retriever ~12 %;2024
Har en pointer lägre eller högre andel höftledsdysplasi än en gammal dansk hönsehund?;ofa.org Disease Statistics by Breed (Hip Dysplasia): pointer ~6 %, gammal dansk hönsehund ~30 %;2024
Har en bloodhound högre eller lägre andel höftledsdysplasi än en kuvasz?;ofa.org Disease Statistics by Breed (Hip Dysplasia): bloodhound ~26 %, kuvasz ~14 %;2024
Har en gordonsetter lägre eller högre andel höftledsdysplasi än en american staffordshire terrier?;ofa.org Disease Statistics by Breed (Hip Dysplasia): gordonsetter ~21 %, american staffordshire terrier ~25 %;2024
Har en pudelpointer lägre eller högre andel höftledsdysplasi än en briard?;ofa.org Disease Statistics by Breed (Hip Dysplasia): pudelpointer ~7 %, briard ~22 %;2024
