fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Vilket av märkena är äldst?;Nvidia;Adobe;33;44;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Tele2;Axis Communications;33;42;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Truecaller;Adobe;17;44;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Fortnox;Tre;25;26;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Sony;Klarna;80;21;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Telia;Embracer Group;173;15;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Disney;Viaplay;103;19;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Storytel;Tobii;20;25;år;Hur många år skiljer dem åt?
Vilket märke är värt mest som varumärke? (2024);Sony;Netflix;20,8;19,7;miljarder USD;Hur många miljarder dollar skiljer det?
Vilket märke är värt mest som varumärke? (2024);Samsung;Sony;100,8;20,8;miljarder USD;Hur många miljarder dollar skiljer det?
Vilket märke är värt mest som varumärke? (2024);Microsoft;Sony;352,5;20,8;miljarder USD;Hur många miljarder dollar skiljer det?
Vilket märke är värt mest som varumärke? (2024);Nintendo;Adobe;11,5;39,4;miljarder USD;Hur många miljarder dollar skiljer det?
Vilket märke är värt mest som varumärke? (2024);Netflix;Samsung;19,7;100,8;miljarder USD;Hur många miljarder dollar skiljer det?
Vilket märke är värt mest som varumärke? (2024);Spotify;Apple;12,4;488,9;miljarder USD;Hur många miljarder dollar skiljer det?
Vilket märke har störst börsvärde? (2024);Apple;Microsoft;39543;33600;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Amazon;Nvidia;24696;34524;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Microsoft;Amazon;33600;24696;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Netflix;Ericsson;4073;276;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Ericsson;Telia;276;115;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Ericsson;Spotify;276;968;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har flest anställda?;Telia;Evolution;16859;21673;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Spotify;Axis Communications;7261;5238;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Klarna;Axis Communications;3422;5238;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Telia;Klarna;16859;3422;anställda;Hur många anställda skiljer det?
Vilket av märkena är äldst?;Disney;Truecaller;103;17;år;Hur många år skiljer dem åt?
Vilket märke finns i flest länder?;Klarna;Netflix;45;190;länder;Hur många länder skiljer det?
Vilket märke har störst omsättning? (2024);Tele2;Sinch;29,6;29,1;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Evolution;Paradox Interactive;25;2,2;miljarder kr;Hur många miljarder kronor skiljer det?
