fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har Anders Svensson fler eller färre A-landskamper för Sverige än Pontus Wernbloom?;Anders Svensson;Pontus Wernbloom;148;51;landskamper;Hur många landskamper skiljer det?
Har Anders Svensson fler eller färre A-landskamper för Sverige än Andreas Granqvist?;Anders Svensson;Andreas Granqvist;148;88;landskamper;Hur många landskamper skiljer det?
Har Andreas Isaksson fler eller färre A-landskamper för Sverige än Andreas Granqvist?;Andreas Isaksson;Andreas Granqvist;133;88;landskamper;Hur många landskamper skiljer det?
Har Kim Källström fler eller färre A-landskamper för Sverige än Pontus Wernbloom?;Kim Källström;Pontus Wernbloom;131;51;landskamper;Hur många landskamper skiljer det?
Har Sebastian Larsson fler eller färre A-landskamper för Sverige än Olof Mellberg?;Sebastian Larsson;Olof Mellberg;133;117;landskamper;Hur många landskamper skiljer det?
Har Roland Nilsson fler eller färre A-landskamper för Sverige än Niclas Alexandersson?;Roland Nilsson;Niclas Alexandersson;116;109;landskamper;Hur många landskamper skiljer det?
Har Patrik Andersson fler eller färre A-landskamper för Sverige än Zlatan Ibrahimović?;Patrik Andersson;Zlatan Ibrahimović;96;122;landskamper;Hur många landskamper skiljer det?
Har Thomas Ravelli fler eller färre A-landskamper för Sverige än Pontus Wernbloom?;Thomas Ravelli;Pontus Wernbloom;143;51;landskamper;Hur många landskamper skiljer det?
Har Mikael Lustig fler eller färre A-landskamper för Sverige än Anders Svensson?;Mikael Lustig;Anders Svensson;94;148;landskamper;Hur många landskamper skiljer det?
Har Henrik Larsson gjort fler eller färre A-landslagsmål för Sverige än Zlatan Ibrahimović?;Henrik Larsson;Zlatan Ibrahimović;37;62;mål;Hur många mål skiljer det?
Har Tomas Brolin gjort fler eller färre A-landslagsmål för Sverige än Sven Rydell?;Tomas Brolin;Sven Rydell;27;49;mål;Hur många mål skiljer det?
Har Gunnar Nordahl gjort fler eller färre A-landslagsmål för Sverige än Emil Forsberg?;Gunnar Nordahl;Emil Forsberg;43;21;mål;Hur många mål skiljer det?
Har Kennet Andersson gjort fler eller färre A-landslagsmål för Sverige än Sven Rydell?;Kennet Andersson;Sven Rydell;31;49;mål;Hur många mål skiljer det?
Har Johan Elmander gjort fler eller färre A-landslagsmål för Sverige än Zlatan Ibrahimović?;Johan Elmander;Zlatan Ibrahimović;20;62;mål;Hur många mål skiljer det?
Har Marcus Allbäck gjort fler eller färre A-landslagsmål för Sverige än Gunnar Nordahl?;Marcus Allbäck;Gunnar Nordahl;30;43;mål;Hur många mål skiljer det?
Har Tomas Brolin gjort fler eller färre A-landslagsmål för Sverige än Kennet Andersson?;Tomas Brolin;Kennet Andersson;27;31;mål;Hur många mål skiljer det?
Har Emil Forsberg gjort fler eller färre A-landslagsmål för Sverige än Henrik Larsson?;Emil Forsberg;Henrik Larsson;21;37;mål;Hur många mål skiljer det?
Är IFK Värnamo en äldre eller yngre klubb än FC Stockholm Internazionale? (2026);IFK Värnamo;FC Stockholm Internazionale;114;16;år;Hur många år skiljer det i ålder?
Är Dalkurd FF en äldre eller yngre klubb än Örgryte IS? (2026);Dalkurd FF;Örgryte IS;22;139;år;Hur många år skiljer det i ålder?
Är AFC Eskilstuna en äldre eller yngre klubb än GIF Sundsvall? (2026);AFC Eskilstuna;GIF Sundsvall;19;123;år;Hur många år skiljer det i ålder?
Är FC Stockholm Internazionale en äldre eller yngre klubb än Landskrona BoIS? (2026);FC Stockholm Internazionale;Landskrona BoIS;16;111;år;Hur många år skiljer det i ålder?
Är Dalkurd FF en äldre eller yngre klubb än IK Sirius? (2026);Dalkurd FF;IK Sirius;22;119;år;Hur många år skiljer det i ålder?
Är Örgryte IS en äldre eller yngre klubb än Syrianska FC? (2026);Örgryte IS;Syrianska FC;139;49;år;Hur många år skiljer det i ålder?
Är GIF Sundsvall en äldre eller yngre klubb än Assyriska FF? (2026);GIF Sundsvall;Assyriska FF;123;52;år;Hur många år skiljer det i ålder?
Är IK Sirius en äldre eller yngre klubb än Vasalunds IF? (2026);IK Sirius;Vasalunds IF;119;92;år;Hur många år skiljer det i ålder?
Är Landskrona BoIS en äldre eller yngre klubb än Utsiktens BK? (2026);Landskrona BoIS;Utsiktens BK;111;91;år;Hur många år skiljer det i ålder?
Är AFC Eskilstuna en äldre eller yngre klubb än IFK Värnamo? (2026);AFC Eskilstuna;IFK Värnamo;19;114;år;Hur många år skiljer det i ålder?
