fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Väger en nallebjörn mer eller mindre än en docka?;Nallebjörn;Docka;250;400;gram;Hur många gram skiljer det?
Väger en tegelsten mer eller mindre än en tvål?;Tegelsten;Tvål;2000;100;gram;Hur många gram skiljer det?
Väger en hammare mer eller mindre än en skruvmejsel?;Hammare;Skruvmejsel;500;80;gram;Hur många gram skiljer det?
Är en barnvagn längre eller kortare än en sparkstötting?;Barnvagn;Sparkstötting;100;130;centimeter;Hur många centimeter skiljer det?
Väger en stövel mer eller mindre än en sandal?;Stövel;Sandal;600;200;gram;Hur många gram skiljer det?
Är en kökskniv längre eller kortare än en brödkniv?;Kökskniv;Brödkniv;20;25;centimeter;Hur många centimeter skiljer det?
Väger en grilltång mer eller mindre än en sopskyffel?;Grilltång;Sopskyffel;200;250;gram;Hur många gram skiljer det?
Är ett badlakan längre eller kortare än en kökshandduk?;Badlakan;Kökshandduk;140;50;centimeter;Hur många centimeter skiljer det?
Väger en stekspade mer eller mindre än en grytlapp?;Stekspade;Grytlapp;90;25;gram;Hur många gram skiljer det?
Är en blomvas högre eller lägre än en blompinne är lång?;Blomvas;Blompinne;25;40;centimeter;Hur många centimeter skiljer det?
Väger en yllemössa mer eller mindre än ett par tumvantar?;Yllemössa;Tumvantar;80;60;gram;Hur många gram skiljer det?
Är en saltströare högre eller lägre än en pepparkvarn?;Saltströare;Pepparkvarn;9;18;centimeter;Hur många centimeter skiljer det?
Väger en kaffebryggare mer eller mindre än en vattenkokare?;Kaffebryggare;Vattenkokare;2200;1000;gram;Hur många gram skiljer det?
Är en sopborste längre eller kortare än en mopp?;Sopborste;Mopp;30;130;centimeter;Hur många centimeter skiljer det?
Väger en bowlingboll mer eller mindre än en kägla?;Bowlingboll;Kägla;6000;1500;gram;Hur många gram skiljer det?
Är ett dricksglas högre eller lägre än en termosmugg?;Dricksglas;Termosmugg;12;18;centimeter;Hur många centimeter skiljer det?
Väger en skottkärra mer eller mindre än en hink?;Skottkärra;Hink;18000;1200;gram;Hur många gram skiljer det?
Är ett tangentbord längre eller kortare än en datormus?;Tangentbord;Datormus;44;11;centimeter;Hur många centimeter skiljer det?
Väger en kudde mer eller mindre än en yogamatta?;Kudde;Yogamatta;800;1200;gram;Hur många gram skiljer det?
Är ett örngott längre eller kortare än ett påslakan?;Örngott;Påslakan;65;210;centimeter;Hur många centimeter skiljer det?
Väger en konservburk mer eller mindre än en saftflaska?;Konservburk;Saftflaska;400;1000;gram;Hur många gram skiljer det?
Är en gummistövel längre eller kortare än en innetoffla?;Gummistövel;Innetoffla;30;26;centimeter;Hur många centimeter skiljer det?
Väger en målarpensel mer eller mindre än en färgburk?;Målarpensel;Färgburk;50;1500;gram;Hur många gram skiljer det?
Är en strykbräda längre eller kortare än ett strykjärn?;Strykbräda;Strykjärn;120;28;centimeter;Hur många centimeter skiljer det?
Väger en flyttkartong mer eller mindre än en plastback?;Flyttkartong;Plastback;900;1500;gram;Hur många gram skiljer det?
Väger en sockerskål mer eller mindre än en tekanna?;Sockerskål;Tekanna;200;600;gram;Hur många gram skiljer det?
