fråga;källa;år
Har en Hyundai Ioniq 6 Long Range högre eller lägre toppfart än en Tesla Model 3 Long Range?;EV Database / EVKX.net (Ioniq 6 LR 185 km/h, Tesla Model 3 LR Highland 201 km/h);2024
Har en Polestar 2 Long Range Single Motor högre eller lägre toppfart än en BMW i4 eDrive40?;EV Database / evspecifications (Polestar 2 LR Single Motor 205 km/h, BMW i4 eDrive40 190 km/h);2024
Har en Kia EV6 Long Range högre eller lägre toppfart än en Skoda Enyaq 85?;EV Database / EVKX.net (Kia EV6 Long Range 185 km/h, Skoda Enyaq 85 180 km/h);2024
Har en Volvo EX30 Single Motor högre eller lägre toppfart än en Cupra Born?;EVKX.net / evspecifications (Volvo EX30 Single Motor 180 km/h, Cupra Born 58 kWh 160 km/h);2024
Har en Renault Mégane E-Tech högre eller lägre toppfart än en Peugeot e-208?;EV Database / EVspecs (Renault Mégane E-Tech EV60 160 km/h, Peugeot e-208 150 km/h);2024
Har en Nissan Leaf högre eller lägre toppfart än en Dacia Spring?;evspecifications (Nissan Leaf base 144 km/h, Dacia Spring 125 km/h);2024
Har en Tesla Model Y Performance högre eller lägre toppfart än en Hyundai Kona Electric?;EV Database / evspecifications (Tesla Model Y Performance 250 km/h, Hyundai Kona Electric 64 kWh 167 km/h);2024
Har en Porsche Taycan Turbo S högre eller lägre toppfart än en BYD Atto 3?;Porsche / EV Database (Taycan Turbo S 260 km/h, BYD Atto 3 160 km/h);2024
Har en Audi Q4 e-tron högre eller lägre toppfart än en Audi RS e-tron GT?;Audi MediaCenter (Q4 e-tron 180 km/h, RS e-tron GT 250 km/h);2024
Har en Mercedes-Benz EQE 350 högre eller lägre toppfart än en Lucid Air Grand Touring?;evspecifications (Mercedes EQE 350 210 km/h, Lucid Air Grand Touring 270 km/h);2024
Har en BMW iX xDrive50 högre eller lägre toppfart än en Maserati GranTurismo Folgore?;evspecifications / Maserati (BMW iX xDrive50 200 km/h, GranTurismo Folgore 320 km/h begränsad);2024
Har en Genesis GV60 Performance högre eller lägre toppfart än en Fiat 500e?;EVKX.net / Wikipedia (Genesis GV60 Performance AWD 235 km/h, Fiat 500e 42 kWh 150 km/h);2024
Har en Ford Mustang Mach-E GT högre eller lägre toppfart än en Hyundai Ioniq 5 N?;Ford Media / Hyundai N (Mustang Mach-E GT 200 km/h, Ioniq 5 N 260 km/h);2024
Har en Kia EV9 GT-Line högre eller lägre toppfart än en Mini Cooper SE?;EV Database / evspecifications (Kia EV9 GT-Line AWD 200 km/h, Mini Cooper SE 135 kW 150 km/h);2024
Har en Cadillac Lyriq AWD högre eller lägre toppfart än en Lotus Eletre R?;evspecifications / EVKX.net (Cadillac Lyriq AWD 210 km/h, Lotus Eletre R 265 km/h);2024
Har en Subaru Solterra högre eller lägre toppfart än en Mercedes-AMG EQE 53?;EVKX.net / evspecifications (Subaru Solterra 160 km/h, Mercedes-AMG EQE 53 220 km/h);2024
Har en BMW i5 M60 högre eller lägre toppfart än en Volvo C40?;BMW-M / evspecifications (BMW i5 M60 xDrive 230 km/h begränsad, Volvo C40 Twin Motor 180 km/h);2024
Har en Mercedes-AMG EQS 53 högre eller lägre toppfart än en Volkswagen ID.4 Pro?;evspecifications (Mercedes-AMG EQS 53 250 km/h, VW ID.4 Pro RWD 160 km/h);2024
Har en Fiat 500e högre eller lägre toppfart än en Rimac Nevera?;Wikipedia / Rimac Newsroom (Fiat 500e 150 km/h, Rimac Nevera 412 km/h rekord);2024
Har en Dacia Spring högre eller lägre toppfart än en Maserati GranTurismo Folgore?;evspecifications / Maserati (Dacia Spring 125 km/h, GranTurismo Folgore 320 km/h begränsad);2024
Har en Citroën ë-C3 högre eller lägre toppfart än en Rimac Nevera?;EV Database / Rimac Newsroom (Citroën ë-C3 44 kWh 135 km/h, Rimac Nevera 412 km/h rekord);2024
Har en Hyundai Inster högre eller lägre toppfart än en Pininfarina Battista?;EVKX.net / Automobili Pininfarina (Hyundai Inster Standard Range 140 km/h, Battista 350 km/h);2024
Har en Mazda MX-30 högre eller lägre toppfart än en Pininfarina Battista?;EV Database / Automobili Pininfarina (Mazda MX-30 140 km/h, Battista 350 km/h);2024
Har en Toyota bZ4X högre eller lägre toppfart än en Rimac Nevera?;Toyota Media / Rimac Newsroom (Toyota bZ4X 160 km/h, Rimac Nevera 412 km/h rekord);2024
