fråga;källa;år
Vilket av märkena är äldst?;Wikipedia (SEB arv från Stockholms Enskilda Bank 1856, Avanza 1999);2026
Vilket av märkena är äldst?;Wikipedia/nordnetab.com (Nordnet 1996, Handelsbanken 1871);2026
Vilket av märkena är äldst?;Wikipedia (Folksam 1908, Investor AB 1916);2026
Vilket av märkena är äldst?;Wikipedia/sbab.se (SBAB 1985, Ratos 1934);2026
Vilket märke har flest anställda?;Årsredovisning 2024 (Nordea 30157, SEB ca 19000);2024
Vilket märke har flest anställda?;if.se / swedbank.com fakta 2024 (If ca 10000, Swedbank 18568);2024
Vilket märke har flest anställda?;Årsredovisning 2024 (Handelsbanken 12644, Intrum 9707);2024
Vilket märke har flest anställda?;Årsredovisning 2024 (SBAB 958, Folksam ca 3300);2024
Vilket märke har flest anställda?;intrum.com 2024 (Intrum 9707, Nordnet 800);2024
Vilket märke har flest anställda?;Bokslutskommuniké 2024 (Avanza 679 Q4, Resurs Holding 673);2024
Vilket märke har störst börsvärde? (2024);Nasdaq Stockholm årsslut 2024 (Investor AB ca 970, EQT ca 349);2024
Vilket märke har störst börsvärde? (2024);Nasdaq Stockholm 2024 (SEB 294, Nordea 399);2024
Vilket märke har störst börsvärde? (2024);Nasdaq Stockholm 2024 (Swedbank 234, Avanza ca 40);2024
Vilket märke har störst börsvärde? (2024);Nasdaq Stockholm årsslut 2024 (Kinnevik ca 22, Investor AB ca 970);2024
Vilket märke har störst börsvärde? (2024);Nasdaq Stockholm årsslut 2024 (Industrivärden 151, EQT 349);2024
Vilket märke har störst omsättning? (2024);Årsredovisning 2024 (Nordea totala intäkter 12,1 md EUR ca 137 md kr, Intrum 18 md kr);2024
Vilket märke har störst omsättning? (2024);Årsredovisning 2024 (Intrum 18 md kr, SEB ca 90 md kr);2024
Vilket märke har störst omsättning? (2024);Årsredovisning 2024 (Avanza ca 5 md kr, Swedbank 74 md kr);2024
Vilket av märkena är äldst?;Wikipedia/hastens.com (Hästens 1852, Daniel Wellington 2011);2026
Vilket av märkena är äldst?;Wikipedia (Happy Socks 2008, Levi's 1853);2026
Vilket av märkena är äldst?;Wikipedia (Tiger of Sweden 1903, Acne Studios 1996);2026
Vilket av märkena är äldst?;Wikipedia (Peak Performance 1986, Haglöfs 1914);2026
Vilket av märkena är äldst?;Wikipedia (Gant 1949, Craft Sportswear 1977);2026
Vilket av märkena är äldst?;Wikipedia (Fjällräven 1960, Nike/Blue Ribbon Sports 1964);2026
Vilket av märkena är äldst?;Wikipedia (Björn Borg 1984, Filippa K 1993);2026
Vilket av märkena är äldst?;Wikipedia (Adidas 1949, Haglöfs 1914);2026
Vilket av märkena är äldst?;Wikipedia (Hästens 1852, Tiger of Sweden 1903);2026
Vilket av märkena är äldst?;Wikipedia (J.Lindeberg 1996, Fjällräven 1960);2026
Vilket av märkena är äldst?;Wikipedia (Levi's 1853, Craft Sportswear 1977);2026
Vilket märke finns i flest länder?;nike.com/gant.com (Nike ca 190 länder, Gant ca 70 marknader);2024
Vilket märke finns i flest länder?;Företagens marknadsöversikt 2024 (Daniel Wellington ca 100, Fjällräven ca 73 - ungefärliga);2024
Vilket märke finns i flest länder?;Företagens marknadsöversikt 2024 (Adidas ca 160 marknader, Haglöfs ca 30);2024
Vilket märke är värt mest som varumärke? (2024);Interbrand/Brand Finance 2024 (Nike ca 45,4 md USD, Adidas ca 15,5 md USD);2024
Vilket märke har störst omsättning? (2024);Årsredovisning 2024 (Nike 51,4 md USD ca 545 md kr, Adidas 23,7 md EUR ca 268 md kr);2024
Vilket av märkena är äldst?;Wikipedia/molnlycke.com (Mölnlycke textilarv 1849, AstraZeneca 1999);2026
Vilket av märkena är äldst?;Wikipedia (Elekta 1972, Getinge 1904);2026
Vilket märke har flest anställda?;Årsredovisning 2024 (AstraZeneca 94300, Getinge 11791);2024
Vilket märke har flest anställda?;Årsredovisning 2024 (Mölnlycke 8668, Getinge 11791);2024
Vilket märke har störst omsättning? (2024);Årsredovisning 2024 (Getinge nettoomsättning 34,8 md kr, Sobi ca 26 md kr);2024
