fråga;källa;år
Är världens högsta snögubbe högre eller lägre än en vanlig snögubbe i trädgården?;Guinness World Records: snökvinnan "Olympia", Bethel, Maine 37,21 m (26 feb 2008); vanlig snögubbe ca 1,5 m;2008
Väger ett stort hagelkorn mer eller mindre än en vanlig regndroppe?;SMHI Hagel (stora hagelkorn flera tiotal gram); regndroppe ca 0,1–0,2 g;2024
Blåser det mer eller mindre under ett kraftigt snöoväder än en alldeles vindstilla dag?;SMHI vindskala (storm/snöoväder ca 120 km/h); vindstilla ca 0–3 km/h;2024
Faller en snöflinga snabbare eller långsammare mot marken än ett hagelkorn?;SMHI/illvet.se fallhastigheter (snöflinga ca 3 km/h, hagel ca 90 km/h);2024
Är en vanlig regndroppe bredare eller smalare än det största hagelkorn som uppmätts?;NWS/NOAA rekordhagel Vivian South Dakota 20,3 cm diameter (23 juli 2010); regndroppe ca 0,5 cm;2010
Är en vanlig vattenpöl på gården djupare eller grundare än vattnet på en översvämmad gata?;Allmän uppskattning (pöl ca 2 cm; översvämning ca 2 m);2025
Är ett sommardygn i Kiruna ljusare eller mörkare antal timmar än ett vinterdygn i Kiruna?;SMHI midnattssol/polarnatt Kiruna (sommar 24 h ljus, vinter 0 h sol);2024
Syns den längsta regnbåge som setts fler eller färre minuter än en helt vanlig regnbåge?;Guinness World Records längsta regnbåge 8 h 58 min = ca 540 min (Yangmingshan, Taipei, Taiwan 30 nov 2017); vanlig regnbåge ca 10 min;2017
Blåser det mer eller mindre i en tornado än i en lätt sommarbris?;NOAA tornado (EF5 ca 480 km/h); lätt bris ca 8 km/h;2024
Är snödjupet en vanlig vinter större eller mindre uppe i fjällen än nere i Skåne?;SMHI snödjupsklimatologi (fjällen ca 150 cm; Skåne ca 25 cm);2024
Blåser det mer eller mindre i en lätt bris än i en kuling?;SMHI Beauforts vindskala (lätt bris ca 18 km/h; kuling ca 70 km/h);2024
Lyser solen fler eller färre timmar om året i Sverige än i Egypten?;SMHI/World Bank solskenstid (Sverige ca 1800 h; Egypten ca 3800 h);2024
Faller det mer eller mindre regn på ett år i regniga Bergen än i Stockholm?;SMHI/Met.no årsnederbörd (Bergen ca 2250 mm; Stockholm ca 540 mm);2024
Åskar det fler eller färre dagar om året i Florida än i åskrika Indonesien?;NOAA/Guinness åskdagar (Florida ca 80–108; Bogor, Indonesien ca 320 åskdagar/år – världsrekord);2024
Är det varmare eller kallare under en svensk värmebölja än en mild vårdag?;SMHI värmebölja (ca 40 °C extremvärme); mild vårdag ca 10 °C;2024
Blåser det mer eller mindre i en kraftig vindby under en storm än i en frisk vind?;SMHI Beauforts vindskala (storm-vindby ca 110 km/h; frisk vind ca 30 km/h);2024
Är en liten istapp på fönsterblecket längre eller kortare än en stor istapp på ett hustak?;Allmän uppskattning (liten istapp ca 30 cm; stor istapp ca 120 cm);2025
Når ett högt åskmoln högre eller lägre upp i luften än ett lågt regnmoln?;SMHI molntyper (cumulonimbus topp ca 13000 m; stratus/lågt regnmoln ca 2500 m);2024
Är snödjupet en vanlig vinter större eller mindre i Göteborg än i Kiruna?;SMHI snödjupsklimatologi (Göteborg ca 18 cm; Kiruna ca 90 cm);2024
Är det varmare eller kallare en svensk sommardag än en het dag i Sahara?;SMHI/WMO klimatdata (svensk sommardag ca 15–25 °C; Sahara ca 50 °C);2024
Regnar det fler eller färre dagar om året i Bergen än i soliga Madrid?;Met.no/AEMET regndagar (Bergen ca 240; Madrid ca 60);2024
Är ett ärtstort hagelkorn större eller mindre än ett golfbollsstort hagelkorn?;SMHI Hagel (ärtstort ca 1 cm; golfbollsstort ca 4 cm);2024
Blåser det mer eller mindre i en orkan än i en kraftig blåst en höstdag?;SMHI orkanstyrka (orkan ca 200 km/h); kraftig blåst ca 45 km/h;2024
Lyser solen fler eller färre timmar om året i Reykjavik än i soliga Phoenix?;Veðurstofa/NOAA solskenstid (Reykjavik ca 1250 h; Phoenix ca 4000 h);2024
Faller det mer eller mindre snö under ett rekorddygn än vid ett vanligt snöfall på en dag?;SMHI: största snödjupsökning på ett dygn i Sverige 109 cm (Njuonjesbäck 1 nov 1921); vanligt snöfall ca 15 cm;1921
Ser man längre eller kortare bort i ett lätt dis än en klar solig dag?;SMHI sikt/optik (lätt dis ca 5 km; klar dag ca 30 km);2024
Är det varmare eller kallare en kväll i öknen än mitt på dagen i öknen?;SMHI/WMO ökenklimat dygnsvariation (kväll ca 20 °C; dag ca 48 °C);2024
