fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Hade Norge fler eller färre invånare än Finland 2024?;Norge;Finland;5,57;5,62;miljoner invånare;Hur många miljoner invånare skiljer det?
Drog Barbie in mer eller mindre än Super Mario Bros-filmen i biljettintäkter (2023)?;Barbie;Super Mario Bros-filmen;1360;1350;miljoner dollar;Hur många miljoner dollar skiljer det?
Hade Instagram fler eller färre månadsanvändare än TikTok 2024?;Instagram;TikTok;2,0;1,58;miljarder användare;Hur många miljarder användare skiljer det?
Hade McDonald's fler eller färre restauranger i världen än Starbucks 2024?;McDonald's;Starbucks;43477;40199;restauranger;Hur många restauranger skiljer det?
Drog Oppenheimer in mer eller mindre än Barbie i biljettintäkter (2023)?;Oppenheimer;Barbie;950;1360;miljoner dollar;Hur många miljoner dollar skiljer det?
Hade Lionel Messi fler eller färre följare på Instagram än Cristiano Ronaldo (2024)?;Lionel Messi;Cristiano Ronaldo;503;632;miljoner följare;Hur många miljoner följare skiljer det?
Drog Deadpool & Wolverine in mer eller mindre än Insidan ut 2 i biljettintäkter (2024)?;Deadpool & Wolverine;Insidan ut 2;1338;1699;miljoner dollar;Hur många miljoner dollar skiljer det?
Hade Polen en större eller mindre BNP än Sverige 2023?;Polen;Sverige;809;579;miljarder dollar;Hur många miljarder dollar skiljer det?
Drog Vaiana 2 in mer eller mindre än Deadpool & Wolverine i biljettintäkter (2024)?;Vaiana 2;Deadpool & Wolverine;1059;1338;miljoner dollar;Hur många miljoner dollar skiljer det?
Hade Cristiano Ronaldo fler eller färre följare på Instagram än Selena Gomez (2024)?;Cristiano Ronaldo;Selena Gomez;632;426;miljoner följare;Hur många miljoner följare skiljer det?
Hade Microsoft en större eller mindre årsomsättning än Apple räkenskapsåret 2023?;Microsoft;Apple;212;383;miljarder dollar;Hur många miljarder dollar skiljer det?
Drog Insidan ut 2 in mer eller mindre än Vaiana 2 i biljettintäkter (2024)?;Insidan ut 2;Vaiana 2;1699;1059;miljoner dollar;Hur många miljoner dollar skiljer det?
Hade Danmark fler eller färre invånare än Sverige 2024?;Danmark;Sverige;5,96;10,55;miljoner invånare;Hur många miljoner invånare skiljer det?
Hade Amazon en större eller mindre årsomsättning än Alphabet 2023?;Amazon;Alphabet;575;307;miljarder dollar;Hur många miljarder dollar skiljer det?
Hade Apple en större eller mindre årsomsättning än Walmart räkenskapsåret 2023?;Apple;Walmart;383;611;miljarder dollar;Hur många miljarder dollar skiljer det?
Hade Netflix fler eller färre abonnenter än Disney+ vid slutet av 2024?;Netflix;Disney+;301;124,6;miljoner abonnenter;Hur många miljoner abonnenter skiljer det?
Drog Elton Johns Farewell Yellow Brick Road-turné in mer eller mindre än Taylor Swifts Eras Tour totalt?;Farewell Yellow Brick Road;Eras Tour;939;2080;miljoner dollar;Hur många miljoner dollar skiljer det?
Hade Spotify fler eller färre betalande premiumkunder än totala månadsanvändare i slutet av 2024?;Spotify premiumkunder;Spotify månadsanvändare;263;675;miljoner;Hur många miljoner skiljer det?
Hade Meta en större eller mindre årsomsättning än Amazon 2023?;Meta;Amazon;135;575;miljarder dollar;Hur många miljarder dollar skiljer det?
