fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har Frankrike fler eller färre invånare än Tyskland? (2024);Frankrike;Tyskland;68;83;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Japan fler eller färre invånare än Ryssland? (2024);Japan;Ryssland;124;144;miljoner invånare;Hur många miljoner invånare skiljer det?
Är Sverige större eller mindre än Norge till ytan?;Sverige;Norge;450;385;tusen km²;Hur många tusen km² skiljer det?
Har Sverige fler eller färre invånare än Norge? (2024);Sverige;Norge;10,6;5,5;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Brasilien fler eller färre invånare än USA? (2024);Brasilien;USA;212;340;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Egypten fler eller färre invånare än Tyskland? (2024);Egypten;Tyskland;107;83;miljoner invånare;Hur många miljoner invånare skiljer det?
Är Frankrike större eller mindre än Tyskland till ytan?;Frankrike;Tyskland;552;357;tusen km²;Hur många tusen km² skiljer det?
Är Ryssland större eller mindre än Kina till ytan?;Ryssland;Kina;17,1;9,6;miljoner km²;Hur många miljoner km² skiljer det?
Är USA större eller mindre än Ryssland till ytan?;USA;Ryssland;9,8;17,1;miljoner km²;Hur många miljoner km² skiljer det?
Är Australien större eller mindre än Ryssland till ytan?;Australien;Ryssland;7,69;17,1;miljoner km²;Hur många miljoner km² skiljer det?
Är floden Mississippi längre eller kortare än Donau?;Mississippi;Donau;3766;2850;km;Hur många km skiljer det?
Är floden Amazonas längre eller kortare än Mississippi?;Amazonas;Mississippi;6400;3766;km;Hur många km skiljer det?
Är Mount Everest högre eller lägre än Mont Blanc?;Mount Everest;Mont Blanc;8849;4809;meter;Hur många meter skiljer det?
Har Kina fler eller färre invånare än USA? (2024);Kina;USA;1410;340;miljoner invånare;Hur många miljoner invånare skiljer det?
Är öknen Sahara större eller mindre än Medelhavet till ytan?;Sahara;Medelhavet;9,2;2,5;miljoner km²;Hur många miljoner km² skiljer det?
Har Sverige fler eller färre invånare än Frankrike? (2024);Sverige;Frankrike;10,6;68;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Frankrike fler eller färre invånare än USA? (2024);Frankrike;USA;68;340;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Tyskland fler eller färre invånare än Brasilien? (2024);Tyskland;Brasilien;83;212;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Japan fler eller färre invånare än Brasilien? (2024);Japan;Brasilien;124;212;miljoner invånare;Hur många miljoner invånare skiljer det?
Är Indiska oceanen större eller mindre än Stilla havet till ytan?;Indiska oceanen;Stilla havet;70;165;miljoner km²;Hur många miljoner km² skiljer det?
Är Norge större eller mindre än Egypten till ytan?;Norge;Egypten;385;1001;tusen km²;Hur många tusen km² skiljer det?
Har Norge fler eller färre invånare än Japan? (2024);Norge;Japan;5,5;124;miljoner invånare;Hur många miljoner invånare skiljer det?
Är Medelhavet större eller mindre än Atlanten till ytan?;Medelhavet;Atlanten;2,5;107;miljoner km²;Hur många miljoner km² skiljer det?
Är Östersjön större eller mindre än Medelhavet till ytan?;Östersjön;Medelhavet;0,386;2,5;miljoner km²;Hur många miljoner km² skiljer det?
Har Brasilien fler eller färre invånare än Kina? (2024);Brasilien;Kina;212;1410;miljoner invånare;Hur många miljoner invånare skiljer det?
Är Victoriafallen högre eller lägre än Niagarafallen?;Victoriafallen;Niagarafallen;108;51;meter;Hur många meter skiljer det?
Har Egypten fler eller färre invånare än Kina? (2024);Egypten;Kina;107;1410;miljoner invånare;Hur många miljoner invånare skiljer det?
Är öknen Sahara större eller mindre än Stilla havet till ytan?;Sahara;Stilla havet;9,2;165;miljoner km²;Hur många miljoner km² skiljer det?
