fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har Örebro större eller mindre folkmängd än Västerås? (2023);Örebro;Västerås;126604;127799;invånare;Hur många invånare skiljer det?
Har sjön Siljan större eller mindre yta än Storsjön i Jämtland?;Siljan;Storsjön;292;456;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har sjön Bolmen större eller mindre yta än Torneträsk?;Bolmen;Torneträsk;173;330;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Gävle större eller mindre folkmängd än Malmö? (2023);Gävle;Malmö;78331;339316;invånare;Hur många invånare skiljer det?
Är fjället Sarektjåkkå högre eller lägre än Åreskutan?;Sarektjåkkå;Åreskutan;2089;1420;meter;Hur många meter skiljer det?
Är fjället Åreskutan högre eller lägre än Helagsfjället?;Åreskutan;Helagsfjället;1420;1797;meter;Hur många meter skiljer det?
Är vägavståndet Stockholm–Luleå längre eller kortare än Stockholm–Göteborg?;Stockholm–Luleå;Stockholm–Göteborg;901;470;kilometer;Hur många kilometer skiljer det?
Är Torneälven längre eller kortare än Göta älv?;Torneälven;Göta älv;522;93;kilometer;Hur många kilometer skiljer det?
Har ön Värmdö större eller mindre yta än Orust?;Värmdö;Orust;180;345;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har ön Tjörn större eller mindre yta än Orust?;Tjörn;Orust;147;345;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Sareks nationalpark större eller mindre yta än Färnebofjärdens nationalpark?;Sarek;Färnebofjärden;197000;10100;hektar;Hur många hektar skiljer det?
Är vägavståndet Göteborg–Malmö längre eller kortare än Göteborg–Stockholm?;Göteborg–Malmö;Göteborg–Stockholm;273;470;kilometer;Hur många kilometer skiljer det?
Är Helagsfjället högre eller lägre än Kinnekulle?;Helagsfjället;Kinnekulle;1797;306;meter;Hur många meter skiljer det?
Har Borås större eller mindre folkmängd än Göteborg? (2023);Borås;Göteborg;73152;674529;invånare;Hur många invånare skiljer det?
Har Malmö större eller mindre folkmängd än Visby? (2023);Malmö;Visby;339316;26305;invånare;Hur många invånare skiljer det?
Har Göteborg större eller mindre folkmängd än Umeå? (2023);Göteborg;Umeå;674529;93292;invånare;Hur många invånare skiljer det?
Har Uppsala större eller mindre folkmängd än Kiruna? (2023);Uppsala;Kiruna;166698;17002;invånare;Hur många invånare skiljer det?
Har Malmö större eller mindre folkmängd än Lund? (2023);Malmö;Lund;339316;94703;invånare;Hur många invånare skiljer det?
Har Storsjön i Jämtland större eller mindre yta än sjön Bolmen?;Storsjön;Bolmen;456;173;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är vägavståndet Göteborg–Kiruna längre eller kortare än Göteborg–Malmö?;Göteborg–Kiruna;Göteborg–Malmö;1540;273;kilometer;Hur många kilometer skiljer det?
Har Öland större eller mindre yta än Orust?;Öland;Orust;1342;345;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Norrköping större eller mindre folkmängd än Helsingborg? (2023);Norrköping;Helsingborg;98150;115910;invånare;Hur många invånare skiljer det?
Har Jönköping större eller mindre folkmängd än Linköping? (2023);Jönköping;Linköping;102150;116734;invånare;Hur många invånare skiljer det?
Har sjön Siljan större eller mindre yta än Torneträsk?;Siljan;Torneträsk;292;330;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Halmstad större eller mindre folkmängd än Lund? (2023);Halmstad;Lund;70740;94703;invånare;Hur många invånare skiljer det?
