sakA;sakB;källa
IKEA;H&M;IKEA 63 länder (en.wikipedia.org/wiki/IKEA, 2024); H&M 81 marknader (hmgroup.com markets-and-expansion, 2024)
Electrolux;Volvo Cars;Electrolux ca 120 marknader (electroluxgroup.com, 2024); Volvo Cars mer än 100 länder (volvocars.com, 2024)
Spotify;Nestlé;Spotify 184 marknader (en.wikipedia.org/wiki/Spotify, 2022/2024); Nestlé 185 länder (nestle.com, 2024)
Ericsson;Daniel Wellington;Ericsson kunder i 180 länder (ericsson.com company-facts, 2024); Daniel Wellington ca 100 länder (danielwellington.com, 2024)
H&M;McDonald's;H&M 81 marknader (hmgroup.com, 2024); McDonald's 114 länder (en.wikipedia.org/wiki/List_of_countries_with_McDonald's_restaurants, 2024)
Volvo Cars;Fjällräven;Volvo Cars mer än 100 länder (volvocars.com, 2024); Fjällräven 73 länder (en.wikipedia.org/wiki/Fjällräven, 2021)
Oriflame;Daniel Wellington;Oriflame mer än 60 länder (corporate.oriflame.com årsredovisning, 2024); Daniel Wellington ca 100 länder (danielwellington.com, 2024)
H&M;Klarna;H&M 81 marknader (hmgroup.com, 2024); Klarna 45 marknader (klarna.com international, 2024)
Absolut Vodka;Coca-Cola;Absolut Vodka 126 länder (en.wikipedia.org/wiki/Absolut_Vodka, 2024); Coca-Cola mer än 200 länder (coca-cola.com faq, 2024)
Volvo Cars;Klarna;Volvo Cars mer än 100 länder (volvocars.com, 2024); Klarna 45 marknader (klarna.com, 2024)
Daniel Wellington;Nestlé;Daniel Wellington ca 100 länder (danielwellington.com, 2024); Nestlé 185 länder (nestle.com, 2024)
Fjällräven;Klarna;Fjällräven 73 länder (en.wikipedia.org/wiki/Fjällräven, 2021); Klarna 45 marknader (klarna.com, 2024)
Daniel Wellington;Spotify;Daniel Wellington ca 100 länder (danielwellington.com, 2024); Spotify 184 marknader (en.wikipedia.org/wiki/Spotify, 2022/2024)
Spotify;IKEA;Spotify 184 marknader (en.wikipedia.org/wiki/Spotify, 2022/2024); IKEA 63 länder (en.wikipedia.org/wiki/IKEA, 2024)
IKEA;Tetra Pak;IKEA 63 länder (en.wikipedia.org/wiki/IKEA, 2024); Tetra Pak mer än 160 länder (en.wikipedia.org/wiki/Tetra_Pak, 2024)
Nestlé;Oriflame;Nestlé 185 länder (nestle.com, 2024); Oriflame mer än 60 länder (corporate.oriflame.com, 2024)
Klarna;Netflix;Klarna 45 marknader (klarna.com, 2024); Netflix mer än 190 länder (Netflix 10-Q SEC, 2024)
Coca-Cola;Klarna;Coca-Cola mer än 200 länder (coca-cola.com faq, 2024); Klarna 45 marknader (klarna.com, 2024)
Klarna;Electrolux;Klarna 45 marknader (klarna.com, 2024); Electrolux ca 120 marknader (electroluxgroup.com, 2024)
Netflix;Fjällräven;Netflix mer än 190 länder (Netflix 10-Q SEC, 2024); Fjällräven 73 länder (en.wikipedia.org/wiki/Fjällräven, 2021)
Fjällräven;Coca-Cola;Fjällräven 73 länder (en.wikipedia.org/wiki/Fjällräven, 2021); Coca-Cola mer än 200 länder (coca-cola.com faq, 2024)
Spotify;Oriflame;Spotify 184 marknader (en.wikipedia.org/wiki/Spotify, 2022/2024); Oriflame mer än 60 länder (corporate.oriflame.com, 2024)
H&M;Netflix;H&M 81 marknader (hmgroup.com, 2024); Netflix mer än 190 länder (Netflix 10-Q SEC, 2024)
Coca-Cola;H&M;Coca-Cola mer än 200 länder (coca-cola.com faq, 2024); H&M 81 marknader (hmgroup.com, 2024)
Clas Ohlson;Coca-Cola;Clas Ohlson 3 länder SE/NO/FI (about.clasohlson.com in-short, 2024); Coca-Cola mer än 200 länder (coca-cola.com faq, 2024)
Spotify;Systembolaget;Spotify 184 marknader (en.wikipedia.org/wiki/Spotify, 2022/2024); Systembolaget endast Sverige = 1 land (en.wikipedia.org/wiki/Systembolaget, 2024)
Polestar;Nestlé;Polestar 27 marknader (investors.polestar.com Q2 2024); Nestlé 185 länder (nestle.com, 2024)
Netflix;Willys;Netflix mer än 190 länder (Netflix 10-Q SEC, 2024); Willys endast Sverige = 1 land (axfood.com, 2024)
Polestar;Ericsson;Polestar 27 marknader (investors.polestar.com Q2 2024); Ericsson kunder i 180 länder (ericsson.com company-facts, 2024)
McDonald's;Clas Ohlson;McDonald's 114 länder (en.wikipedia.org/wiki/List_of_countries_with_McDonald's_restaurants, 2024); Clas Ohlson 3 länder SE/NO/FI (about.clasohlson.com, 2024)
