fråga;källa;år
Har Vänern större eller mindre yta än Hjälmaren?;SMHI – Sveriges sjöar;2024
Har Stockholm större eller mindre folkmängd än Visby? (2023);SCB – Folkmängd i tätorter;2023
Har Gotland större eller mindre yta än ön Ven?;Nationalencyklopedin (Gotland); Wikipedia/Landskrona kommun (Ven 7,5 km²);2024
Är Kebnekaise högre eller lägre än Söderåsen, Skånes högsta punkt?;Lantmäteriet;2024
Har Vänern större eller mindre yta än Storsjön i Jämtland?;SMHI – Sveriges sjöar;2024
Har Stockholm större eller mindre folkmängd än Östersund? (2023);SCB – Folkmängd i tätorter;2023
Har Hjälmaren större eller mindre yta än Vättern?;SMHI – Sveriges sjöar;2024
Är Kebnekaise högre eller lägre än Kinnekulle?;Lantmäteriet;2024
Är Ölandsbron längre eller kortare än Öresundsbron?;Trafikverket / Øresundsbro Konsortiet;2024
Har Öland större eller mindre yta än Gotland?;Nationalencyklopedin (Öland, Gotland);2024
Är Klarälven längre eller kortare än Göta älv?;Nationalencyklopedin – svenska vattendrag;2024
Har Göteborg större eller mindre folkmängd än Linköping? (2023);SCB – Folkmängd i tätorter;2023
Är Globen högre eller lägre än Karlatornet i Göteborg?;Wikipedia (Avicii Arena, Karlatornet);2024
Har Mälaren större eller mindre yta än Hjälmaren?;SMHI – Sveriges sjöar;2024
Är avståndet Stockholm–Göteborg längre eller kortare än Stockholm–Kiruna?;distance.to – fågelvägen mellan städerna;2024
Är Hjälmaren djupare eller grundare än Vättern?;SMHI – Fakta om sjöarna (största djup);2024
Är Dalälven längre eller kortare än Klarälven?;Nationalencyklopedin – svenska vattendrag;2024
Har Helsingborg större eller mindre folkmängd än Malmö? (2023);SCB – Folkmängd i tätorter;2023
Är Kebnekaise högre eller lägre än Sarektjåkkå?;Lantmäteriet;2024
Har Mälaren större eller mindre yta än Vättern?;SMHI – Sveriges sjöar;2024
Är avståndet Malmö–Kiruna längre eller kortare än Göteborg–Malmö?;distance.to – fågelvägen mellan städerna;2024
Har Östersund större eller mindre folkmängd än Uppsala? (2023);SCB – Folkmängd i tätorter;2023
Är Ölandsbron längre eller kortare än Sundsvallsbron?;Trafikverket;2024
Är Göta älv längre eller kortare än Lule älv?;Nationalencyklopedin – svenska vattendrag;2024
Har Gotland större eller mindre yta än landskapet Skåne?;Nationalencyklopedin (Gotland, Skåne);2024
Är avståndet Stockholm–Kiruna längre eller kortare än Sveriges längd från norr till söder?;"distance.to – fågelvägen (Sthlm–Kiruna); Lantmäteriet/SCB (Treriksröset–Smygehuk 1 572 km)";2024
Har Örebro större eller mindre folkmängd än Linköping? (2023);SCB – Folkmängd i tätorter;2023
