7Up	97
A&W	107
Abarth	77
ABC	83
Abercrombie & Fitch	134
About You	12
Åbro	170
Absolut Vodka	147
AC Milan	127
Acast	12
Acne Studios	30
Action	33
Activision	47
Acura	40
Adlibris	29
Aer Lingus	90
Aeroméxico	92
Affirm	14
Afterpay	12
Agoda	21
Åhléns	127
AIK	135
Air Canada	89
Air China	38
Air France	93
Air New Zealand	86
Airheads	41
Airtable	14
Alaska Airlines	94
Albert Heijn	139
Albertsons	87
Alfa Romeo	116
Alibaba	27
AliExpress	16
Allen Edmonds	104
Almondy	44
Always	43
AMD	57
American Airlines	96
American Eagle	49
Amstel	156
ANA	74
Annas Pepparkakor	97
Anthropologie	34
Aperol	107
Apohem	9
Apotea	15
Apoteket	56
Applebee's	46
Aprilia	81
Aquafina	32
Arby's	62
Arc'teryx	37
Argos	54
Aritzia	42
Arket	9
Armani	51
Arsenal	140
Asahi	137
Asana	18
Asda	61
ASOS	26
Aston Martin	113
Atari	54
Atlantic Records	79
Auchan	65
Audemars Piguet	151
Audible	31
Austrian Airlines	69
Avast	38
Aveeno	81
Avianca	107
Avis	80
B&Q	57
Babbel	19
BabyBjörn	65
Babyshop	20
Bahco	140
Bahnhof	32
Baidu	26
Baileys	52
Balenciaga	107
Bambuser	19
Banana Republic	48
Bandai Namco	20
Bandai	76
Bandcamp	18
Bang & Olufsen	101
Barbie	67
Barilla	149
Baskin-Robbins	81
Bastard Burgers	10
Bath & Body Works	36
Bauhaus	66
BBC	104
Belkin	43
Ben & Jerry's	48
Benefit	50
Bentley	107
Bershka	28
Best Western	80
Bethesda	40
Big Lots	59
Billabong	53
Biltema	63
Binance	9
Bing	17
Birra Moretti	167
Bissell	150
Björn Borg	42
BK Häcken	86
Black+Decker	116
BlackBerry	42
Blåkläder	67
Blizzard	35
Bluehost	23
Bobcat	68
Bojangles	49
Bombay Sapphire	40
Boohoo	20
BookBeat	11
Booking.com	30
Borussia Dortmund	117
Bottega Veneta	60
Bowers & Wilkins	60
Box	21
Boxer	27
Braun	105
Brave	10
Bregott	57
Breitling	142
Brembo	65
Breville	94
Breyers	160
Bridgestone	95
British Airways	52
Brooks	112
Brother	118
Brynäs IF	114
BT	180
Bubbleroom	21
Budget	68
Buffalo Wild Wings	44
Bugatti	117
Buick	123
Bundesliga	64
Bungie	35
Burlington	54
Butterfinger	103
BYD	31
Byggmax	33
Calendly	13
Campari	166
Campbell's	157
Canada Dry	122
Canada Goose	69
Capcom	47
Capital One	38
Capri-Sun	57
Captain Morgan	82
Care of Carl	16
Carhartt	137
Carl's Jr	85
Carnival	54
Carrefour	68
Cartoon Network	34
Casumo	14
Cathay Pacific	80
CBS	99
CD Projekt	32
Celine	81
CeraVe	21
Cervera	39
Cetaphil	79
Champion	107
Chanel	116
Charles Schwab	55
Charmin	98
Cheerios	85
Cheesecake Factory	48
Cheetos	78
Cheez-It	105
Chelsea	121
Chevrolet	115
Chewy	15
Chick-fil-A	80
Chili's	51
Chime	14
China Eastern	38
Chipotle	33
Chips Ahoy	63
Chivas Regal	225
Chopard	166
Christian Louboutin	35
Chrysler	101
Cinnabon	41
Cisco	42
Citroën	107
City Gross	33
Clas Ohlson	108
Clinique	58
CNN	46
Coach	85
Cointreau	177
Cole Haan	98
Colruyt	98
Columbia	88
Comedy Central	35
Conagra	107
Converse	118
Coors	153
Corona	101
Corsair	32
COS	19
Coursera	14
CoverGirl	65
Cracker Barrel	57
Craftsman	99
Crate & Barrel	64
Crown Royal	87
Crowne Plaza	43
Crunchyroll	20
Cuisinart	55
Culver's	42
Cupra	8
Currys	142
Dacia	60
Dailymotion	21
Daim	73
Dairy Queen	86
Danone	107
Dasani	27
DAZN	10
DC Shoes	32
DC	92
DeepL	9
Deezer	19
Del Taco	62
Delhaize	159
Delicato	78
De'Longhi	124
Delta Air Lines	101
Denny's	73
DeWalt	102
Dickies	104
Dick's Sporting Goods	78
Dillard's	88
Dior	80
Discogs	26
Discover	41
D-Link	40
Dodge	126
Dolce & Gabbana	41
Dollar General	87
Dollar Tree	40
Dom Pérignon	90
Don Julio	84
Douglas	116
Dr. Martens	79
DreamWorks	32
Dropbox	19
DS Automobiles	12
Ducati	100
DuckDuckGo	18
Dunkin'	76
Dunlop	137
Durex	97
EA	44
easyJet	31
eBay	31
Edeka	128
edX	14
Egyptair	94
El Corte Inglés	86
Electrolux	107
Emerson	136
Emirates	41
Epic Games	35
Epidemic Sound	17
Epson	84
ESPN	47
Estelle & Thild	19
Etihad Airways	23
eToro	19
Eucerin	126
Europcar	77
EVA Air	37
Evernote	19
Expedia	30
Express	46
ExpressVPN	17
Fazer	135
FC Barcelona	127
Felix	87
Fendi	101
Fenty Beauty	9
Ferrero Rocher	44
Ferrero	80
Festool	101
Fiat	127
FIFA	122
Fiji	30
Filippa K	33
Findus	85
Finnair	103
Firefox	22
Firehouse Subs	32
Fisher-Price	96
Fiverr	16
Focus Features	24
Foodpanda	14
Foot Locker	52
Forever 21	42
Fossil	42
Four Seasons	66
Fox	40
Frigidaire	108
Fritos	94
FromSoftware	40
Frontier Airlines	32
Fujifilm	92
Furla	99
GameStop	42
Gant	77
GB Glace	84
General Electric	134
General Mills	98
Genesis	11
Genius	17
GetYourGuide	17
Ghirardelli	174
Gina Tricot	29
GitHub	18
Givenchy	74
Glassdoor	19
Glenfiddich	140
GMC	115
GoDaddy	29
Godiva	100
Gojek	16
Goodreads	19
Grab	14
Grammarly	17
Greggs	87
Grey Goose	29
Grubhub	22
Guess	45
Hamilton	134
Hankook	85
Happy Socks	18
Hardee's	66
Haribo	106
Harley-Davidson	123
Harman Kardon	73
Hasbro	103
Hasselblad	85
Hawaiian Airlines	97
Head & Shoulders	65
Headspace	16
H-E-B	121
Hemglass	58
Hendrick's	27
Henkel	150
Hermès	189
Hestra	90
Hilti	85
Hilton	107
Hisense	57
History	31
Holiday Inn	74
Home Depot	48
Honeywell	120
Hoover	118
Hormel	135
Hornbach	149
HostGator	24
Hot Wheels	58
Hotels.com	35
Houdini	33
HP	87
HTC	29
Huggies	48
Hulu	19
Iberia	99
Ibis	52
IBM	115
iHeartRadio	18
IHOP	68
Illy	93
IMDb	36
Indeed	22
Indian Motorcycle	125
Indiska	125
Infiniti	37
In-N-Out	78
Instacart	14
Inter Milan	118
Isuzu	110
Iveco	51
IWC	158
J.Crew	43
Jack Daniel's	160
Jack in the Box	75
Jaeger-LeCoultre	193
Jägermeister	91
Jaguar	91
Japan Airlines	75
JCB	81
JCPenney	124
JD Sports	45
Jeep	83
Jersey Mike's	70
JetBlue	28
Jim Beam	231
Jimmy Choo	30
Jimmy John's	43
John Deere	189
John Lewis	162
Johnnie Walker	206
Johnson & Johnson	140
Jolly Rancher	77
Jula	47
Jumbo	47
Just Eat	25
Juventus	129
Kappa	110
