fråga;sakA;sakB;grundningsårA;grundningsårB;källa;år
Vilket av märkena är äldst?;Nike;Starbucks;1964;1971;Wikipedia (Nike grundat 1964 som Blue Ribbon Sports; Starbucks 1971);2026
Vilket av märkena är äldst?;Gucci;Prada;1921;1913;Wikipedia / Britannica (Gucci 1921 Florens; Prada 1913 Milano);2026
Vilket av märkena är äldst?;Calvin Klein;Ralph Lauren;1968;1967;Wikipedia (Calvin Klein 1968; Ralph Lauren 1967);2026
Vilket av märkena är äldst?;Audi;Samsung;1909;1938;Wikipedia (Audi 1909; Samsung 1938);2026
Vilket av märkena är äldst?;Xbox;PlayStation;2001;1994;Wikipedia / Britannica (Xbox 2001; PlayStation 1994);2026
Vilket av märkena är äldst?;Monster Energy;Red Bull;2002;1987;Wikipedia (Monster Energy 2002; Red Bull lanserades 1987);2026
Vilket av märkena är äldst?;Hot Wheels;Mattel;1968;1945;Wikipedia (Hot Wheels 1968; Mattel grundat 1945);2026
Vilket av märkena är äldst?;Lenovo;LG;1984;1958;Wikipedia (Lenovo 1984; LG/GoldStar 1958);2026
Vilket av märkena är äldst?;Taco Bell;Chipotle;1962;1993;Wikipedia (Taco Bell 1962; Chipotle 1993);2026
Vilket av märkena är äldst?;Bosch;Siemens;1886;1847;Wikipedia (Bosch 1886; Siemens 1847);2026
Vilket av märkena är äldst?;Polaroid;Kodak;1937;1888;Wikipedia (Polaroid 1937; Eastman Kodak 1888);2026
Vilket av märkena är äldst?;Salomon;The North Face;1947;1968;Wikipedia (Salomon 1947; The North Face 1968);2026
Vilket av märkena är äldst?;Louis Vuitton;Versace;1854;1978;Wikipedia (Louis Vuitton 1854; Versace 1978);2026
Vilket av märkena är äldst?;Lululemon;Asics;1998;1949;Wikipedia (Lululemon 1998; Asics 1949);2026
Vilket av märkena är äldst?;Haribo;Red Bull;1920;1987;Wikipedia (Haribo 1920; Red Bull lanserades 1987);2026
Vilket av märkena är äldst?;Philips;Lenovo;1891;1984;Wikipedia (Philips 1891; Lenovo 1984);2026
Vilket av märkena är äldst?;Sonos;Whirlpool;2002;1911;Wikipedia (Sonos 2002; Whirlpool 1911);2026
Vilket av märkena är äldst?;Budweiser;Wingstop;1876;1994;Wikipedia (Budweiser 1876; Wingstop 1994);2026
Vilket av märkena är äldst?;Shein;Volkswagen;2008;1937;Wikipedia (Shein 2008; Volkswagen 1937);2026
Vilket av märkena är äldst?;Subway;Robinhood;1965;2013;Wikipedia (Subway 1965; Robinhood 2013);2026
Vilket av märkena är äldst?;Tim Hortons;Revolut;1964;2015;Wikipedia (Tim Hortons 1964; Revolut 2015);2026
Vilket av märkena är äldst?;Peugeot;Bumble;1810;2014;Wikipedia (Peugeot som företag 1810; Bumble 2014);2026
Vilket av märkena är äldst?;Smirnoff;Bumble;1864;2014;Wikipedia (Smirnoff 1864; Bumble 2014);2026
Vilket av märkena är äldst?;Revolut;Schweppes;2015;1783;Wikipedia (Revolut 2015; Schweppes 1783);2026
Vilket av märkena är äldst?;Twinings;Shein;1706;2008;Wikipedia (Twinings 1706; Shein 2008);2026
Vilket av märkena är äldst?;Zoom;Lipton;2011;1890;Wikipedia (Zoom 2011; Lipton 1890);2026
Vilket av märkena är äldst?;Stella Artois;Robinhood;1926;2013;Wikipedia (Stella Artois som varumärke 1926; Robinhood 2013);2026
