fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Innehåller en mango mer eller mindre socker än ett päron per 100 gram?;Mango;Päron;14;10;gram;Hur många gram socker skiljer det?
Innehåller ananas mer eller mindre C-vitamin än kiwi per 100 gram?;Ananas;Kiwi;48;93;milligram;Hur många milligram C-vitamin skiljer det?
Innehåller körsbär mer eller mindre fiber än hallon per 100 gram?;Körsbär;Hallon;2,1;6,5;gram;Hur många gram fiber skiljer det?
Har en persika fler eller färre kalorier än en nektarin per 100 gram?;Persika;Nektarin;39;44;kalorier;Hur många kalorier skiljer det?
Har en cantaloupemelon fler eller färre kalorier än ett granatäpple per 100 gram?;Cantaloupemelon;Granatäpple;34;83;kalorier;Hur många kalorier skiljer det?
Innehåller broccoli mer eller mindre C-vitamin än blomkål per 100 gram?;Broccoli;Blomkål;89;48;milligram;Hur många milligram C-vitamin skiljer det?
Har aubergine fler eller färre kalorier än zucchini per 100 gram?;Aubergine;Zucchini;25;17;kalorier;Hur många kalorier skiljer det?
Innehåller solrosfrön mer eller mindre protein än pumpafrön per 100 gram?;Solrosfrön;Pumpafrön;21;30;gram;Hur många gram protein skiljer det?
Innehåller ricotta mer eller mindre fett än brie per 100 gram?;Ricotta;Brie;11;28;gram;Hur många gram fett skiljer det?
Innehåller ett plommon mer eller mindre socker än ett fikon per 100 gram?;Plommon;Fikon;10;16;gram;Hur många gram socker skiljer det?
Har en croissant fler eller färre kalorier än gröna ärtor per 100 gram?;Croissant;Gröna ärtor;406;81;kalorier;Hur många kalorier skiljer det?
Innehåller halloumi mer eller mindre protein än ricotta per 100 gram?;Halloumi;Ricotta;22;11;gram;Hur många gram protein skiljer det?
Innehåller naturell yoghurt mer eller mindre fett än fetaost per 100 gram?;Naturell yoghurt;Fetaost;3,3;21;gram;Hur många gram fett skiljer det?
Innehåller zucchini mer eller mindre C-vitamin än broccoli per 100 gram?;Zucchini;Broccoli;17;89;milligram;Hur många milligram C-vitamin skiljer det?
Innehåller champagne mer eller mindre alkohol än cider?;Champagne;Cider;12;4,5;procent;Hur många procentenheter skiljer det?
Har falafel fler eller färre kalorier än gröna ärtor per 100 gram?;Falafel;Gröna ärtor;333;81;kalorier;Hur många kalorier skiljer det?
Innehåller fetaost mer eller mindre fett än hasselnötter per 100 gram?;Fetaost;Hasselnötter;21;61;gram;Hur många gram fett skiljer det?
Innehåller biff mer eller mindre protein än tofu per 100 gram?;Biff;Tofu;26;8;gram;Hur många gram protein skiljer det?
Innehåller lönnsirap mer eller mindre socker än naturell yoghurt per 100 gram?;Lönnsirap;Naturell yoghurt;60;4,7;gram;Hur många gram socker skiljer det?
Innehåller tonfisk mer eller mindre fett än jordnötssmör per 100 gram?;Tonfisk;Jordnötssmör;1;50;gram;Hur många gram fett skiljer det?
Innehåller ananas mer eller mindre fett än kokosnöt per 100 gram?;Ananas;Kokosnöt;0,1;33;gram;Hur många gram fett skiljer det?
Innehåller marsipan mer eller mindre socker än broccoli per 100 gram?;Marsipan;Broccoli;50;1,7;gram;Hur många gram socker skiljer det?
Har spenat fler eller färre kalorier än pistagenötter per 100 gram?;Spenat;Pistagenötter;23;562;kalorier;Hur många kalorier skiljer det?
Innehåller kola mer eller mindre socker än en persika per 100 gram?;Kola;Persika;65;8;gram;Hur många gram socker skiljer det?
Har en cantaloupemelon fler eller färre kalorier än brie per 100 gram?;Cantaloupemelon;Brie;34;334;kalorier;Hur många kalorier skiljer det?
Har en hamburgare fler eller färre kalorier än en varmkorv per 100 gram?;Hamburgare;Varmkorv;250;290;kalorier;Hur många kalorier skiljer det?
Har paranötter fler eller färre kalorier än hasselnötter per 100 gram?;Paranötter;Hasselnötter;659;628;kalorier;Hur många kalorier skiljer det?
