fråga;källa;år
Har ett piano fler eller färre tangenter än en gitarr har strängar?;Encyclopaedia Britannica: piano (88 tangenter) / guitar (6 strängar);2024
Har en fiol fler eller färre strängar än en harpa?;Encyclopaedia Britannica: violin (4 strängar) / Lyon & Healy konsertharpa (47 strängar);2024
Är en kontrabas längre eller kortare än en fiol?;Wikipedia: Double bass (ca 180 cm) / Violin (ca 60 cm helfiol);2024
Väger en flygel mer eller mindre än ett vanligt piano?;Steinway & Sons tekniska specifikationer (flygel ca 400 kg, pianino ca 250 kg);2024
Har ABBA fler eller färre medlemmar än en symfoniorkester har musiker?;Wikipedia: ABBA (4 medlemmar) / Symphony orchestra (ca 100 musiker);2024
Är Beatles låt Hey Jude längre eller kortare än ABBA:s Waterloo?;Wikipedia: Hey Jude (7:11, singelversion) / Waterloo (2:42, singelversion);2024
Väger en tuba mer eller mindre än en trumpet?;Yamaha instrumentspecifikationer (tuba ca 10 kg, trumpet ca 1,1 kg);2024
Har en cello fler eller färre strängar än en tolvsträngad gitarr?;Encyclopaedia Britannica: cello (4) / twelve-string guitar (12);2024
Väger ett trumset mer eller mindre än en flygel?;Tillverkarspec Pearl/Yamaha trumset ca 25 kg / Steinway flygel ca 400 kg;2024
Har ett fullstort dragspel fler eller färre basknappar än en trumpet har ventiler?;Wikipedia: Stradella bass system (120 basknappar) / trumpet (3 ventiler);2024
Är en blockflöjt längre eller kortare än en tvärflöjt?;Yamaha spec: sopranblockflöjt ca 32 cm / tvärflöjt ca 67 cm;2024
Väger en saxofon mer eller mindre än en tuba?;Yamaha spec: altsaxofon ca 2,5 kg / tuba ca 10 kg;2024
Har en harpa fler eller färre strängar än ett piano?;Lyon & Healy (47 strängar) / Steinway: ett piano har ca 230 strängar;2024
Väger en konsertharpa mer eller mindre än en ukulele?;Lyon & Healy konsertharpa ca 36 kg / sopranukulele ca 0,5 kg;2024
Är ABBA:s Gimme! Gimme! Gimme! längre eller kortare än Waterloo?;Wikipedia: Gimme! Gimme! Gimme! (4:45, albumversion) / Waterloo (2:42, singelversion);2024
Väger en tvärflöjt mer eller mindre än en saxofon?;Yamaha spec: tvärflöjt ca 0,45 kg / altsaxofon ca 2,5 kg;2024
Har ett trumset fler eller färre trummor än en trumpet har ventiler?;Wikipedia: Drum kit (standard femdelars trumset) / trumpet (3 ventiler);2024
Väger en ukulele mer eller mindre än en gitarr?;Tillverkarspec: sopranukulele ca 0,5 kg / akustisk gitarr ca 2 kg;2024
Har ett fullstort dragspel fler eller färre tangenter än en harpa har strängar?;Wikipedia: Piano accordion (41 diskanttangenter fullstort) / Lyon & Healy harpa (47 strängar);2024
Väger en kontrabas mer eller mindre än en elgitarr?;Wikipedia: Double bass (ca 10 kg) / Fender Stratocaster (ca 3,6 kg);2024
Är Michael Jacksons Thriller längre eller kortare än ABBA:s Dancing Queen?;Wikipedia: Thriller (5:57) / Dancing Queen (3:50), albumversioner;2024
Väger en blockflöjt mer eller mindre än en elgitarr?;Yamaha spec: sopranblockflöjt ca 150 g / Fender Stratocaster ca 3600 g;2024
Har en stråkkvartett fler eller färre musiker än ett storband?;Wikipedia: String quartet (4) / Big band (standard 17 musiker);2024
Är en konsertflygel längre eller kortare än en fiolstråke?;Steinway Model D (274 cm) / fiolstråke helstorlek (ca 74 cm);2024
Har ett munspel fler eller färre hål än en cello har strängar?;Hohner: diatoniskt munspel (10 hål) / Britannica: cello (4 strängar);2024
Är en cello längre eller kortare än en kontrabas?;Wikipedia: Cello (ca 120 cm total) / Double bass (ca 180 cm);2024
Var Agnetha äldre eller yngre än Björn när ABBA vann Eurovision?;Wikipedia: Agnetha Fältskog (f. 1950-04-05) / Björn Ulvaeus (f. 1945-04-25), Eurovision 6 april 1974;1974
