fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Vilket av märkena är äldst?;Spendrups;Carlsberg;129;179;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Findus;Heineken;85;162;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Zoégas;Löfbergs;140;120;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Läkerol;Wasa;117;107;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Estrella;Carlsberg;69;179;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Oatly;Zoégas;32;140;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;GB Glace;Cloetta;84;164;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Arla;Findus;145;85;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Spendrups;OLW;129;59;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Pepsi;Estrella;128;69;år;Hur många år skiljer dem åt?
Vilket märke har störst omsättning? (2024);Arla;Lantmännen;159,0;68,0;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Coca-Cola;Carlsberg;490,0;110,0;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Cloetta;Kopparbergs;8,6;2,4;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Oatly;Nestlé;8,6;1090,0;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Spendrups;Lantmännen;5,0;68,0;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Kopparbergs;Lantmännen;2,4;68,0;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke finns i flest länder?;Coca-Cola;Carlsberg;200;150;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Nestlé;Absolut Vodka;185;126;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Heineken;Oatly;190;20;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Absolut Vodka;Findus;126;40;länder;Hur många länder skiljer det?
Vilket av märkena är äldst?;Cloetta;Läkerol;164;117;år;Hur många år skiljer dem åt?
Vilket märke har flest anställda?;Coca-Cola;Pepsi;69700;319000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Nestlé;Heineken;259871;90000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Arla;Pepsi;21800;319000;anställda;Hur många anställda skiljer det?
Vilket märke är värt mest som varumärke? (2024);Coca-Cola;Nestlé;61,2;20,8;miljarder USD;Hur många miljarder dollar skiljer det?
Vilket märke är värt mest som varumärke? (2024);Heineken;Pepsi;9,0;20,2;miljarder USD;Hur många miljarder dollar skiljer det?
