fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Springer en italiensk vinthund snabbare eller långsammare än en greyhound?;Italiensk vinthund;Greyhound;40;72;km/h;Hur många km/h skiljer det i toppfart?
Springer en saluki snabbare eller långsammare än en sloughi?;Saluki;Sloughi;68;67;km/h;Hur många km/h skiljer det i toppfart?
Springer en tysk schäferhund snabbare eller långsammare än en vizsla?;Tysk schäferhund;Vizsla;48;64;km/h;Hur många km/h skiljer det i toppfart?
Springer en afghanhund snabbare eller långsammare än en borzoi?;Afghanhund;Borzoi;64;58;km/h;Hur många km/h skiljer det i toppfart?
Springer en pharaohhund snabbare eller långsammare än en azawakh?;Pharaohhund;Azawakh;56;64;km/h;Hur många km/h skiljer det i toppfart?
Har en brittany högre eller lägre andel höftledsdysplasi än en chow chow?;Brittany;Chow chow;6;50;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en sussex spaniel högre eller lägre andel höftledsdysplasi än en chesapeake bay retriever?;Sussex spaniel;Chesapeake bay retriever;42;12;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en pointer högre eller lägre andel höftledsdysplasi än en gammal dansk hönsehund?;Pointer;Gammal dansk hönsehund;6;30;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en bloodhound högre eller lägre andel höftledsdysplasi än en kuvasz?;Bloodhound;Kuvasz;26;14;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en gordonsetter högre eller lägre andel höftledsdysplasi än en american staffordshire terrier?;Gordonsetter;American staffordshire terrier;21;25;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en pudelpointer högre eller lägre andel höftledsdysplasi än en briard?;Pudelpointer;Briard;7;22;%;Hur många procentenheter skiljer det i höftledsdysplasi?
