fråga;källa;år
Innehåller en mango mer eller mindre socker än ett päron per 100 gram?;USDA FoodData Central;2024
Innehåller ananas mer eller mindre C-vitamin än kiwi per 100 gram?;USDA FoodData Central;2024
Innehåller körsbär mer eller mindre fiber än hallon per 100 gram?;USDA FoodData Central;2024
Har en persika fler eller färre kalorier än en nektarin per 100 gram?;USDA FoodData Central;2024
Har en cantaloupemelon fler eller färre kalorier än ett granatäpple per 100 gram?;USDA FoodData Central;2024
Innehåller broccoli mer eller mindre C-vitamin än blomkål per 100 gram?;USDA FoodData Central;2024
Har aubergine fler eller färre kalorier än zucchini per 100 gram?;USDA FoodData Central;2024
Innehåller solrosfrön mer eller mindre protein än pumpafrön per 100 gram?;USDA FoodData Central;2024
Innehåller ricotta mer eller mindre fett än brie per 100 gram?;USDA FoodData Central;2024
Innehåller ett plommon mer eller mindre socker än ett fikon per 100 gram?;USDA FoodData Central;2024
Har en croissant fler eller färre kalorier än gröna ärtor per 100 gram?;USDA FoodData Central;2024
Innehåller halloumi mer eller mindre protein än ricotta per 100 gram?;USDA FoodData Central;2024
Innehåller naturell yoghurt mer eller mindre fett än fetaost per 100 gram?;USDA FoodData Central;2024
Innehåller zucchini mer eller mindre C-vitamin än broccoli per 100 gram?;USDA FoodData Central;2024
Innehåller champagne mer eller mindre alkohol än cider?;Wikipedia (Champagne, Cider) - typisk ABV;2024
Har falafel fler eller färre kalorier än gröna ärtor per 100 gram?;USDA FoodData Central;2024
Innehåller fetaost mer eller mindre fett än hasselnötter per 100 gram?;USDA FoodData Central;2024
Innehåller biff mer eller mindre protein än tofu per 100 gram?;USDA FoodData Central;2024
Innehåller lönnsirap mer eller mindre socker än naturell yoghurt per 100 gram?;USDA FoodData Central;2024
Innehåller tonfisk mer eller mindre fett än jordnötssmör per 100 gram?;USDA FoodData Central;2024
Innehåller ananas mer eller mindre fett än kokosnöt per 100 gram?;USDA FoodData Central;2024
Innehåller marsipan mer eller mindre socker än broccoli per 100 gram?;USDA FoodData Central;2024
Har spenat fler eller färre kalorier än pistagenötter per 100 gram?;USDA FoodData Central;2024
Innehåller kola mer eller mindre socker än en persika per 100 gram?;USDA FoodData Central;2024
Har en cantaloupemelon fler eller färre kalorier än brie per 100 gram?;USDA FoodData Central;2024
Har en hamburgare fler eller färre kalorier än en varmkorv per 100 gram?;USDA FoodData Central;2024
Har paranötter fler eller färre kalorier än hasselnötter per 100 gram?;USDA FoodData Central;2024
