fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är huvudet på en nyfödd bebis större eller mindre i omkrets än huvudet på en vuxen?;Nyfödd babys huvud;Vuxens huvud;35;57;centimeter;Hur många centimeter skiljer det?
Rymmer en människas mage mer eller mindre när den är full än när den är tom?;Full mage;Tom mage;1;0,05;liter;Hur många liter skiljer det?
Väger ett vuxet finger mer eller mindre än hela handen?;Ett finger;Hela handen;30;400;gram;Hur många gram skiljer det?
Är en arm hos ett spädbarn längre eller kortare än ett vuxet ben?;Spädbarns arm;Vuxet ben;20;90;centimeter;Hur många centimeter skiljer det?
Är en nagel på lillfingret bredare eller smalare än en nagel på tummen?;Lillfingernagel;Tumnagel;7;16;millimeter;Hur många millimeter skiljer det?
Är en människas hår längre på huvudet än i ögonbrynen?;Hår på huvudet;Hår i ögonbrynen;70;1;centimeter;Hur många centimeter skiljer det?
Väger en vuxens hela skelett mer eller mindre än hjärnan?;Skelettet;Hjärnan;10;1,4;kilo;Hur många kilo skiljer det?
Är ett spädbarns hela arm längre eller kortare än en vuxens fot?;Spädbarns arm;Vuxens fot;18;26;centimeter;Hur många centimeter skiljer det?
Är det varmare eller kallare i en bastu än i kroppen?;Bastun;Kroppen;90;37;°C;Hur många grader skiljer det?
Tar man fler eller färre andetag på en minut när man sover än när man springer?;Andetag när man sover;Andetag när man springer;12;40;andetag;Hur många andetag skiljer det?
Har en människa fler eller färre ögon än fingrar?;Ögon;Fingrar;2;10;stycken;Hur många skiljer det?
Är ett spädbarn längre eller kortare än en tioåring?;Spädbarn;Tioåring;50;140;centimeter;Hur många centimeter skiljer det?
Väger ett hårstrå mer eller mindre än ett ögonfranshår?;Hårstrå;Ögonfranshår;0,7;0,04;milligram;Hur många milligram skiljer det?
Är en människas tunga längre eller kortare än ett pekfinger?;Tunga;Pekfinger;10;7,5;centimeter;Hur många centimeter skiljer det?
Är ett barnbarn äldre eller yngre än sin mormor?;Barnbarn;Mormor;8;65;år;Hur många år skiljer det?
Har en vuxen fler eller färre tår än tänder?;Tår;Tänder;10;32;stycken;Hur många skiljer det?
Är alla blodådror i kroppen sammanlagt längre eller kortare än ett varv runt jorden?;Blodådror;Varv runt jorden;100000;40000;kilometer;Hur många kilometer skiljer det?
Är ett öga tyngre eller lättare än en tand?;Öga;Tand;7,5;1;gram;Hur många gram skiljer det?
Är en sexårig son längre eller kortare än sin pappa?;Sexårig son;Pappa;115;180;centimeter;Hur många centimeter skiljer det?
Har en människa fler eller färre ben i ena foten än fingrar på en hand?;Ben i ena foten;Fingrar på en hand;26;5;stycken;Hur många skiljer det?
Väger en vuxens fot mer eller mindre än huvudet?;Foten;Huvudet;1;5;kilo;Hur många kilo skiljer det?
Är en människas skägg som längst längre eller kortare än ögonfransarna?;Skägg;Ögonfransar;30;1;centimeter;Hur många centimeter skiljer det?
Är en människas tarmar sammanlagt längre eller kortare än en buss?;Tarmarna;En buss;8;12;meter;Hur många meter skiljer det?
Är det varmare eller kallare på huden än inuti kroppen?;På huden;Inuti kroppen;33;37;°C;Hur många grader skiljer det?
Klarar en människa fler eller färre dagar utan mat än utan vatten?;Utan mat;Utan vatten;30;3;dagar;Hur många dagar skiljer det?
Är en vuxens lillfinger längre eller kortare än tummen?;Lillfingret;Tummen;5,5;6;centimeter;Hur många centimeter skiljer det?
Är ett nyfött barns fotsula längre eller kortare än en vuxens?;Nyfödds fotsula;Vuxens fotsula;7,5;26;centimeter;Hur många centimeter skiljer det?
