fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har en border terrier högre eller lägre mankhöjd än en engelsk springer spaniel?;Border terrier;Engelsk springer spaniel;34;51;cm;Hur många cm skiljer det i mankhöjd?
Har en border collie högre eller lägre mankhöjd än en eurasier?;Border collie;Eurasier;53;56;cm;Hur många cm skiljer det i mankhöjd?
Väger en schnauzer mer eller mindre än en engelsk springer spaniel?;Schnauzer;Engelsk springer spaniel;18;22;kg;Hur många kg skiljer det i vikt?
Har en vit herdehund högre eller lägre mankhöjd än en beagle?;Vit herdehund;Beagle;63;38;cm;Hur många cm skiljer det i mankhöjd?
Väger en nova scotia duck tolling retriever mer eller mindre än en border terrier?;Nova scotia duck tolling retriever;Border terrier;20;6;kg;Hur många kg skiljer det i vikt?
Väger en wachtelhund mer eller mindre än en pomeranian?;Wachtelhund;Pomeranian;20;2,5;kg;Hur många kg skiljer det i vikt?
Väger en eurasier mer eller mindre än en schnauzer?;Eurasier;Schnauzer;26;18;kg;Hur många kg skiljer det i vikt?
Väger en bichon frisé mer eller mindre än en whippet?;Bichon frisé;Whippet;5;13;kg;Hur många kg skiljer det i vikt?
Väger en akita mer eller mindre än en border terrier?;Akita;Border terrier;40;6;kg;Hur många kg skiljer det i vikt?
Har en eurasier högre eller lägre mankhöjd än en pomeranian?;Eurasier;Pomeranian;56;22;cm;Hur många cm skiljer det i mankhöjd?
Väger en shiba inu mer eller mindre än en engelsk springer spaniel?;Shiba inu;Engelsk springer spaniel;10;22;kg;Hur många kg skiljer det i vikt?
Har en border terrier högre eller lägre mankhöjd än en pointer?;Border terrier;Pointer;34;63;cm;Hur många cm skiljer det i mankhöjd?
