fråga;källa;år
Har en border terrier högre eller lägre mankhöjd än en engelsk springer spaniel?;SKK rasstandard (border terrier; engelsk springer spaniel);2024
Har en border collie högre eller lägre mankhöjd än en eurasier?;SKK rasstandard (border collie; eurasier);2024
Väger en schnauzer mer eller mindre än en engelsk springer spaniel?;SKK rasstandard (schnauzer; engelsk springer spaniel);2024
Har en vit herdehund högre eller lägre mankhöjd än en beagle?;SKK rasstandard (vit herdehund; beagle);2024
Väger en nova scotia duck tolling retriever mer eller mindre än en border terrier?;SKK rasstandard (nova scotia duck tolling retriever; border terrier);2024
Väger en wachtelhund mer eller mindre än en pomeranian?;SKK rasstandard (tysk wachtelhund; pomeranian/dvärgspets);2024
Väger en eurasier mer eller mindre än en schnauzer?;SKK rasstandard (eurasier; schnauzer);2024
Väger en bichon frisé mer eller mindre än en whippet?;SKK rasstandard (bichon frisé; whippet);2024
Väger en akita mer eller mindre än en border terrier?;SKK rasstandard (akita; border terrier);2024
Har en eurasier högre eller lägre mankhöjd än en pomeranian?;SKK rasstandard (eurasier; pomeranian);2024
Väger en shiba inu mer eller mindre än en engelsk springer spaniel?;SKK rasstandard (shiba inu; engelsk springer spaniel);2024
Har en border terrier högre eller lägre mankhöjd än en pointer?;SKK rasstandard (border terrier; pointer);2024
