fråga;källa;år
Väger magsäcken mer eller mindre än mjälten?;ICRP/organviktstabeller (tom magsäck ~150 g; mjälte ~100-150 g);2024
Väger hjärtat mer eller mindre än båda lungorna tillsammans?;normal organ weight tables (hjärta ~300 g; båda lungorna tillsammans ~1000 g);2024
Väger hela skelettet mer eller mindre än ett finger?;ICRP referensvärde (skelett ~10 kg; finger ~30 g);2023
Har man fler eller färre hårstrån på huvudet än tänder i munnen?;Healthline (huvudhår ~90 000-150 000, snitt ~100 000; vuxentänder 32);2024
Väger båda lungorna mer eller mindre än en ögonfrans?;normal organ weight tables (båda lungorna ~1000 g; ögonfrans ~0,001 g);2024
Är ett finger längre eller kortare än lårbenet?;anatomi (pekfinger ~8 cm; lårben ~45-48 cm);2024
Har en vuxen fler eller färre svettkörtlar än tänder?;Cleveland Clinic (eccrina svettkörtlar 2-4 miljoner; vuxentänder 32);2024
Är en vuxen längre eller kortare än alla sina tarmar tillsammans?;Healthline (mag-tarmkanal ~7,5-9 m; vuxen ~1,8 m);2024
Har man fler eller färre smaklökar än fingrar och tår tillsammans?;fysiologilitteratur (smaklökar ~2 000-10 000; fingrar+tår 20);2024
Är en tioåring längre eller kortare än bredden på ett hårstrå?;Svenska tillväxtkurvor (tioåring ~140 cm); hårstrå ~0,01 cm tjockt;2024
Väger ett hjärta mer eller mindre än en hel vuxen man?;organviktstabeller (hjärta ~0,3 kg; vuxen man ~80-85 kg);2024
Är en tand längre eller kortare än tungan?;Healthline (tunga i snitt ~8,5 cm; tand med rot ~2,5 cm);2024
Slår en människas hjärta fler eller färre slag per minut än ett marsvins?;Merck Veterinary Manual (marsvin ~200-350 slag/min) + vilopuls människa ~70/min;2024
Väger levern mer eller mindre än båda njurarna tillsammans?;normal organ weight tables (lever ~1500 g; två njurar ~260-280 g);2024
Har en vuxen fler eller färre muskler i kroppen än fingrar på en hand?;anatomi (>600 skelettmuskler; 5 fingrar);2024
Är en mormor äldre eller yngre än en tonåring?;typiskt familjeexempel;2024
Väger en vuxen man mer eller mindre än en tioåring?;CDC/svenska tillväxtkurvor (man ~80-85 kg; tioåring ~32 kg);2024
Är handleden tjockare eller smalare runt om än låret?;antropometrisk data (handled ~16 cm; lår ~55 cm omkrets);2023
Är en hand längre eller kortare än en hel arm?;antropometrisk data (hand ~19 cm; arm ~70 cm);2023
Väger en femåring mer eller mindre än en ettåring?;Svenska tillväxtkurvor/1177 (femåring ~18 kg; ettåring ~10 kg);2024
Är handleden smalare eller tjockare runt om än midjan?;antropometrisk data (handled ~16 cm; midja ~85 cm omkrets);2023
Är en farfar äldre eller yngre än sitt tonårsbarnbarn?;typiskt familjeexempel;2024
Är ett finger längre eller kortare än en hel fot?;anatomi (pekfinger ~8 cm; fot ~26 cm);2023
Rymmer en full magsäck mer eller mindre än en kaffekopp?;fysiologilitteratur (full magsäck ~0,8-1,5 l; kaffekopp ~0,25 l);2024
Tar man fler eller färre andetag på en minut än hjärtat slår?;1177 Vårdguiden / vitalparametrar (andetag ~12-16/min; hjärtslag ~70/min);2024
Är en mamma äldre eller yngre än sin nyfödda bebis?;typiskt familjeexempel (mamma ~32 år; bebis 0 år);2024
Är en lillfingernagel bredare eller smalare än en fot är lång?;anatomi (lillfingernagel ~0,7 cm; fot ~26 cm);2023
