fråga;källa;år
Är en fransk bulldogg dyrare eller billigare i inköp än en pomeranian? (2025);Svenska uppfödarannonser (köpahund.se), prisintervall fransk bulldogg 20 000–30 000 kr;2025
Är en cocker spaniel dyrare eller billigare i inköp än en tax? (2025);Svenska uppfödarannonser (köpahund.se);2025
Är en berner sennenhund dyrare eller billigare i inköp än en golden retriever? (2025);Svenska uppfödarannonser (köpahund.se), golden retriever riktpris ~25 000 kr enligt SKK;2025
Är en cavalier king charles spaniel dyrare eller billigare i inköp än en bichon havanais? (2025);Svenska uppfödarannonser (köpahund.se);2025
Är en akita dyrare eller billigare i inköp än en shiba inu? (2025);Svenska uppfödarannonser (köpahund.se), akita ~17 000–20 000 kr, shiba ~14 000–17 000 kr;2025
Är en border collie dyrare eller billigare i inköp än en australian shepherd? (2025);Svenska uppfödarannonser (köpahund.se);2025
Är en rhodesian ridgeback dyrare eller billigare i inköp än en beagle? (2025);Svenska uppfödarannonser (köpahund.se);2025
Är en chihuahua dyrare eller billigare i inköp än en tibetansk mastiff? (2025);Svenska uppfödarannonser, tibetansk mastiff snittpris ~30 000 kr (Strömstads Tidning/GP);2025
Är en vizsla dyrare eller billigare i inköp än en leonberger? (2025);Svenska uppfödarannonser (köpahund.se);2025
Är en staffordshire bullterrier dyrare eller billigare i inköp än en bichon frisé? (2025);Svenska uppfödarannonser (köpahund.se);2025
Är en siberian husky dyrare eller billigare i inköp än en cane corso? (2025);Svenska uppfödarannonser (köpahund.se), siberian husky ~8 000–17 000 kr;2025
Är en mellanpudel dyrare eller billigare i inköp än en welsh corgi? (2025);Svenska uppfödarannonser (köpahund.se);2025
Är en eurasier dyrare eller billigare i inköp än en shih tzu? (2025);Svenska uppfödarannonser (köpahund.se);2025
Är en italiensk vinthund dyrare eller billigare i inköp än en tibetansk mastiff? (2025);Svenska uppfödarannonser, tibetansk mastiff snittpris ~30 000 kr (Strömstads Tidning/GP);2025
Är en saluki dyrare eller billigare i inköp än en drever? (2025);Svenska uppfödarannonser (köpahund.se);2025
Är en pyrenéerhund dyrare eller billigare i inköp än en affenpinscher? (2025);Svenska uppfödarannonser (köpahund.se);2025
Registrerades det fler eller färre shetland sheepdog än chihuahua (långhårig) hos SKK 2023?;SKK registreringsstatistik 2023, topp-20 (SSRK/SKK: shetland sheepdog 860, chihuahua långhårig 622);2023
Registrerades det fler eller färre drever än wachtelhund hos SKK 2023?;SKK registreringsstatistik 2023 (SSRK/SKK: drever 594); wachtelhund litet jaktras-tal;2023
Registrerades det fler eller färre australian shepherd än breton hos SKK 2023?;SKK registreringsstatistik 2023 (SSRK/SKK: australian shepherd 602); breton snitt ~65/år (SKK rasinfo);2023
