fråga;källa;år
Är en giraff högre eller lägre än en elefant?;Wikipedia (Giraffe, African bush elephant);2024
Väger en kejsarpingvin mer eller mindre än en struts?;Wikipedia (Emperor penguin, Common ostrich);2024
Springer en greyhound fortare eller långsammare än en gepard?;Wikipedia (Greyhound, Cheetah);2024
Väger en tiger mer eller mindre än ett lejon?;Wikipedia (Tiger, Lion);2024
Väger en blåval mer eller mindre än en afrikansk elefant?;Wikipedia (Blue whale, African bush elephant);2024
Lever en hund längre eller kortare än en huskatt?;Wikipedia (Dog, Cat — lifespan);2024
Väger en gorilla mer eller mindre än en schimpans?;Wikipedia (Gorilla, Chimpanzee);2024
Väger en ren mer eller mindre än en älg?;Wikipedia (Reindeer, Moose);2024
Springer en struts fortare eller långsammare än en emu?;Wikipedia (Common ostrich, Emu);2024
Väger en noshörning mer eller mindre än en afrikansk elefant?;Wikipedia (White rhinoceros, African bush elephant);2024
Väger en brunbjörn mer eller mindre än en varg?;Wikipedia (Brown bear, Gray wolf);2024
Är dräktighetstiden för en människa längre eller kortare än för en hund?;Wikipedia (Pregnancy, Canine reproduction);2024
Springer en kanin fortare eller långsammare än en hare?;Wikipedia (European rabbit, European hare);2024
Lever en elefant längre eller kortare än en häst?;Wikipedia (African bush elephant, Horse — lifespan);2024
Är en kejsarpingvin högre eller lägre än en kungspingvin?;Wikipedia (Emperor penguin, King penguin);2024
Är dräktighetstiden för en häst längre eller kortare än för en giraff?;Wikipedia (Horse, Giraffe — gestation);2024
Väger ett strutsägg mer eller mindre än ett hönsägg?;Wikipedia (Ostrich egg, Chicken egg);2024
Är en vithaj längre eller kortare än en valhaj?;Wikipedia (Great white shark, Whale shark);2024
Väger en kolibri mer eller mindre än en gråsparv?;Wikipedia (Hummingbird, House sparrow);2024
Väger en knölsvan mer eller mindre än en kanadagås?;Wikipedia (Mute swan, Canada goose);2024
Väger en späckhuggare mer eller mindre än en vithaj?;Wikipedia (Orca, Great white shark);2024
Lever en varg längre eller kortare än en rödräv i det vilda?;Wikipedia (Gray wolf, Red fox — lifespan);2024
Springer en sengångare fortare eller långsammare än en människa?;Wikipedia (Sloth, Footspeed);2024
Springer en känguru fortare eller långsammare än en emu?;Wikipedia (Red kangaroo, Emu);2024
Störtdyker en pilgrimsfalk fortare eller långsammare än en gepard springer?;Wikipedia (Peregrine falcon, Cheetah);2024
Väger en babian mer eller mindre än en orangutang?;Wikipedia (Baboon, Orangutan);2024
Är en älg högre eller lägre än en kronhjort i mankhöjd?;Wikipedia (Moose, Red deer);2024
Är en gorilla högre eller lägre än en isbjörn stående?;Wikipedia (Gorilla, Polar bear);2024
