fråga;källa;år
Har Saturnusmånen Titan större eller mindre diameter än Jupitermånen Ganymedes?;NASA – Moons (Titan ~5150 km / Ganymedes ~5268 km);2024
Är rymdteleskopet Hubble längre eller kortare än en buss på tolv meter?;NASA – Hubble Space Telescope (längd ~13,2 m);2024
Har Jupitermånen Io större eller mindre diameter än Jupitermånen Callisto?;NASA – Galilean moons (Io ~3642 km / Callisto ~4821 km);2024
Har dvärgplaneten Ceres större eller mindre diameter än Saturnusmånen Mimas?;NASA Science – Ceres ~940 km / Mimas ~396 km;2025
Har Neptunusmånen Triton större eller mindre diameter än dvärgplanetmånen Charon?;NASA/Planetary Society – Triton ~2706 km / Charon ~1212 km;2025
Har Neptunusmånen Triton större eller mindre diameter än Jupitermånen Io?;NASA – Triton (~2700 km) / Io (~3642 km);2024
Ligger stjärnan Sirius längre eller närmare bort än stjärnan Proxima Centauri?;ESA/NASA – Stellar distances (Sirius 8,6 ly / Proxima 4,2 ly);2024
Väger rymdteleskopet Hubble mer eller mindre än rymdteleskopet James Webb?;NASA/ESA – Hubble 11 110 kg (~11 ton) / JWST 6 200 kg (~6,2 ton uppskjutningsmassa);2025
Har Saturnusmånen Enceladus större eller mindre diameter än Saturnusmånen Mimas?;NASA – Enceladus (~500 km) / Mimas (~394 km);2024
Är den röda hyperjätten VY Canis Majoris större eller mindre än stjärnan Betelgeuse?;star-facts.com / sci-news – VY CMa ~1400 solradier, Betelgeuse ~764 solradier (modern standardvärde);2025
Är rymdteleskopet James Webbs spegel större eller mindre än Hubbles spegel?;NASA – JWST (6,5 m) / Hubble (2,4 m) primärspegel;2024
Är solsystemet yngre eller äldre än universum?;NASA/ESA – Solsystemet 4,6 mdr år / universum 13,8 mdr år;2024
Har Saturnusmånen Mimas större eller mindre diameter än dvärgplanetmånen Charon?;NASA – Mimas (~394 km) / Charon (~1212 km);2024
Har Neptunusmånen Triton större eller mindre diameter än Saturnusmånen Enceladus?;NASA – Triton (~2700 km) / Enceladus (~500 km);2024
Är berget Kilimanjaro högre eller lägre än vulkanen Olympus Mons på Mars?;Wikipedia/Astronomy.com – Olympus Mons ~21–22 km / Kilimanjaro 5895 m;2025
Har dvärgplanetmånen Charon större eller mindre diameter än Saturnusmånen Titan?;NASA – Charon (~1212 km) / Titan (~5150 km);2024
Har Jupitermånen Callisto större eller mindre diameter än dvärgplanetmånen Charon?;NASA – Callisto (~4821 km) / Charon (~1212 km);2024
Har dvärgplaneten Ceres större eller mindre diameter än Saturnusmånen Titan?;NASA – Ceres (~940 km) / Titan (~5150 km);2024
Är hettan i flytande lava varmare eller kallare än solens yta?;NASA Sun Fact Sheet (~5500 °C) / typisk lava ~1200 °C;2024
Har Saturnusmånen Mimas större eller mindre diameter än Neptunusmånen Triton?;NASA – Mimas (~394 km) / Triton (~2700 km);2024
Har Jupitermånen Ganymedes större eller mindre diameter än dvärgplaneten Ceres?;NASA – Ganymedes (~5268 km) / Ceres (~940 km);2024
Har Saturnusmånen Enceladus större eller mindre diameter än Jupitermånen Ganymedes?;NASA – Enceladus (~500 km) / Ganymedes (~5268 km);2024
Ligger den röda hyperjätten VY Canis Majoris längre eller närmare bort än stjärnan Sirius?;Constellation Guide – VY CMa ~3840–3900 ly / Sirius 8,6 ly (riktning robust);2025
Ligger stjärnan Sirius längre eller närmare bort än stjärnan Betelgeuse?;Britannica/Hipparcos – Sirius 8,6 ly / Betelgeuse ~550 ly (uppskattningar 430–640 ly; riktning robust);2025
Ligger stjärnan Proxima Centauri längre eller närmare bort än den röda hyperjätten VY Canis Majoris?;Constellation Guide – Proxima 4,2 ly / VY CMa ~3840–3900 ly;2025
