fråga;källa;år
Har Argentina fler eller färre invånare än Colombia? (2024);FN World Population Prospects 2024 / Worldometer;2024
Har Spanien fler eller färre invånare än Polen? (2024);FN World Population Prospects 2024;2024
Har Nigeria fler eller färre invånare än Kenya? (2024);FN World Population Prospects 2024 (Världsbanken);2024
Har Vietnam fler eller färre invånare än Egypten? (2024);FN World Population Prospects 2024;2024
Har Sydafrika fler eller färre invånare än Etiopien? (2024);FN World Population Prospects 2024 / Stats SA;2024
Har Etiopien fler eller färre invånare än Marocko? (2024);FN World Population Prospects 2024;2024
Har Filippinerna fler eller färre invånare än Chile? (2024);Folkräkning 2024 (PSA) / INE Chile;2024
Har Kenya fler eller färre invånare än Indonesien? (2024);FN World Population Prospects 2024;2024
Har Peru fler eller färre invånare än Indien? (2024);FN World Population Prospects 2024 / INEI Peru;2024
Är Spanien större eller mindre än Turkiet till ytan?;CIA World Factbook (total yta);2024
Är Chile större eller mindre än Colombia till ytan?;CIA World Factbook (total yta);2024
Är Mongoliet större eller mindre än Thailand till ytan?;CIA World Factbook (total yta);2024
Är Indonesien större eller mindre än Argentina till ytan?;CIA World Factbook (total yta);2024
Är Saudiarabien större eller mindre än Marocko till ytan?;CIA World Factbook (total yta, Marocko exkl. Västsahara);2024
Är Pakistan större eller mindre än Peru till ytan?;Encyclopaedia Britannica / Wikipedia (total yta);2024
Är Vietnam större eller mindre än Polen till ytan?;CIA World Factbook (total yta);2024
Är Nigeria större eller mindre än Kazakstan till ytan?;CIA World Factbook (total yta);2024
Är Iran större eller mindre än Turkiet till ytan?;CIA World Factbook (total yta);2024
Har Madrids storstadsområde fler eller färre invånare än Lagos? (2024);Macrotrends (FN tätortsaggregat);2024
Har Bangkoks storstadsområde fler eller färre invånare än Sydney? (2024);Bangkok Metropolitan Region / ABS Greater Sydney;2024
Har Torontos storstadsområde fler eller färre invånare än Jakarta? (2024);Statistics Canada (Toronto-regionen) / BPS Jabodetabek;2024
Har Bogotás storstadsområde fler eller färre invånare än Sydney? (2024);Macrotrends (Bogotá metro) / ABS Greater Sydney;2024
Har Londons storstadsområde fler eller färre invånare än Buenos Aires? (2024);Macrotrends (FN tätortsaggregat);2024
Har Mexico Citys storstadsområde fler eller färre invånare än Madrid? (2024);Macrotrends (Greater Mexico City / FN tätortsaggregat Madrid);2024
Har Istanbuls storstadsområde fler eller färre invånare än Rom? (2024);TÜİK Istanbul / Macrotrends Rom;2024
Är ön Sri Lanka större eller mindre än Irland till ytan?;Encyclopaedia Britannica (öyta, hela ön Irland);2024
Är ön Sicilien större eller mindre än Kreta till ytan?;Wikipedia / Encyclopaedia Britannica (öyta);2024
Är ön Sardinien större eller mindre än Cypern till ytan?;Wikipedia / Encyclopaedia Britannica (öyta);2024
