fråga;källa;år
Vilket av märkena är äldst?;General Electric grundat 1892 (ålder 134) / Roche grundat 1896 (ålder 130) — Wikipedia;2026
Vilket av märkena är äldst?;Standard Chartered grundat 1969 (ålder 57) / NatWest grundat 1968 (ålder 58) — Wikipedia;2026
Vilket av märkena är äldst?;Société Générale grundat 1864 (ålder 162) / HSBC grundat 1865 (ålder 161) — Wikipedia;2026
Vilket av märkena är äldst?;Seagate grundat 1978 (ålder 48) / SK Hynix grundat 1983 (ålder 43) — Wikipedia;2026
Vilket av märkena är äldst?;Morgan Stanley grundat 1935 (ålder 91) / UBS grundat 1862 (ålder 164) — Wikipedia;2026
Vilket av märkena är äldst?;Tencent grundat 1998 (ålder 28) / Twilio grundat 2008 (ålder 18) — Wikipedia;2026
Vilket av märkena är äldst?;Verizon grundat 2000 (ålder 26) / Vodafone grundat 1984 (ålder 42) — Wikipedia;2026
Vilket av märkena är äldst?;UnitedHealth grundat 1977 (ålder 49) / Tyson Foods grundat 1935 (ålder 91) — Wikipedia;2026
Vilket av märkena är äldst?;TD Bank grundat 1955 (ålder 71) / State Farm grundat 1922 (ålder 104) — Wikipedia;2026
Vilket av märkena är äldst?;Telefónica grundat 1924 (ålder 102) / Telenor grundat 1855 (ålder 171) — Wikipedia;2026
Vilket av märkena är äldst?;PPG grundat 1883 (ålder 143) / PNC grundat 1845 (ålder 181) — Wikipedia;2026
Vilket av märkena är äldst?;Eni grundat 1953 (ålder 73) / Repsol grundat 1987 (ålder 39) — Wikipedia;2026
Vilket av märkena är äldst?;Komatsu grundat 1921 (ålder 105) / Liebherr grundat 1949 (ålder 77) — Wikipedia;2026
Vilket av märkena är äldst?;MAN grundat 1758 (ålder 268) / Mack Trucks grundat 1900 (ålder 126) — Wikipedia;2026
Vilket av märkena är äldst?;Novo Nordisk grundat 1923 (ålder 103) / NTT grundat 1952 (ålder 74) — Wikipedia;2026
Vilket av märkena är äldst?;Lockheed Martin grundat 1995 (ålder 31) / Bosch grundat 1886 (ålder 140) — Wikipedia;2026
Vilket av märkena är äldst?;Red Hat grundat 1993 (ålder 33) / Continental grundat 1871 (ålder 155) — Wikipedia;2026
Vilket av märkena är äldst?;Ubiquiti grundat 2003 (ålder 23) / Hitachi grundat 1910 (ålder 116) — Wikipedia;2026
Vilket av märkena är äldst?;Tencent grundat 1998 (ålder 28) / Crédit Agricole grundat 1894 (ålder 132) — Wikipedia;2026
Vilket av märkena är äldst?;Ubiquiti grundat 2003 (ålder 23) / Saudi Aramco grundat 1933 (ålder 93) — Wikipedia;2026
Vilket av märkena är äldst?;SK Hynix grundat 1983 (ålder 43) / Whirlpool grundat 1911 (ålder 115) — Wikipedia;2026
Vilket av märkena är äldst?;State Street grundat 1792 (ålder 234) / Eni grundat 1953 (ålder 73) — Wikipedia;2026
Vilket av märkena är äldst?;Texas Instruments grundat 1930 (ålder 96) / Twilio grundat 2008 (ålder 18) — Wikipedia;2026
Vilket av märkena är äldst?;DigitalOcean grundat 2011 (ålder 15) / Westpac grundat 1817 (ålder 209) — Wikipedia;2026
Vilket av märkena är äldst?;Palantir grundat 2003 (ålder 23) / Scotiabank grundat 1832 (ålder 194) — Wikipedia;2026
Vilket av märkena är äldst?;Saudi Aramco grundat 1933 (ålder 93) / Databricks grundat 2013 (ålder 13) — Wikipedia;2026
Vilket av märkena är äldst?;UBS grundat 1862 (ålder 164) / Twilio grundat 2008 (ålder 18) — Wikipedia;2026
