fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är Brandenburger Tor högre eller lägre än Taipei 101?;Brandenburger Tor;Taipei 101;26;508;meter;Hur många meter skiljer det?
Är Triumfbågen i Paris högre eller lägre än Willis Tower i Chicago?;Triumfbågen;Willis Tower;50;442;meter;Hur många meter skiljer det?
Är Pantheon i Rom högre eller lägre än Willis Tower i Chicago?;Pantheon;Willis Tower;43;442;meter;Hur många meter skiljer det?
Är Space Needle i Seattle högre eller lägre än Shanghai Tower?;Space Needle;Shanghai Tower;184;632;meter;Hur många meter skiljer det?
Är Atomium i Bryssel högre eller lägre än Taipei 101?;Atomium;Taipei 101;102;508;meter;Hur många meter skiljer det?
Är London Eye högre eller lägre än Tokyo Skytree?;London Eye;Tokyo Skytree;135;634;meter;Hur många meter skiljer det?
Är Stonehenge äldre eller yngre än Sagrada Família?;Stonehenge;Sagrada Família;5100;144;år;Hur många år skiljer det?
Är Cheopspyramiden äldre eller yngre än Taj Mahal?;Cheopspyramiden;Taj Mahal;4600;370;år;Hur många år skiljer det?
Är Sydneys operahus äldre eller yngre än Colosseum?;Sydneys operahus;Colosseum;53;1950;år;Hur många år skiljer det?
Är Angkor Wat-templet äldre eller yngre än Sydneys operahus?;Angkor Wat;Sydneys operahus;900;53;år;Hur många år skiljer det?
Är Parthenon på Akropolis äldre eller yngre än Machu Picchu?;Parthenon;Machu Picchu;2470;580;år;Hur många år skiljer det?
Är Akashi Kaikyō-brons huvudspann längre eller kortare än Brooklynbrons?;Akashi Kaikyō-bron;Brooklynbrons huvudspann;1991;486;meter;Hur många meter skiljer det?
Är Taipei 101 högre eller lägre än Big Bens torn?;Taipei 101;Big Bens torn;508;96;meter;Hur många meter skiljer det?
Är Stonehenge äldre eller yngre än Angkor Wat-templet?;Stonehenge;Angkor Wat;5100;900;år;Hur många år skiljer det?
Är Taj Mahal högre eller lägre än Petronastornen?;Taj Mahal;Petronastornen;73;452;meter;Hur många meter skiljer det?
Är Sydneys operahus högre eller lägre än Lotte World Tower i Seoul?;Sydneys operahus;Lotte World Tower;65;555;meter;Hur många meter skiljer det?
Är Petersdomen i Rom högre eller lägre än Shanghai Tower?;Petersdomen;Shanghai Tower;136;632;meter;Hur många meter skiljer det?
Är Lotte World Tower i Seoul högre eller lägre än Cheopspyramiden?;Lotte World Tower;Cheopspyramiden;555;139;meter;Hur många meter skiljer det?
Är Atomium i Bryssel högre eller lägre än Kristusstatyn i Rio (med sockel)?;Atomium;Christ the Redeemer;102;38;meter;Hur många meter skiljer det?
Är Big Bens torn högre eller lägre än moai-statyerna på Påskön?;Big Bens torn;Moai på Påskön;96;4;meter;Hur många meter skiljer det?
