fråga;källa;år
Har Vänern större eller mindre yta än Mälaren?;SMHI / SO-rummet – Sveriges största sjöar;2024
Har Mälaren större eller mindre yta än Vättern?;SMHI / SO-rummet – Sveriges största sjöar;2024
Har Hjälmaren större eller mindre yta än Storsjön?;SMHI – Sveriges sjöar;2024
Har Siljan större eller mindre yta än Torneträsk?;SMHI – Sveriges sjöar;2024
Har Mälaren större eller mindre yta än Hjälmaren?;SMHI / SO-rummet – Sveriges största sjöar;2024
Har Hjälmaren större eller mindre yta än Vänern?;SMHI / SO-rummet – Sveriges största sjöar;2024
Har Malmö större eller mindre folkmängd än Göteborg? (2024);SCB – folkmängd per kommun 31 dec 2024;2024
Har Uppsala större eller mindre folkmängd än Linköping? (2024);SCB – folkmängd per kommun 31 dec 2024;2024
Har Malmö större eller mindre folkmängd än Linköping? (2024);SCB – folkmängd per kommun 31 dec 2024;2024
Har Göteborg större eller mindre folkmängd än Stockholm? (2024);SCB – folkmängd per kommun 31 dec 2024;2024
Har Stockholm större eller mindre folkmängd än Malmö? (2024);SCB – folkmängd per kommun 31 dec 2024;2024
Har Linköping större eller mindre folkmängd än Uppsala? (2024);SCB – folkmängd per kommun 31 dec 2024;2024
Är Öresundsbron längre eller kortare än Ölandsbron?;Trafikverket / Öresundsbro Konsortiet;2024
Är Hisingsbron längre eller kortare än Götaälvbron?;Wikipedia – Hisingsbron / Götaälvbron;2024
Är Götaälvbron längre eller kortare än Ölandsbron?;Wikipedia – Götaälvbron / Trafikverket;2024
Är Öresundsbron längre eller kortare än Götaälvbron?;Öresundsbro Konsortiet / Wikipedia – Götaälvbron;2024
Är Kista Science Tower högre eller lägre än Turning Torso?;Wikipedia / Swedishnomad – Sveriges högsta byggnader;2024
Är Karlatornet högre eller lägre än Globen?;Storstad.se / Wikipedia – Globen;2024
Är Kaknästornet högre eller lägre än Globen?;Wikipedia – Kaknästornet / Globen;2024
Är Globen högre eller lägre än Turning Torso?;Wikipedia – Globen / Turning Torso;2024
Är Kaknästornet högre eller lägre än Turning Torso?;Wikipedia – Kaknästornet / Turning Torso;2024
Har Öland större eller mindre yta än Gotland?;SCB – Sveriges största öar;2024
Har Öland större eller mindre yta än Orust?;SCB / Wikipedia – Orust;2024
Har Orust större eller mindre yta än Gotland?;SCB / Wikipedia – Orust;2024
Är Kebnekaise högre eller lägre än Sarektjåkkå?;Lantmäteriet / Wikipedia – Kebnekaise, Sarektjåkkå;2024
Är Helagsfjället högre eller lägre än Kebnekaise?;Wikipedia – Helagsfjället / Kebnekaise;2024
Är avståndet Stockholm–Göteborg längre eller kortare än Stockholm–Malmö?;distance.to – fågelvägen;2024
Är avståndet Malmö–Kiruna längre eller kortare än Göteborg–Malmö?;distance.to – fågelvägen;2024
Är avståndet Stockholm–Kiruna längre eller kortare än Göteborg–Malmö?;distance.to – fågelvägen;2024
Är avståndet Göteborg–Malmö längre eller kortare än Stockholm–Göteborg?;distance.to – fågelvägen;2024
Är Hornavan djupare eller grundare än Storsjön?;SMHI / Swedishnomad – Sveriges djupaste sjöar;2024
Är Hornavan djupare eller grundare än Torneträsk?;SMHI / Swedishnomad – Sveriges djupaste sjöar;2024
Är Storsjön djupare eller grundare än Siljan?;SMHI / Wikipedia – Storsjön, Siljan;2024
Är Ångermanälven längre eller kortare än Ljusnan?;SMHI – Sveriges största vattendrag;2024
Är Ume älv längre eller kortare än Lule älv?;SMHI – Sveriges största vattendrag;2024
Är Klarälven längre eller kortare än Dalälven?;SMHI – Sveriges största vattendrag;2024
Är Indalsälven längre eller kortare än Vindelälven?;SMHI – Sveriges största vattendrag;2024
Är Ångermanälven längre eller kortare än Göta älv?;SMHI – Sveriges största vattendrag;2024
Är Åreskutan högre eller lägre än Helags?;Wikipedia – Åreskutan, Helags;2024
Är Storsylen högre eller lägre än Helags?;Wikipedia – Storsylen, Helags;2024
Är Sarektjåkkå högre eller lägre än Helags?;Wikipedia – Sarektjåkkå, Helags;2024
Är Åreskutan högre eller lägre än Kebnekaise?;Wikipedia – Åreskutan, Kebnekaise;2024
Har Hisingen större eller mindre yta än Värmdö?;SCB / Wikipedia – Sveriges öar;2024
Har Värmdö större eller mindre yta än Tjörn?;SCB / Wikipedia – Sveriges öar;2024
Har Tjörn större eller mindre yta än Öland?;SCB / Wikipedia – Sveriges öar;2024
Har Hisingen större eller mindre yta än Orust?;SCB / Wikipedia – Sveriges öar;2024
Är avståndet Stockholm–Sundsvall längre eller kortare än Stockholm–Göteborg?;distance.to – fågelvägen;2024
Är avståndet Stockholm–Umeå längre eller kortare än Stockholm–Sundsvall?;distance.to – fågelvägen;2024
Är avståndet Göteborg–Jönköping längre eller kortare än Göteborg–Malmö?;distance.to – fågelvägen;2024
Är avståndet Kiruna–Stockholm längre eller kortare än Kiruna–Malmö?;distance.to – fågelvägen;2024
Regerade Gustav Vasa längre eller kortare än Gustaf V?;Kungahuset / SO-rummet – Sveriges regenter;2024
Regerade Oscar II längre eller kortare än Gustav Vasa?;Kungahuset / SO-rummet – Sveriges regenter;2024
Regerade Karl XIV Johan längre eller kortare än Oscar II?;Kungahuset / SO-rummet – Sveriges regenter;2024
Regerade Karl XII längre eller kortare än Gustaf V?;Kungahuset / SO-rummet – Sveriges regenter;2024
Är Turning Torso högre eller lägre än Karlatornet?;Wikipedia – Turning Torso, Karlatornet;2024
Är Kista Science Tower högre eller lägre än Kaknästornet?;Wikipedia – Kista Science Tower, Kaknästornet;2024
Är Karlatornet högre eller lägre än Kaknästornet?;Wikipedia – Karlatornet, Kaknästornet;2024
Är Globen högre eller lägre än Kista Science Tower?;Wikipedia – Globen, Kista Science Tower;2024
Har Uppsala domkyrka högre eller lägre tornhöjd än Globen?;Svenska kyrkan – Uppsala domkyrkas mått / Wikipedia – Globen;2024
Är Njupeskär högre eller lägre än Fettjeåfallet?;Swedishnomad – Sveriges högsta vattenfall;2024
Är Njupeskär högre eller lägre än Ristafallet?;Swedishnomad – Sveriges högsta vattenfall;2024
Är Hällingsåfallet högre eller lägre än Tännforsen?;Swedishnomad – Sveriges högsta vattenfall;2024
Är Fettjeåfallet högre eller lägre än Tännforsen?;Swedishnomad – Sveriges högsta vattenfall;2024
Har Lappland större eller mindre yta än Norrbotten?;Wikipedia – Landskap i Sverige;2024
Har Jämtland större eller mindre yta än Dalarna?;Wikipedia – Landskap i Sverige;2024
Har Uppland större eller mindre yta än Småland?;Wikipedia – Landskap i Sverige;2024
Har Lappland större eller mindre yta än Jämtland?;Wikipedia – Landskap i Sverige;2024
Har Uppland större eller mindre yta än Lappland?;Wikipedia – Landskap i Sverige;2024
Har Skåne större eller mindre yta än Småland?;Wikipedia – Landskap i Sverige;2024
Har Uppsala domkyrka högre eller lägre tornhöjd än Lunds domkyrka?;Svenska kyrkan – domkyrkornas mått;2024
Har Linköpings domkyrka högre eller lägre tornhöjd än Skara domkyrka?;Wikipedia – Linköpings domkyrka, Skara domkyrka;2024
Har Lunds domkyrka högre eller lägre tornhöjd än Skara domkyrka?;Wikipedia – Lunds domkyrka, Skara domkyrka;2024
Har Helsingborg större eller mindre folkmängd än Jönköping? (2024);SCB – folkmängd per kommun 31 dec 2024;2024
Har Västerås större eller mindre folkmängd än Umeå? (2024);SCB – folkmängd per kommun 31 dec 2024;2024
Har Örebro större eller mindre folkmängd än Norrköping? (2024);SCB – folkmängd per kommun 31 dec 2024;2024
Har Padjelanta nationalpark större eller mindre yta än Sarek nationalpark?;Naturvårdsverket – Sveriges nationalparker;2024
Har Stora Sjöfallet nationalpark större eller mindre yta än Sarek nationalpark?;Naturvårdsverket – Sveriges nationalparker;2024
Har Abisko nationalpark större eller mindre yta än Sarek nationalpark?;Naturvårdsverket – Sveriges nationalparker;2024
Har Padjelanta nationalpark större eller mindre yta än Abisko nationalpark?;Naturvårdsverket – Sveriges nationalparker;2024
Har Hornavan större eller mindre yta än Uddjaure?;SMHI / Wikipedia – Sveriges sjöar;2024
Har Bolmen större eller mindre yta än Storuman?;SMHI / Wikipedia – Sveriges sjöar;2024
Har Hornavan större eller mindre yta än Åsnen?;SMHI / Wikipedia – Sveriges sjöar;2024
Har Bolmen större eller mindre yta än Hornavan?;SMHI / Wikipedia – Sveriges sjöar;2024
Har Åsnen större eller mindre yta än Vänern?;SMHI / Wikipedia – Sveriges sjöar;2024
Är Karlatornet högre eller lägre än Uppsala domkyrka?;Wikipedia – Karlatornet / Svenska kyrkan – Uppsala domkyrka;2024
Är Turning Torso högre eller lägre än Linköpings domkyrka?;Wikipedia – Turning Torso, Linköpings domkyrka;2024
Har Skåne större eller mindre yta än Gotland?;Wikipedia – Landskap i Sverige;2024
Har Blekinge större eller mindre yta än Öland?;Wikipedia – Landskap i Sverige;2024
Har Kiruna kommun större eller mindre yta än Stockholms kommun?;SCB – kommunarealer / Wikipedia;2024
Har Jokkmokks kommun större eller mindre yta än Solna kommun?;SCB – kommunarealer / Wikipedia;2024
Har Gällivare kommun större eller mindre yta än Sundbybergs kommun?;SCB – kommunarealer / Wikipedia;2024
Har Stockholms kommun större eller mindre yta än Solna kommun?;SCB – kommunarealer / Wikipedia;2024
Är Sundsvallsbron längre eller kortare än Öresundsbron?;Wikipedia – Sundsvallsbron / Öresundsbro Konsortiet;2024
Är Högakustenbron längre eller kortare än Tjörnbron?;Wikipedia – Högakustenbron, Tjörnbron;2024
Är Tjörnbron längre eller kortare än Älvsborgsbron?;Wikipedia – Tjörnbron, Älvsborgsbron;2024
Är Älvsborgsbron längre eller kortare än Ölandsbron?;Wikipedia – Älvsborgsbron / Trafikverket – Ölandsbron;2024
Är Sundsvallsbron längre eller kortare än Tjörnbron?;Wikipedia – Sundsvallsbron, Tjörnbron;2024
Är Högakustenbron längre eller kortare än Ölandsbron?;Wikipedia – Högakustenbron / Trafikverket – Ölandsbron;2024
Har Kiruna kommun större eller mindre yta än Gotland?;SCB – kommunarealer / Wikipedia – Landskap i Sverige;2024
Har Vänern större eller mindre yta än Bolmen?;SMHI / Wikipedia – Sveriges sjöar;2024
Har Vättern större eller mindre yta än Åsnen?;SMHI / Wikipedia – Sveriges sjöar;2024
Har Sarek nationalpark större eller mindre yta än Gotland?;Naturvårdsverket – Sveriges nationalparker / SCB;2024
Har Norrbotten större eller mindre yta än Uppland?;Wikipedia – Landskap i Sverige;2024
Är Lule älv längre eller kortare än Göta älv?;SMHI – Sveriges största vattendrag;2024
Är Indalsälven längre eller kortare än Göta älv?;SMHI – Sveriges största vattendrag;2024
