fråga;källa;år
Vilket av märkena är äldst?;Wikipedia/Åhléns Group (Åhléns 1899, Stadium 1987);2026
Vilket av märkena är äldst?;Wikipedia/Lindex Group (Lindex 1954, Gina Tricot 1997);2026
Vilket av märkena är äldst?;Kappahl.com/Mio.se historia (KappAhl 1953, Mio 1962);2026
Vilket av märkena är äldst?;Axfood/Hemköp historik (Hemköp 1958, Willys-ursprung 1975);2026
Vilket av märkena är äldst?;Wikipedia/about.clasohlson.com (Clas Ohlson 1918, Elgiganten 1994);2026
Vilket av märkena är äldst?;apoteket.se/Wikipedia Max (Apoteket 1971, Max Burgers 1968);2026
Vilket av märkena är äldst?;Wikipedia/sv (Kicks 1991, KF/Coop 1899);2026
Vilket av märkena är äldst?;Wikipedia/ICA-historien (City Gross 1993, ICA 1938);2026
Vilket av märkena är äldst?;Wikipedia/Axfood (Axfood 2000, KF/Coop 1899);2026
Vilket märke har flest anställda?;Dustin Group ~2300 / Stadium-koncernen ~3000 (årsredovisning);2024
Vilket märke har flest anställda?;Stadium-koncernen ~3000 / Systembolaget ~5900 (årsredovisning);2024
Vilket märke har flest anställda?;Max Burgers ~6500 / Lindex ~4300 (årsredovisning);2024
Vilket märke har flest anställda?;Ingka Group årssammanfattning FY24 (IKEA ~166700) / Kicks ~1200;2024
Vilket märke har flest anställda?;Apoteket AB ~3500 / Clas Ohlson ~5000 (årsredovisning);2024
Vilket märke har flest anställda?;Mio (kedja, uppskattning ~1500) / McDonald's Corporation 10-K (~150000);2024
Vilket märke har störst omsättning? (2024);H&M Group å.r. 2024 (234,5 mdkr) / ICA Gruppen å.r. 2024 (157 mdkr);2024
Vilket märke har störst omsättning? (2024);Coop å.r. 2024 (~48 mdkr) / Axfood å.r. 2024 (84,1 mdkr);2024
Vilket märke har störst omsättning? (2024);Elgiganten å.r. 2023/24 (~15,5 mdkr) / Stadium å.r. (~7,5 mdkr);2024
Vilket märke har störst omsättning? (2024);Clas Ohlson å.r. (~11 mdkr) / H&M Group å.r. 2024 (234,5 mdkr);2024
Vilket märke har störst omsättning? (2024);Systembolaget bokslut 2024 (39,4 mdkr) / Mio (~3,9 mdkr);2024
Vilket märke är värt mest som varumärke? (2024);Interbrand Best Global Brands 2024 (H&M ~13,6 / IKEA ~24,3);2024
Vilket märke är värt mest som varumärke? (2024);Interbrand Best Global Brands 2024 (McDonald's 53,0 / H&M ~13,6);2024
Vilket märke har flest butiker?;McDonald's Corporation (~40000 restauranger) / Systembolaget (~450 butiker);2024
Vilket märke har flest butiker?;Willys/Axfood (~250 butiker) / Coop Sverige (~800 butiker);2024
Vilket märke har flest butiker?;Apoteket AB (391 apotek) / Lindex (~440 butiker, 17 marknader);2024
Vilket märke har flest butiker?;Rusta IR (~210 varuhus) / Jula (~147 varuhus);2024
