fråga;källa;år
Har en dvärgschnauzer längre eller kortare livslängd än en cocker spaniel?;Agria/AniCura livslängdsdata — dvärgschnauzer ~13-15 år, cocker spaniel ~12-14 år;2025
Har en fransk bulldogg längre eller kortare livslängd än en labrador?;Agria/AniCura — fransk bulldogg ~10-12 år, labrador ~12-14 år;2025
Har en jack russell-terrier längre eller kortare livslängd än en grand danois?;Agria/AniCura — jack russell ~13-16 år, grand danois ~7-10 år;2025
Har en pomeranian längre eller kortare livslängd än en bernhardshund?;Agria/AniCura — pomeranian ~12-16 år, bernhardshund ~8-10 år;2025
Har en border collie längre eller kortare livslängd än en irländsk varghund?;Agria/AniCura — border collie ~12-15 år, irländsk varghund ~6-8 år;2025
Har en mellanpudel längre eller kortare livslängd än en boxer?;Agria/AniCura — mellanpudel ~13-15 år, boxer ~10-12 år;2025
Har en engelsk mastiff längre eller kortare livslängd än en schipperke?;Agria/AniCura — engelsk mastiff ~7-10 år, schipperke ~13-15 år;2025
Har en berner sennenhund längre eller kortare livslängd än en dvärgpinscher?;Agria/AniCura — berner sennenhund ~7-9 år, dvärgpinscher ~13-15 år;2025
Har en bichon frisé längre eller kortare livslängd än en alaskan malamute?;Agria/AniCura — bichon frisé ~14-16 år, alaskan malamute ~10-12 år;2025
Har en springer spaniel längre eller kortare livslängd än en greyhound?;Agria/AniCura — engelsk springer spaniel ~13-14 år, greyhound ~10-13 år;2025
Har en welsh corgi längre eller kortare livslängd än en berner sennenhund?;Agria/AniCura — welsh corgi ~12-14 år, berner sennenhund ~7-9 år;2025
Har en irländsk röd setter längre eller kortare livslängd än en australian terrier?;Agria/AniCura — irländsk röd setter ~11-13 år, australian terrier ~13-15 år;2025
Har en lhasa apso längre eller kortare livslängd än en bordeauxdogg?;Agria/AniCura — lhasa apso ~13-15 år, bordeauxdogg (dogue de bordeaux) ~8-10 år;2025
Har en italiensk vinthund längre eller kortare livslängd än en anatolisk herdehund?;Agria/AniCura — italiensk vinthund ~13-15 år, anatolisk herdehund ~10-12 år;2025
Har en cairnterrier längre eller kortare livslängd än en dogue de bordeaux?;Agria/AniCura — cairnterrier ~13-15 år, dogue de bordeaux ~7-9 år;2025
Har en wachtelhund längre eller kortare livslängd än en irländsk varghund?;Agria/AniCura — tysk wachtelhund ~12-14 år, irländsk varghund ~6-8 år;2025
Har en norsk lundehund längre eller kortare livslängd än en bullmastiff?;Agria/AniCura — norsk lundehund ~11-13 år, bullmastiff ~8-10 år;2025
Har en affenpinscher längre eller kortare livslängd än en borzoi?;Agria/AniCura — affenpinscher ~13-15 år, borzoi ~10-12 år;2025
Har en skotsk terrier längre eller kortare livslängd än en bouvier des flandres?;Agria/AniCura — skotsk terrier ~12-14 år, bouvier des flandres ~10-12 år;2025
Har en norsk buhund längre eller kortare livslängd än en mastino napoletano?;Agria/AniCura — norsk buhund ~12-14 år, mastino napoletano ~7-9 år;2025
Har en dvärgtax längre eller kortare livslängd än en otterhound?;Agria/AniCura — dvärgtax ~13-15 år, otterhound ~10-12 år;2025
Har en schipperke längre eller kortare livslängd än en berner sennenhund?;Agria/AniCura — schipperke ~13-15 år, berner sennenhund ~7-9 år;2025
