fråga;källa;år
Har Frankrike fler eller färre invånare än Tyskland? (2024);Eurostat / Wikipedia (Demographics of France, Germany);2024
Har Japan fler eller färre invånare än Ryssland? (2024);Wikipedia (Demographics of Japan, Russia);2024
Är Sverige större eller mindre än Norge till ytan?;Wikipedia (Sweden, Norway — total area);2024
Har Sverige fler eller färre invånare än Norge? (2024);SCB / SSB (folkmängd);2024
Har Brasilien fler eller färre invånare än USA? (2024);Wikipedia (Demographics of Brazil, United States);2024
Har Egypten fler eller färre invånare än Tyskland? (2024);CAPMAS (Egypten ~107 mn) / Eurostat (Tyskland 83,4 mn);2024
Är Frankrike större eller mindre än Tyskland till ytan?;Wikipedia (France, Germany — total area);2024
Är Ryssland större eller mindre än Kina till ytan?;Wikipedia (Russia, China — total area);2024
Är USA större eller mindre än Ryssland till ytan?;Wikipedia (United States, Russia — total area);2024
Är Australien större eller mindre än Ryssland till ytan?;Wikipedia (Australia, Russia — total area);2024
Är floden Mississippi längre eller kortare än Donau?;Britannica (Mississippi River, Danube River);2024
Är floden Amazonas längre eller kortare än Mississippi?;Britannica (Amazon River, Mississippi River);2024
Är Mount Everest högre eller lägre än Mont Blanc?;Wikipedia (Mount Everest, Mont Blanc — elevation);2024
Har Kina fler eller färre invånare än USA? (2024);Wikipedia (Demographics of China, United States);2024
Är öknen Sahara större eller mindre än Medelhavet till ytan?;Wikipedia (Sahara, Mediterranean Sea — area);2024
Har Sverige fler eller färre invånare än Frankrike? (2024);SCB / Eurostat (folkmängd);2024
Har Frankrike fler eller färre invånare än USA? (2024);Wikipedia (Demographics of France, United States);2024
Har Tyskland fler eller färre invånare än Brasilien? (2024);Wikipedia (Demographics of Germany, Brazil);2024
Har Japan fler eller färre invånare än Brasilien? (2024);Wikipedia (Demographics of Japan, Brazil);2024
Är Indiska oceanen större eller mindre än Stilla havet till ytan?;Britannica (Indian Ocean, Pacific Ocean — area);2024
Är Norge större eller mindre än Egypten till ytan?;Wikipedia (Norway, Egypt — total area);2024
Har Norge fler eller färre invånare än Japan? (2024);SSB / Wikipedia (Demographics of Norway, Japan);2024
Är Medelhavet större eller mindre än Atlanten till ytan?;Britannica (Mediterranean Sea, Atlantic Ocean — area);2024
Är Östersjön större eller mindre än Medelhavet till ytan?;Britannica (Baltic Sea, Mediterranean Sea — area);2024
Har Brasilien fler eller färre invånare än Kina? (2024);Wikipedia (Demographics of Brazil, China);2024
Är Victoriafallen högre eller lägre än Niagarafallen?;Wikipedia (Victoria Falls, Niagara Falls — height);2024
Har Egypten fler eller färre invånare än Kina? (2024);CAPMAS (Egypten ~107 mn) / National Bureau of Statistics China (1,408 mdr);2024
Är öknen Sahara större eller mindre än Stilla havet till ytan?;Britannica / Wikipedia (Sahara, Pacific Ocean — area);2024
