fråga;källa;år
Vilket av märkena är äldst?;Wikipedia (Volvo grundat 1927, Scania 1891);2026
Vilket av märkena är äldst?;Wikipedia (Saab 1937, Polestar 2017);2026
Vilket av märkena är äldst?;Wikipedia (Stena Line 1962, SJ/Statens Järnvägar 1856);2026
Vilket av märkena är äldst?;Wikipedia (Koenigsegg 1994, Voi 2018);2026
Vilket av märkena är äldst?;Wikipedia (Polestar 2017, Mercedes-Benz 1926);2026
Vilket av märkena är äldst?;Wikipedia (Audi 1909, Porsche 1931);2026
Vilket av märkena är äldst?;Wikipedia (Einride 2016, BMW 1916);2026
Vilket av märkena är äldst?;Wikipedia (Nobina-varumärket 2009/rötter oklart, Volvo Trucks 1928) - FLAGGAD: Nobina 1952 ej belagd;2026
Vilket av märkena är äldst?;Wikipedia (Toyota 1937, Hyundai Motor 1967);2026
Vilket av märkena är äldst?;Wikipedia (SAS 1946, Voi 2018);2026
Vilket märke är värt mest som varumärke? (2024);Interbrand Best Global Brands 2024 (Toyota 72,8 / BMW 52 mdr USD);2024
Vilket märke är värt mest som varumärke? (2024);Interbrand Best Global Brands 2024 (Mercedes-Benz 58,9 / Tesla 45,5 mdr USD; Tesla -9%);2024
Vilket märke är värt mest som varumärke? (2024);Interbrand Best Global Brands 2024 (Hyundai 23 / Audi 17,3 mdr USD);2024
Vilket märke är värt mest som varumärke? (2024);Interbrand Best Global Brands 2024 (Hyundai 23 / Volkswagen ca 16 mdr USD, rank 49);2024
Vilket märke är värt mest som varumärke? (2024);Interbrand Best Global Brands 2024 (Tesla 45,5 / Audi 17,3 mdr USD);2024
Vilket märke är värt mest som varumärke? (2024);Interbrand Best Global Brands 2024 (BMW 52 / Volkswagen ca 16 mdr USD);2024
Vilket märke har störst börsvärde? (2024);Börsvärde dec 2024 (StatMuse: Tesla ~1,4 bn USD, Toyota ~246 mdr USD; SEK-omräknat);2024
Vilket märke har störst börsvärde? (2024);Börsvärde dec 2024 (AB Volvo ~520 mdr kr; Saab AB 535M aktier x ~225 kr = ~120 mdr kr);2024
Vilket märke har störst börsvärde? (2024);Börsvärde dec 2024 (Mercedes-Benz ~660 mdr kr > Porsche AG ~610 mdr kr; SEK-omräknat);2024
Vilket märke har störst börsvärde? (2024);Börsvärde dec 2024 (Porsche AG ~460 mdr kr > Saab AB ~120 mdr kr);2024
Vilket märke har störst börsvärde? (2024);Börsvärde dec 2024 (Tesla ~1,4 bn USD >> Ferrari ~76 mdr USD; SEK-omräknat);2024
Vilket märke har störst börsvärde? (2024);Börsvärde dec 2024 (Ferrari ~76 mdr USD/~810 mdr kr > AB Volvo ~520 mdr kr);2024
Vilket märke har flest anställda?;VW Annual Report 2024 (679 472) / Toyota 2024 (380 793);2024
Vilket märke har flest anställda?;BMW Group Report 2024 (159 104) / Scania (59 000);2024
Vilket märke har flest anställda?;Mercedes-Benz Group 2024 (175 264) / Hyundai Motor (~120 000);2024
Vilket märke har störst omsättning? (2024);Volvo Group årsredovisning 2024 (526,8 mdr kr) / Volvo Cars 2024 (400,2 mdr kr);2024
Vilket märke har störst omsättning? (2024);SAS årsredovisning FY2024 (45,9 mdr kr) / Volvo Cars 2024 (400,2 mdr kr);2024
Vilket märke har störst omsättning? (2024);SAS FY2024 (45,9 mdr kr) / Scania 2024 (216,1 mdr kr);2024
