fråga;källa;år
Vilket av märkena är äldst?;Kopparbergs grundat 1882 (sv.wikipedia.org/wiki/Kopparbergs_Bryggeri), Voi grundat 2018 (voi.com/voi-technology);2026
Vilket av märkena är äldst?;Handelsbanken grundat 1871 (en.wikipedia.org/wiki/Handelsbanken), Evolution grundat 2006 (en.wikipedia.org/wiki/Evolution_AB);2026
Vilket av märkena är äldst?;Hästens grundat 1852 (en.wikipedia.org/wiki/Hästens), Tesla grundat 2003 (companieshistory.com/tesla-motors);2026
Vilket av märkena är äldst?;Carlsberg grundat 1847 (en.wikipedia.org/wiki/Carlsberg_Group), Nvidia grundat 1993 (en.wikipedia.org/wiki/Nvidia);2026
Vilket av märkena är äldst?;Bahco grundat 1886 (en.wikipedia.org/wiki/Bahco), Acne Studios grundat 1996 (en.wikipedia.org/wiki/Acne_Studios);2026
Vilket av märkena är äldst?;Pepsi (namnet Pepsi-Cola) grundat 1898 (en.wikipedia.org/wiki/Pepsi), Dustin grundat 1984 (en.wikipedia.org/wiki/Dustin_AB);2026
Vilket av märkena är äldst?;Volkswagen grundat 1937 (en.wikipedia.org/wiki/Volkswagen), Hyundai grundat 1967 (en.wikipedia.org/wiki/Hyundai_Motor_Company);2026
Vilket av märkena är äldst?;BMW grundat 1916 (en.wikipedia.org/wiki/BMW), SAS grundat 1946 (en.wikipedia.org/wiki/Scandinavian_Airlines);2026
Vilket av märkena är äldst?;Porsche grundat 1931 (en.wikipedia.org/wiki/Porsche), Tetra Pak grundat 1951 (en.wikipedia.org/wiki/Tetra_Pak);2026
Vilket av märkena är äldst?;Marabou grundat 1916 (en.wikipedia.org/wiki/Marabou_(chocolate)), Felix (varumärket) grundat 1939 (en.wikipedia.org/wiki/AB_Felix);2026
Vilket av märkena är äldst?;Disney grundat 1923 (en.wikipedia.org/wiki/The_Walt_Disney_Company), Mercedes-Benz grundat 1926 (en.wikipedia.org/wiki/Mercedes-Benz);2026
Vilket av märkena är äldst?;Gevalia grundat 1853 (en.wikipedia.org/wiki/Gevalia), Absolut Vodka grundat 1879 (en.wikipedia.org/wiki/Absolut_Vodka);2026
