fråga;källa;år
Vilket av märkena är äldst?;Beijer Electronics 1981 (en.wikipedia.org/wiki/Beijer_Electronics); Vitec 1985 (vitecsoftware.com/en/about-vitec);2026
Vilket av märkena är äldst?;Quinyx 2005 (quinyx.com/about); OX2 2004 (ox2.com/about-ox2/this-is-ox2/history);2026
Vilket av märkena är äldst?;Detectify 2013 (en sv.wikipedia.org/wiki + tracxn; eget bolag grundat 2013); Truecaller 2009 (en.wikipedia.org/wiki/Truecaller);2026
Vilket av märkena är äldst?;Nobia 1996 (nobia.com/about-us/history); Semcon 1980 (en.wikipedia.org/wiki/Semcon);2026
Vilket av märkena är äldst?;Beijer Electronics 1981 (en.wikipedia.org/wiki/Beijer_Electronics); Catena 1967 (catena.se/en/about-us);2026
Vilket av märkena är äldst?;Vitec 1985 (vitecsoftware.com/en/about-vitec); Catella 1961 (catella.com);2026
Vilket av märkena är äldst?;Image Systems 1983 (sv.wikipedia.org/wiki/Image_Systems); Munters 1955 (munters.com/en-us/about-us/munters-history);2026
Vilket av märkena är äldst?;Semcon 1980 (en.wikipedia.org/wiki/Semcon); VBG Group 1951 (vbggroup.com/en/about-us);2026
Vilket av märkena är äldst?;Inission 1973 (pitchbook.com/profiles/company/107596-72; FABEC grundat 1973); Hankook 1941 (en.wikipedia.org/wiki/Hankook);2026
Vilket av märkena är äldst?;Catella 1961 (catella.com); Trelleborg 1905 (en.wikipedia.org/wiki/Trelleborg_(company));2026
Vilket av märkena är äldst?;Lime Technologies 1990 (lime-technologies.com; Lundalogik grundat 1990); Mekonomen 1973 (meko.com/about-us/history);2026
Vilket av märkena är äldst?;Volvo Penta 1907 (en.wikipedia.org/wiki/Volvo_Penta); Image Systems 1983 (sv.wikipedia.org/wiki/Image_Systems);2026
Vilket av märkena är äldst?;Karnov Group 1867 (karnovgroup.com/en/our-history); Nobina 1990 (en.wikipedia.org/wiki/Nobina; Swebus AB bildat 1990);2026
Vilket av märkena är äldst?;Bilia 1929 (bilia.com/en/about-us/history); Quinyx 2005 (quinyx.com/about);2026
Vilket av märkena är äldst?;Xerox 1906 (en.wikipedia.org/wiki/Xerox; Haloid grundat 1906); OX2 2004 (ox2.com/about-ox2/this-is-ox2/history);2026
Vilket av märkena är äldst?;Trelleborg 1905 (en.wikipedia.org/wiki/Trelleborg_(company)); Lime Technologies 1990 (lime-technologies.com);2026
Vilket av märkena är äldst?;Brother 1908 (en.wikipedia.org/wiki/Brother_Industries); Coor 1998 (coor.com/about-coor/history);2026
Vilket av märkena är äldst?;ZF 1915 (en.wikipedia.org/wiki/ZF_Friedrichshafen); Coor 1998 (coor.com/about-coor/history);2026
Vilket av märkena är äldst?;Makita 1915 (en.wikipedia.org/wiki/Makita); Nobia 1996 (nobia.com/about-us/history);2026
Vilket av märkena är äldst?;Carnegie 1803 (en.wikipedia.org/wiki/Carnegie_Investment_Bank); Truecaller 2009 (en.wikipedia.org/wiki/Truecaller);2026
Vilket av märkena är äldst?;Höganäs 1797 (en.wikipedia.org/wiki/Höganäs_AB); Detectify 2013 (sv.wikipedia.org/wiki/Detectify);2026
Vilket av märkena är äldst?;Doosan 1896 (en.wikipedia.org/wiki/Doosan_Group); Oneflow 2012 (oneflow.com/blog/the-history-of-oneflow);2026
Vilket av märkena är äldst?;Höganäs 1797 (en.wikipedia.org/wiki/Höganäs_AB); Oneflow 2012 (oneflow.com/blog/the-history-of-oneflow);2026
