fråga;källa;år
Var Diplodocus längre eller kortare än Carnotaurus?;https://en.wikipedia.org/wiki/Carnotaurus;2025
Var Stegosaurus längre eller kortare än Brachiosaurus?;https://en.wikipedia.org/wiki/Brachiosaurus;2025
Var Spinosaurus längre eller kortare än Gallimimus?;https://en.wikipedia.org/wiki/Gallimimus;2025
Var T. rex längre eller kortare än Argentinosaurus?;https://en.wikipedia.org/wiki/Argentinosaurus;2025
Var Argentinosaurus längre eller kortare än Triceratops?;https://en.wikipedia.org/wiki/Argentinosaurus;2025
Var Iguanodon längre eller kortare än Brontosaurus?;https://en.wikipedia.org/wiki/Brontosaurus;2025
Var Allosaurus längre eller kortare än Diplodocus?;https://en.wikipedia.org/wiki/Allosaurus;2025
Var Dilophosaurus längre eller kortare än Ankylosaurus?;https://en.wikipedia.org/wiki/Dilophosaurus;2025
Var Parasaurolophus längre eller kortare än Allosaurus?;https://en.wikipedia.org/wiki/Parasaurolophus;2025
Var Brachiosaurus högre eller lägre än Stegosaurus?;https://en.wikipedia.org/wiki/Brachiosaurus;2025
Var Triceratops högre eller lägre än Brachiosaurus?;https://en.wikipedia.org/wiki/Triceratops;2025
Vägde Brachiosaurus mer eller mindre än Carnotaurus?;https://en.wikipedia.org/wiki/Carnotaurus;2025
Vägde Pteranodon mer eller mindre än Stegosaurus?;https://en.wikipedia.org/wiki/Pteranodon;2025
Vägde T. rex mer eller mindre än Velociraptor?;https://en.wikipedia.org/wiki/Tyrannosaurus;2025
Vägde Triceratops mer eller mindre än Diplodocus?;https://en.wikipedia.org/wiki/Triceratops;2025
Vägde Ankylosaurus mer eller mindre än Gallimimus?;https://en.wikipedia.org/wiki/Gallimimus;2025
Vägde Stegosaurus mer eller mindre än Spinosaurus?;https://en.wikipedia.org/wiki/Spinosaurus;2025
Vägde Brontosaurus mer eller mindre än Pteranodon?;https://en.wikipedia.org/wiki/Brontosaurus;2025
Vägde Iguanodon mer eller mindre än Argentinosaurus?;https://en.wikipedia.org/wiki/Argentinosaurus;2025
Sprang Velociraptor fortare eller långsammare än T. rex?;https://en.wikipedia.org/wiki/Velociraptor;2025
Sprang Dilophosaurus fortare eller långsammare än Gallimimus?;https://en.wikipedia.org/wiki/Gallimimus;2026
Simmade Mosasaurus fortare eller långsammare än Spinosaurus sprang?;https://www.nhm.ac.uk/discover/what-is-a-mosasaur.html;2026
Hade T. rex längre eller kortare tänder än Velociraptor hade klor?;https://en.wikipedia.org/wiki/Tyrannosaurus;2025
Hade Triceratops längre eller kortare horn än Velociraptor hade klor?;https://en.wikipedia.org/wiki/Triceratops;2025
Var Mosasaurus längre eller kortare än Spinosaurus?;https://en.wikipedia.org/wiki/Mosasaurus;2025
