fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga;källa
Vilket av märkena är äldst?;Åhléns;Stadium;127;39;år;Hur många år skiljer dem åt?;Wikipedia/Åhléns Group (Åhléns 1899, Stadium 1987)
Vilket av märkena är äldst?;Lindex;Gina Tricot;72;29;år;Hur många år skiljer dem åt?;Wikipedia/Lindex Group (Lindex 1954, Gina Tricot 1997)
Vilket av märkena är äldst?;KappAhl;Mio;73;64;år;Hur många år skiljer dem åt?;Kappahl.com/Mio.se historia (KappAhl 1953, Mio 1962)
Vilket av märkena är äldst?;Hemköp;Willys;68;51;år;Hur många år skiljer dem åt?;Axfood/Hemköp historik (Hemköp 1958, Willys-ursprung 1975)
Vilket av märkena är äldst?;Clas Ohlson;Elgiganten;108;32;år;Hur många år skiljer dem åt?;Wikipedia/about.clasohlson.com (Clas Ohlson 1918, Elgiganten 1994)
Vilket av märkena är äldst?;Max Burgers;Apoteket;58;56;år;Hur många år skiljer dem åt?;Wikipedia/apoteket.se (Max Burgers 1968, Apoteket/Apoteksbolaget 1970)
Vilket av märkena är äldst?;Kicks;Coop;35;127;år;Hur många år skiljer dem åt?;Wikipedia/sv (Kicks 1991, KF/Coop 1899)
Vilket av märkena är äldst?;City Gross;ICA;33;88;år;Hur många år skiljer dem åt?;Wikipedia/ICA-historien (City Gross 1993, ICA 1938)
Vilket av märkena är äldst?;Axfood;Coop;26;127;år;Hur många år skiljer dem åt?;Wikipedia/Axfood (Axfood 2000, KF/Coop 1899)
Vilket märke har flest anställda?;Dustin;Stadium;2300;3000;anställda;Hur många anställda skiljer det?;Dustin Group ~2300 / Stadium-koncernen ~3000 (årsredovisning)
Vilket märke har flest anställda?;Stadium;Systembolaget;3000;5900;anställda;Hur många anställda skiljer det?;Stadium-koncernen ~3000 / Systembolaget ~5900 (årsredovisning)
Vilket märke har flest anställda?;Max Burgers;Lindex;6500;4300;anställda;Hur många anställda skiljer det?;Max Burgers ~6500 / Lindex ~4300 (årsredovisning)
Vilket märke har flest anställda?;IKEA;Kicks;166000;1200;anställda;Hur många anställda skiljer det?;Ingka Group årssammanfattning FY24 (IKEA ~166700) / Kicks ~1200
Vilket märke har flest anställda?;Apoteket;Clas Ohlson;3500;5000;anställda;Hur många anställda skiljer det?;Apoteket AB ~3500 / Clas Ohlson ~5000 (årsredovisning)
Vilket märke har flest anställda?;Mio;McDonald's;1500;150000;anställda;Hur många anställda skiljer det?;Mio (kedja, uppskattning ~1500) / McDonald's Corporation 10-K (~150000)
Vilket märke har störst omsättning? (2024);H&M;ICA;234,5;157,2;miljarder kr;Hur många miljarder kronor skiljer det?;H&M Group å.r. 2024 (234,5 mdkr) / ICA Gruppen å.r. 2024 (157 mdkr)
Vilket märke har störst omsättning? (2024);Coop;Axfood;48;84,1;miljarder kr;Hur många miljarder kronor skiljer det?;Coop å.r. 2024 (~48 mdkr) / Axfood å.r. 2024 (84,1 mdkr)
Vilket märke har störst omsättning? (2024);Elgiganten;Stadium;15,5;7,5;miljarder kr;Hur många miljarder kronor skiljer det?;Elgiganten å.r. 2023/24 (~15,5 mdkr) / Stadium å.r. (~7,5 mdkr)
Vilket märke har störst omsättning? (2024);Clas Ohlson;H&M;11;234,5;miljarder kr;Hur många miljarder kronor skiljer det?;Clas Ohlson å.r. (~11 mdkr) / H&M Group å.r. 2024 (234,5 mdkr)
Vilket märke har störst omsättning? (2024);Systembolaget;Mio;39,4;3,9;miljarder kr;Hur många miljarder kronor skiljer det?;Systembolaget bokslut 2024 (39,4 mdkr) / Mio (~3,9 mdkr)
Vilket märke är värt mest som varumärke? (2024);H&M;IKEA;13,6;24,3;miljarder USD;Hur många miljarder dollar skiljer det?;Interbrand Best Global Brands 2024 (H&M ~13,6 / IKEA ~24,3)
Vilket märke är värt mest som varumärke? (2024);McDonald's;H&M;53,0;13,6;miljarder USD;Hur många miljarder dollar skiljer det?;Interbrand Best Global Brands 2024 (McDonald's 53,0 / H&M ~13,6)
Vilket märke har flest butiker?;McDonald's;Systembolaget;40000;450;butiker;Hur många butiker skiljer det?;McDonald's Corporation (~40000 restauranger) / Systembolaget (~450 butiker)
Vilket märke har flest butiker?;Willys;Coop;250;800;butiker;Hur många butiker skiljer det?;Willys/Axfood (~250 butiker) / Coop Sverige (~800 butiker)
Vilket märke har flest butiker?;Apoteket;Lindex;390;440;butiker;Hur många butiker skiljer det?;Apoteket AB (391 apotek) / Lindex (~440 butiker, 17 marknader)
Vilket märke har flest butiker?;Rusta;Jula;210;150;butiker;Hur många butiker skiljer det?;Rusta IR (~210 varuhus) / Jula (~147 varuhus)
