fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har en hel prinsesstårta fler eller färre kalorier än en pepparkaka?;Hel prinsesstårta;Pepparkaka;3500;35;kalorier;Hur många kalorier skiljer det?
Väger en burk surströmming mer eller mindre än en köttbulle?;Burk surströmming;Köttbulle;300;20;gram;Hur många gram skiljer det?
Innehåller en snaps mer eller mindre alkohol än ett lättöl?;Snaps;Lättöl;40;2,1;volymprocent;Hur många procentenheter skiljer det?
Kostar en burk surströmming mer eller mindre än en falukorv?;Burk surströmming;Falukorv;90;35;kronor;Hur många kronor skiljer det?
Har kladdkaka fler eller färre kalorier än filmjölk per 100 gram?;Kladdkaka;Filmjölk;400;56;kalorier per 100 gram;Hur många kalorier per 100 gram skiljer det?
Kostar gravlax mer eller mindre än sill per kilo?;Gravlax;Sill;320;80;kronor per kilo;Hur många kronor per kilo skiljer det?
Innehåller glögg mer eller mindre alkohol än ett julöl?;Glögg;Julöl;10;3,5;volymprocent;Hur många procentenheter skiljer det?
Tar kalops längre eller kortare tid att tillaga än raggmunk?;Kalops;Raggmunk;120;20;minuter;Hur många minuter skiljer det?
Ger en hel ostkaka fler eller färre portioner än en chokladboll?;Hel ostkaka;Chokladboll;8;1;portioner;Hur många portioner skiljer det?
Väger en lussekatt mer eller mindre än en pepparkaka?;Lussekatt;Pepparkaka;60;10;gram;Hur många gram skiljer det?
Väger en hel falukorv mer eller mindre än en köttbulle?;Hel falukorv;Köttbulle;800;20;gram;Hur många gram skiljer det?
Kostar en flaska glögg mer eller mindre än en flaska julmust?;Flaska glögg;Flaska julmust;60;20;kronor;Hur många kronor skiljer det?
Innehåller filmjölk mer eller mindre fett än grädde per 100 gram?;Filmjölk;Grädde;3;36;gram;Hur många gram fett skiljer det?
Innehåller ett lättöl mer eller mindre alkohol än glögg?;Lättöl;Glögg;2,1;10;volymprocent;Hur många procentenheter skiljer det?
Har risgrynsgröt fler eller färre kalorier än kladdkaka per 100 gram?;Risgrynsgröt;Kladdkaka;90;400;kalorier per 100 gram;Hur många kalorier per 100 gram skiljer det?
Kostar en sillbit mer eller mindre än en burk Kalles kaviar?;Sillbit;Kalles kaviar;10;40;kronor;Hur många kronor skiljer det?
Väger en chokladboll mer eller mindre än en hel prinsesstårta?;Chokladboll;Hel prinsesstårta;30;1200;gram;Hur många gram skiljer det?
Väger en sillbit mer eller mindre än en portion ärtsoppa?;Sillbit;Portion ärtsoppa;30;400;gram;Hur många gram skiljer det?
