fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Registrerades det fler eller färre labrador retriever än golden retriever hos SKK 2023?;Labrador retriever;Golden retriever;2939;1682;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre shetland sheepdog än jämthund hos SKK 2023?;Shetland sheepdog;Jämthund;860;1243;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre fransk bulldogg än australian shepherd hos SKK 2023?;Fransk bulldogg;Australian shepherd;667;602;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre rhodesian ridgeback än tysk schäferhund hos SKK 2023?;Rhodesian ridgeback;Tysk schäferhund;350;1543;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre nova scotia duck tolling retriever än jämthund hos SKK 2023?;Nova scotia duck tolling retriever;Jämthund;260;1243;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre drever än labrador retriever hos SKK 2023?;Drever;Labrador retriever;594;2939;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre finsk spets än golden retriever hos SKK 2023?;Finsk spets;Golden retriever;120;1682;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre barbet än papillon hos SKK 2023?;Barbet;Papillon;40;350;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre affenpinscher än dalmatiner hos SKK 2023?;Affenpinscher;Dalmatiner;15;200;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre cavalier king charles spaniel än bichon havanais hos SKK 2023?;Cavalier king charles spaniel;Bichon havanais;600;850;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre staffordshire bullterrier än perro de presa canario hos SKK 2023?;Staffordshire bullterrier;Perro de presa canario;700;90;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre flatcoated retriever än finsk lapphund hos SKK 2023?;Flatcoated retriever;Finsk lapphund;649;691;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre hälleforshund än tysk jaktterrier hos SKK 2023?;Hälleforshund;Tysk jaktterrier;55;310;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre berger picard än borzoi hos SKK 2023?;Berger picard;Borzoi;5;150;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre otterhound än bichon bolognese hos SKK 2023?;Otterhound;Bichon bolognese;0;40;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre glen of imaal terrier än tysk pinscher hos SKK 2023?;Glen of imaal terrier;Tysk pinscher;5;100;registreringar/år;Hur många registreringar skiljer det?
