fråga;källa;år
Är hundrasen saluki en äldre eller yngre ras än hundrasen cane corso (räknat sedan rasen erkändes)?;Saluki: brittiska Kennel Club erkände rasen 1923 (FCI 1966). Cane corso: FCI fullt erkänd 2007 (Wikipedia/FCI std 343);Saluki 1923; Cane corso 2007
Är hundrasen lagotto romagnolo en äldre eller yngre ras än hundrasen afghanhund (räknat sedan rasen erkändes)?;Lagotto romagnolo: FCI erkänd 1995 (Wikipedia/FCI std 298). Afghanhund: FCI erkänd 1961 (FCI std 228);Lagotto romagnolo 1995; Afghanhund 1961
Är hundrasen pekingese en äldre eller yngre ras än hundrasen cesky terrier (räknat sedan rasen erkändes)?;Pekingese: första rasstandard fastställd i England 1898 (Pekingese Club of America/Kennel Club). Cesky terrier: FCI erkänd 1963 (FCI std 246);Pekingese 1898; Cesky terrier 1963
Är hundrasen dobermann en äldre eller yngre ras än hundrasen pharaohhund (räknat sedan rasen erkändes)?;Dobermann: första rasstandard 1900 (klubb grundad 1899, DPCA/Wikipedia). Pharaohhund: FCI definitivt erkänd 8.9.1963 (FCI std 248);Dobermann 1900; Pharaohhund 1963
Är hundrasen bernhardshund en äldre eller yngre ras än hundrasen dalmatiner (räknat sedan rasen erkändes)?;Bernhardshund: rasstandard fastställd vid internationella kynologkongressen 1887 (Wikipedia). Dalmatiner: officiell rasstandard 1890 (första Dalmatiner Club, England);Bernhardshund 1887; Dalmatiner 1890
Är hundrasen boxer en äldre eller yngre ras än hundrasen weimaraner (räknat sedan rasen erkändes)?;Boxer: Deutscher Boxer Club och första rasstandard 1895 (Wikipedia/American Boxer Club). Weimaraner: rasstandard fastställd 1896 (Wikipedia);Boxer 1895; Weimaraner 1896
Är hundrasen bullmastiff en äldre eller yngre ras än hundrasen rhodesian ridgeback (räknat sedan rasen erkändes)?;Bullmastiff: brittiska Kennel Club erkände rasen 1924 (Wikipedia). Rhodesian ridgeback: ursprunglig rasstandard 1922 (F.R. Barnes, Bulawayo);Bullmastiff 1924; Rhodesian ridgeback 1922
Är hundrasen akita en äldre eller yngre ras än hundrasen dogo argentino (räknat sedan rasen erkändes)?;Akita: utsedd till japanskt naturminne (rasstatus) 1931 (Wikipedia/Britannica). Dogo argentino: rasstandard av Antonio Nores Martinez 1928 (Wikipedia);Akita 1931; Dogo argentino 1928
Är hundrasen leonberger en äldre eller yngre ras än hundrasen rottweiler (räknat sedan rasen erkändes)?;Leonberger: första rasklubb och rasstandard (Albert Kull) 1891 (Wikipedia). Rottweiler: första rasstandard 1901 (Internationaler Club, Wikipedia);Leonberger 1891; Rottweiler 1901
Är hundrasen staffordshire bullterrier en äldre eller yngre ras än hundrasen bullterrier (räknat sedan rasen erkändes)?;Staffordshire bullterrier: brittiska Kennel Club erkände rasen maj 1935 (Wikipedia). Bullterrier: första officiella rasstandard 1888 (rasklubb grundad 1887, Wikipedia);Staffordshire bullterrier 1935; Bullterrier 1888
Är hundrasen whippet en äldre eller yngre ras än hundrasen cesky terrier (räknat sedan rasen erkändes)?;Whippet: brittiska Kennel Club erkände rasen 1891 (Wikipedia). Cesky terrier: FCI erkänd 1963 (FCI std 246);Whippet 1891; Cesky terrier 1963
Är hundrasen eurasier en äldre eller yngre ras än hundrasen rottweiler (räknat sedan rasen erkändes)?;Eurasier: VDH/FCI erkänd 1973 (Wikipedia/US Eurasier Club). Rottweiler: första rasstandard 1901 (Wikipedia);Eurasier 1973; Rottweiler 1901
Är hundrasen staffordshire bullterrier en äldre eller yngre ras än hundrasen shar pei (räknat sedan rasen erkändes)?;Staffordshire bullterrier: Kennel Club 1935. Shar pei: FCI definitivt erkänd 30.6.1981 (Wikipedia/FCI std 309);Staffordshire bullterrier 1935; Shar pei 1981
Är hundrasen svart terrier en äldre eller yngre ras än hundrasen dogo argentino (räknat sedan rasen erkändes)?;Svart terrier (black russian terrier): FCI erkänd 1984 (Wikipedia). Dogo argentino: rasstandard 1928 (Wikipedia);Svart terrier 1984; Dogo argentino 1928
Är hundrasen bullmastiff en äldre eller yngre ras än hundrasen shar pei (räknat sedan rasen erkändes)?;Bullmastiff: Kennel Club 1924. Shar pei: FCI erkänd 1981 (FCI std 309);Bullmastiff 1924; Shar pei 1981
Är hundrasen jack russell-terrier en äldre eller yngre ras än hundrasen nova scotia duck tolling retriever (räknat sedan rasen erkändes)?;Jack russell-terrier: FCI erkänd 25.10.2000 (Wikipedia/FCI std 345). Nova scotia duck tolling retriever: kanadensiska Canadian Kennel Club erkände rasen 1945 (Wikipedia);Jack russell-terrier 2000; Nova scotia duck tolling retriever 1945
