fråga;källa;år
Har Anders Svensson fler eller färre A-landskamper för Sverige än Pontus Wernbloom?;RSSSF Sweden - Record International Players (Anders Svensson 148, Pontus Wernbloom 51);2025
Har Anders Svensson fler eller färre A-landskamper för Sverige än Andreas Granqvist?;RSSSF Sweden - Record International Players (Anders Svensson 148, Andreas Granqvist 88);2025
Har Andreas Isaksson fler eller färre A-landskamper för Sverige än Andreas Granqvist?;RSSSF Sweden - Record International Players (Andreas Isaksson 133, Andreas Granqvist 88);2025
Har Kim Källström fler eller färre A-landskamper för Sverige än Pontus Wernbloom?;RSSSF Sweden - Record International Players (Kim Källström 131, Pontus Wernbloom 51);2025
Har Sebastian Larsson fler eller färre A-landskamper för Sverige än Olof Mellberg?;RSSSF Sweden - Record International Players (Sebastian Larsson 133, Olof Mellberg 117);2025
Har Roland Nilsson fler eller färre A-landskamper för Sverige än Niclas Alexandersson?;RSSSF Sweden - Record International Players (Roland Nilsson 116, Niclas Alexandersson 109);2025
Har Patrik Andersson fler eller färre A-landskamper för Sverige än Zlatan Ibrahimović?;RSSSF Sweden - Record International Players (Patrik Andersson 96, Zlatan Ibrahimović 122);2025
Har Thomas Ravelli fler eller färre A-landskamper för Sverige än Pontus Wernbloom?;RSSSF Sweden - Record International Players (Thomas Ravelli 143, Pontus Wernbloom 51);2025
Har Mikael Lustig fler eller färre A-landskamper för Sverige än Anders Svensson?;RSSSF Sweden - Record International Players (Mikael Lustig 94, Anders Svensson 148);2025
Har Henrik Larsson gjort fler eller färre A-landslagsmål för Sverige än Zlatan Ibrahimović?;RSSSF Sweden - Record International Players + Wikipedia (Henrik Larsson 37, Zlatan Ibrahimović 62);2025
Har Tomas Brolin gjort fler eller färre A-landslagsmål för Sverige än Sven Rydell?;Wikipedia + RSSSF (Tomas Brolin 27, Sven Rydell 49);2025
Har Gunnar Nordahl gjort fler eller färre A-landslagsmål för Sverige än Emil Forsberg?;RSSSF Sweden - Record International Players (Gunnar Nordahl 43, Emil Forsberg 21);2025
Har Kennet Andersson gjort fler eller färre A-landslagsmål för Sverige än Sven Rydell?;RSSSF + Wikipedia (Kennet Andersson 31, Sven Rydell 49);2025
Har Johan Elmander gjort fler eller färre A-landslagsmål för Sverige än Zlatan Ibrahimović?;RSSSF Sweden - Record International Players (Johan Elmander 20, Zlatan Ibrahimović 62);2025
Har Marcus Allbäck gjort fler eller färre A-landslagsmål för Sverige än Gunnar Nordahl?;Wikipedia (Marcus Allbäck 30, Gunnar Nordahl 43);2025
Har Tomas Brolin gjort fler eller färre A-landslagsmål för Sverige än Kennet Andersson?;Wikipedia (Tomas Brolin 27, Kennet Andersson 31);2025
Har Emil Forsberg gjort fler eller färre A-landslagsmål för Sverige än Henrik Larsson?;RSSSF Sweden - Record International Players (Emil Forsberg 21, Henrik Larsson 37);2025
Är IFK Värnamo en äldre eller yngre klubb än FC Stockholm Internazionale? (2026);Wikipedia klubbartiklar (IFK Värnamo grundad 1912, FC Stockholm Internazionale grundad 2010);2026
Är Dalkurd FF en äldre eller yngre klubb än Örgryte IS? (2026);Wikipedia klubbartiklar (Dalkurd FF grundad 2004, Örgryte IS grundad 1887);2026
Är AFC Eskilstuna en äldre eller yngre klubb än GIF Sundsvall? (2026);Wikipedia klubbartiklar (AFC Eskilstuna grundad 2007, GIF Sundsvall grundad 1903);2026
Är FC Stockholm Internazionale en äldre eller yngre klubb än Landskrona BoIS? (2026);Wikipedia klubbartiklar (FC Stockholm Internazionale grundad 2010, Landskrona BoIS grundad 1915);2026
Är Dalkurd FF en äldre eller yngre klubb än IK Sirius? (2026);Wikipedia klubbartiklar (Dalkurd FF grundad 2004, IK Sirius grundad 1907);2026
Är Örgryte IS en äldre eller yngre klubb än Syrianska FC? (2026);Wikipedia klubbartiklar (Örgryte IS grundad 1887, Syrianska FC grundad 1977);2026
Är GIF Sundsvall en äldre eller yngre klubb än Assyriska FF? (2026);Wikipedia klubbartiklar (GIF Sundsvall grundad 1903, Assyriska FF grundad 1974);2026
Är IK Sirius en äldre eller yngre klubb än Vasalunds IF? (2026);Wikipedia klubbartiklar (IK Sirius grundad 1907, Vasalunds IF grundad 1934);2026
Är Landskrona BoIS en äldre eller yngre klubb än Utsiktens BK? (2026);Wikipedia klubbartiklar (Landskrona BoIS grundad 1915, Utsiktens BK grundad 1935);2026
Är AFC Eskilstuna en äldre eller yngre klubb än IFK Värnamo? (2026);Wikipedia klubbartiklar (AFC Eskilstuna grundad 2007, IFK Värnamo grundad 1912);2026
