fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har en basenji högre eller lägre andel höftledsdysplasi än en norsk älghund?;Basenji;Norsk älghund;3;20;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en grosser schweizer sennenhund högre eller lägre andel höftledsdysplasi än en manchesterterrier?;Grosser schweizer sennenhund;Manchesterterrier;20;1,4;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en finsk spets högre eller lägre andel höftledsdysplasi än en old english sheepdog?;Finsk spets;Old english sheepdog;6;19;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en welsh springer spaniel högre eller lägre andel höftledsdysplasi än en keeshond?;Welsh springer spaniel;Keeshond;12;6;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en hamiltonstövare längre eller kortare livslängd än en norrbottenspets?;Hamiltonstövare;Norrbottenspets;13;14;år;Hur många år skiljer det i livslängd?
Har en tosa inu längre eller kortare livslängd än en kromfohrländer?;Tosa inu;Kromfohrländer;11;14;år;Hur många år skiljer det i livslängd?
Springer en scottish deerhound snabbare eller långsammare än en galgo español?;Scottish deerhound;Galgo español;45;64;km/h;Hur många km/h skiljer det i toppfart?
Har en dogue de bordeaux högre eller lägre andel höftledsdysplasi än en australian cattle dog?;Dogue de bordeaux;Australian cattle dog;57;16;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en mops högre eller lägre andel höftledsdysplasi än en whippet?;Mops;Whippet;71,7;1,4;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en sibirisk husky högre eller lägre andel höftledsdysplasi än en engelsk bulldogg?;Sibirisk husky;Engelsk bulldogg;2;70,1;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en flatcoated retriever högre eller lägre andel höftledsdysplasi än en clumber spaniel?;Flatcoated retriever;Clumber spaniel;3;44,8;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en otterhound högre eller lägre andel höftledsdysplasi än en standardpudel?;Otterhound;Standardpudel;47,2;12,2;%;Hur många procentenheter skiljer det i höftledsdysplasi?
