fråga;källa;år
Är Merkurius större eller mindre i diameter än Jorden?;NASA Planetary Fact Sheet (Merkurius 4 879 km, Jorden 12 742 km medeldiameter);2024
Är Neptunus större eller mindre i diameter än Jupiter?;NASA Planetary Fact Sheet (Neptunus 49 528 km, Jupiter 142 984 km);2024
Är Jupiter större eller mindre i diameter än Uranus?;NASA Planetary Fact Sheet (Jupiter 142 984 km, Uranus 51 118 km);2024
Ligger Merkurius längre bort eller närmare Solen än Mars?;NASA Planetary Fact Sheet (Merkurius 57,9 milj km ≈ 58, Mars 228 milj km medelavstånd);2024
Ligger Mars längre bort eller närmare Solen än Saturnus?;NASA Planetary Fact Sheet (Mars 228 milj km, Saturnus 1 432 milj km medelavstånd);2024
Tar ett år längre eller kortare tid på Venus än på Mars?;NASA Planetary Fact Sheet (Venus 225 dygn, Mars 687 dygn omloppstid);2024
Ligger Neptunus längre bort eller närmare Solen än Saturnus?;NASA Planetary Fact Sheet (Neptunus 4 515 milj km, Saturnus 1 432 milj km medelavstånd);2024
Är dvärgplaneten Pluto större eller mindre i diameter än Jorden?;NASA Planetary Fact Sheet (Pluto 2 377 km, Jorden 12 742 km);2024
Tar ett år längre eller kortare tid på Venus än på Merkurius?;NASA Planetary Fact Sheet (Venus 225 dygn, Merkurius 88 dygn);2024
Har Uranus fler eller färre månar än Neptunus?;IAU Minor Planet Center / NASA (Uranus 28, Neptunus 16 kända månar feb 2024);2024
Är Månen större eller mindre i diameter än dvärgplaneten Pluto?;NASA (Månen 3 475 km, Pluto 2 377 km);2024
Ligger Uranus längre bort eller närmare Solen än dvärgplaneten Pluto?;NASA Planetary Fact Sheet (Uranus 2 867 milj km, Pluto 5 906 milj km medelavstånd);2024
Är Saturnus större eller mindre i diameter än Neptunus?;NASA Planetary Fact Sheet (Saturnus 120 536 km, Neptunus 49 528 km);2024
Är Merkurius större eller mindre i diameter än Mars?;NASA Planetary Fact Sheet (Merkurius 4 879 km, Mars 6 779 km);2024
Är Solen större eller mindre i diameter än Jupiter?;NASA (Solen ~1 392 000 km, Jupiter 142 984 km);2024
Är det varmare eller kallare på Venus än på Solens yta?;NASA (Venus 464 °C medeltemp; Solens fotosfär ~5 500 °C);2024
Har Saturnus fler eller färre månar än Jorden?;IAU Minor Planet Center / NASA (Saturnus 274 kända månar maj 2026, Jorden 1);2026
Har Månen fler eller färre månar än Jupiter?;IAU Minor Planet Center / NASA (Månen 0, Jupiter 97 kända månar mars 2026);2026
Tar ett dygn längre eller kortare tid på Venus än på Jorden?;NASA Planetary Fact Sheet (Venus 243 dygn, Jorden 1 dygn rotationstid);2024
Flyger Rymdstationen ISS snabbare eller långsammare än ett passagerarflygplan?;NASA (ISS ~28 000 km/h banhastighet; jetplan marschfart ~900 km/h);2024
