fråga;källa;år
Har Daim fler eller färre kalorier än julmust per 100 gram?;ICA / fatsecret.se (Marabou Daim) + Apotekarnes/Carlsberg Julmust näringsvärde;2024
Har plättar fler eller färre kalorier än våfflor per 100 gram?;arono.se / kalori.se (våffla, plättar/pannkaka);2022
Har falukorv fler eller färre kalorier än isterband per 100 gram?;kalori.se / fatsecret.se (Scan Falukorv, isterband);2024
Har Ahlgrens bilar fler eller färre kalorier än pepparkakor per 100 gram?;fatsecret.se (Ahlgrens Bilar) + kalori.se (pepparkaka);2024
Ger en smörgåstårta fler eller färre portioner än en äggakaka?;Pågen / ICA receptportioner (smörgåstårta ~200-250 g/portion);2024
Har messmör fler eller färre kalorier än filmjölk per 100 gram?;kalori.se (messmör 5%, filmjölk 3%);2024
Väger en våffla mer eller mindre än en plätt?;Receptportioner / Sibylla produktblad (våffla ~75 g, plätt ~25 g);2023
Väger en portion kroppkakor mer eller mindre än en hel limpa blodpudding?;Lithells Blodpudding 500 g + receptportion kroppkakor;2024
Väger en storpåse Ahlgrens bilar mer eller mindre än en kexchokladbit?;Ahlgrens Bilar storpack ~1 kg (barnkalaset.se) + Cloetta Kexchoklad bit;2024
Har Daim fler eller färre kalorier än Dumle per 100 gram?;fatsecret.se (Marabou Daim) + arono.se (Dumle Fazer);2024
Väger en falukorv mer eller mindre än en burk blodpudding?;Scan Falukorv 800 g (scan.se/dabas) + Lithells Blodpudding 500 g;2024
Väger en kexchokladkaka mer eller mindre än en burk messmör?;Cloetta Kexchoklad ~24 g + Fjällbrynt Messmör 450 g (fjallbrynt.se);2024
Väger en hel smörgåstårta mer eller mindre än en äggakaka?;Pågen smörgåstårta (~1,5-3 kg) + receptvikt äggakaka;2024
Har risgrynsgröt fler eller färre kalorier än pepparkakor per 100 gram?;kalori.se (risgrynsgröt) + kalori.se (pepparkaka);2024
Väger en plätt mer eller mindre än en hel sats våffelsmet?;Receptportion plätt ~25 g + våffelsmet sats ~600 g;2024
