fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är lårbenet längre eller kortare än överarmsbenet?;Lårbenet;Överarmsbenet;46;36;centimeter;Hur många centimeter skiljer det?
Är strålbenet i underarmen längre eller kortare än skenbenet?;Strålbenet;Skenbenet;24;36;centimeter;Hur många centimeter skiljer det?
Väger levern mer eller mindre än hjärnan?;Levern;Hjärnan;1500;1400;gram;Hur många gram skiljer det?
Väger mjälten mer eller mindre än hjärtat?;Mjälten;Hjärtat;170;300;gram;Hur många gram skiljer det?
Väger en lunga mer eller mindre än levern?;Ena lungan;Levern;600;1500;gram;Hur många gram skiljer det?
Väger huden mer eller mindre än hela skelettet?;Huden;Skelettet;4;10,5;kilo;Hur många kilo skiljer det?
Har människokroppen fler eller färre muskler än ben?;Muskler;Ben;600;206;stycken;Hur många stycken skiljer det?
Har en vuxen fler eller färre tänder än ryggkotor?;Vuxnas tänder;Ryggkotor;32;33;stycken;Hur många stycken skiljer det?
Har ryggraden fler eller färre halskotor än bröstkotor?;Halskotor;Bröstkotor;7;12;stycken;Hur många stycken skiljer det?
Är kroppens alla blodkärl tillsammans längre eller kortare än jordens omkrets vid ekvatorn?;Alla blodkärl;Jordens omkrets;96000;40000;kilometer;Hur många kilometer skiljer det?
Är tunntarmen längre eller kortare än en vuxens kroppslängd?;Tunntarmen;Kroppslängd;7;1,8;meter;Hur många meter skiljer det?
Har hjärnan fler eller färre nervceller än Vintergatan har stjärnor?;Hjärnans nervceller;Vintergatans stjärnor;86;200;miljarder;Hur många miljarder skiljer det?
Lever en röd blodkropp längre eller kortare tid än en blodplätt?;Röd blodkropp;Blodplätt;120;10;dygn;Hur många dygn skiljer det?
Är hela matsmältningskanalen längre eller kortare än en vuxens kroppslängd?;Matsmältningskanalen;Kroppslängd;9;1,8;meter;Hur många meter skiljer det?
Har lungorna invändigt större eller mindre yta än en tennisplan?;Lungorna invändigt;Tennisplan;75;260;kvadratmeter;Hur många kvadratmeter skiljer det?
Är matstrupen längre eller kortare än tjocktarmen?;Matstrupen;Tjocktarmen;0,25;1,5;meter;Hur många meter skiljer det?
Är vadbenet längre eller kortare än nyckelbenet?;Vadbenet;Nyckelbenet;35;15;centimeter;Hur många centimeter skiljer det?
Är underkäken längre eller kortare än stigbygeln, kroppens minsta ben?;Underkäken;Stigbygeln;10;0,3;centimeter;Hur många centimeter skiljer det?
Slår hjärtat fler eller färre slag per minut när man är vaken och vilar än när man sover?;Vaken vilopuls;Sovande puls;70;55;slag per minut;Hur många slag per minut skiljer det?
Tar man fler eller färre andetag per minut när man sover än när man är vaken?;Sovande;Vaken;13;16;andetag per minut;Hur många andetag per minut skiljer det?
Kissar en vuxen ut mer eller mindre vätska per dygn än mängden blod i kroppen?;Urin per dygn;Blod i kroppen;1,5;5;liter;Hur många liter skiljer det?
Pumpar hjärtat mer eller mindre blod på ett helt dygn än på en timme?;Blod per dygn;Blod per timme;7000;300;liter;Hur många liter skiljer det?
Hör en människa högre eller lägre frekvenser än en hund?;Människans hörsel;Hundens hörsel;20000;45000;hertz;Hur många hertz skiljer det?
Väger levern mer eller mindre än båda njurarna tillsammans?;Levern;Båda njurarna;1,5;0,3;kilo;Hur många kilo skiljer det?
Är skenbenet längre eller kortare än lårbenet?;Skenbenet;Lårbenet;36;46;centimeter;Hur många centimeter skiljer det?
Utgör blodet en större eller mindre andel av kroppsvikten än hjärnan?;Blodets andel;Hjärnans andel;7;2;procent;Hur många procentenheter skiljer det?
Slår hjärtat fler eller färre gånger per år än vi tar andetag?;Hjärtslag per år;Andetag per år;37;8;miljoner;Hur många miljoner skiljer det?
Lever en cell i tarmslemhinnan kortare eller längre tid än en röd blodkropp?;Tarmcell;Röd blodkropp;5;120;dygn;Hur många dygn skiljer det?
