fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har en dvärgschnauzer längre eller kortare livslängd än en cocker spaniel?;Dvärgschnauzer;Cocker spaniel;14;13;år;Hur många år skiljer det i livslängd?
Har en fransk bulldogg längre eller kortare livslängd än en labrador?;Fransk bulldogg;Labrador;11;13;år;Hur många år skiljer det i livslängd?
Har en jack russell-terrier längre eller kortare livslängd än en grand danois?;Jack russell-terrier;Grand danois;16;8;år;Hur många år skiljer det i livslängd?
Har en pomeranian längre eller kortare livslängd än en bernhardshund?;Pomeranian;Bernhardshund;15;9;år;Hur många år skiljer det i livslängd?
Har en border collie längre eller kortare livslängd än en irländsk varghund?;Border collie;Irländsk varghund;14;7;år;Hur många år skiljer det i livslängd?
Har en engelsk mastiff längre eller kortare livslängd än en schipperke?;Engelsk mastiff;Schipperke;8;15;år;Hur många år skiljer det i livslängd?
Har en berner sennenhund längre eller kortare livslängd än en dvärgpinscher?;Berner sennenhund;Dvärgpinscher;8;14;år;Hur många år skiljer det i livslängd?
Har en springer spaniel längre eller kortare livslängd än en greyhound?;Springer spaniel;Greyhound;14;12;år;Hur många år skiljer det i livslängd?
Har en welsh corgi längre eller kortare livslängd än en berner sennenhund?;Welsh corgi;Berner sennenhund;13;8;år;Hur många år skiljer det i livslängd?
Har en irländsk röd setter längre eller kortare livslängd än en australian terrier?;Irländsk röd setter;Australian terrier;12;14;år;Hur många år skiljer det i livslängd?
Har en lhasa apso längre eller kortare livslängd än en bordeauxdogg?;Lhasa apso;Bordeauxdogg;14;9;år;Hur många år skiljer det i livslängd?
Har en italiensk vinthund längre eller kortare livslängd än en anatolisk herdehund?;Italiensk vinthund;Anatolisk herdehund;14;11;år;Hur många år skiljer det i livslängd?
Har en wachtelhund längre eller kortare livslängd än en irländsk varghund?;Wachtelhund;Irländsk varghund;13;7;år;Hur många år skiljer det i livslängd?
Har en norsk lundehund längre eller kortare livslängd än en bullmastiff?;Norsk lundehund;Bullmastiff;12;9;år;Hur många år skiljer det i livslängd?
Har en affenpinscher längre eller kortare livslängd än en borzoi?;Affenpinscher;Borzoi;14;11;år;Hur många år skiljer det i livslängd?
Har en norsk buhund längre eller kortare livslängd än en mastino napoletano?;Norsk buhund;Mastino napoletano;13;8;år;Hur många år skiljer det i livslängd?
Har en schipperke längre eller kortare livslängd än en berner sennenhund?;Schipperke;Berner sennenhund;15;7;år;Hur många år skiljer det i livslängd?
