fråga;källa;år
Får en chihuahua fler eller färre valpar i en genomsnittlig kull än en grand danois?;AKC Expert Advice — Average Litter Size (akc.org/expert-advice/dog-breeding/average-litter-size);2024
Får en pomeranian fler eller färre valpar i en genomsnittlig kull än en newfoundlandshund?;AKC Expert Advice — Average Litter Size (akc.org/expert-advice/dog-breeding/average-litter-size);2024
Får en mastiff fler eller färre valpar i en genomsnittlig kull än en maltese?;Borge et al. 2011 "Litter size at birth in purebred dogs" Theriogenology (giant-ras snitt ~7,1) + AKC Average Litter Size (akc.org/expert-advice/dog-breeding/average-litter-size);2024
Får en dvärgspets fler eller färre valpar i en genomsnittlig kull än en bloodhound?;AKC Expert Advice — Average Litter Size (akc.org/expert-advice/dog-breeding/average-litter-size);2024
Får en pyrenéerhund fler eller färre valpar i en genomsnittlig kull än en papillon?;AKC Expert Advice — Average Litter Size (akc.org/expert-advice/dog-breeding/average-litter-size);2024
Får en cane corso fler eller färre valpar i en genomsnittlig kull än en shih tzu?;AKC Expert Advice — Average Litter Size (akc.org/expert-advice/dog-breeding/average-litter-size);2024
Får en pekingese fler eller färre valpar i en genomsnittlig kull än en samojed?;AKC Expert Advice — Average Litter Size (akc.org/expert-advice/dog-breeding/average-litter-size);2024
Får en siberian husky fler eller färre valpar i en genomsnittlig kull än en mops?;AKC Expert Advice — Average Litter Size (akc.org/expert-advice/dog-breeding/average-litter-size);2024
Får en cocker spaniel fler eller färre valpar i en genomsnittlig kull än en toypudel?;AKC Expert Advice — Average Litter Size (akc.org/expert-advice/dog-breeding/average-litter-size);2024
Får en gordonsetter fler eller färre valpar i en genomsnittlig kull än en dvärgtax?;ScienceInsights — Dog Litter Size by Breed (scienceinsights.org/dog-litter-size-by-breed-what-to-expect);2024
Får en bullmastiff fler eller färre valpar i en genomsnittlig kull än en whippet?;ScienceInsights — Dog Litter Size by Breed (scienceinsights.org/dog-litter-size-by-breed-what-to-expect);2024
Får en bichon frisé fler eller färre valpar i en genomsnittlig kull än en briard?;ScienceInsights — Dog Litter Size by Breed (scienceinsights.org/dog-litter-size-by-breed-what-to-expect);2024
Får en dobermann fler eller färre valpar i en genomsnittlig kull än en basset hound?;AKC Expert Advice — Average Litter Size (akc.org/expert-advice/dog-breeding/average-litter-size);2024
Får en pointer fler eller färre valpar i en genomsnittlig kull än en engelsk setter?;ScienceInsights — Dog Litter Size by Breed (scienceinsights.org/dog-litter-size-by-breed-what-to-expect);2024
Får en vizsla fler eller färre valpar i en genomsnittlig kull än en flatcoated retriever?;ScienceInsights — Dog Litter Size by Breed (scienceinsights.org/dog-litter-size-by-breed-what-to-expect);2024
Får en komondor fler eller färre valpar i en genomsnittlig kull än en bordeauxdogg?;ScienceInsights — Dog Litter Size by Breed (scienceinsights.org/dog-litter-size-by-breed-what-to-expect);2024
Får en bullterrier fler eller färre valpar i en genomsnittlig kull än en coton de tuléar?;ScienceInsights — Dog Litter Size by Breed (scienceinsights.org/dog-litter-size-by-breed-what-to-expect);2024
Får en boxer fler eller färre valpar i en genomsnittlig kull än en rysk vinthund?;Borge et al. 2011 Theriogenology (boxer ~6, n=139) + Wikipedia/Vetstreet borzoi (snitt 6–7);2024
Får en alaskan malamute fler eller färre valpar i en genomsnittlig kull än en yorkshireterrier?;AKC Expert Advice — Average Litter Size (akc.org/expert-advice/dog-breeding/average-litter-size);2024
Får en tysk schäferhund fler eller färre valpar i en genomsnittlig kull än en fransk bulldogg?;AKC Expert Advice — Average Litter Size (akc.org/expert-advice/dog-breeding/average-litter-size);2024
Får en labrador fler eller färre valpar i en genomsnittlig kull än en engelsk bulldogg?;SKK Avelsdata / AKC — Average Litter Size (skk.se; akc.org/expert-advice/dog-breeding/average-litter-size);2024
Får en irländsk röd setter fler eller färre valpar i en genomsnittlig kull än en beagle?;ScienceInsights — Dog Litter Size by Breed (scienceinsights.org/dog-litter-size-by-breed-what-to-expect);2024
Får en dvärgpinscher fler eller färre valpar i en genomsnittlig kull än en rysk svart terrier?;ScienceInsights — Dog Litter Size by Breed (scienceinsights.org/dog-litter-size-by-breed-what-to-expect);2024
Får en affenpinscher fler eller färre valpar i en genomsnittlig kull än en weimaraner?;ScienceInsights — Dog Litter Size by Breed (scienceinsights.org/dog-litter-size-by-breed-what-to-expect);2024
